dashboard_id,dashboard_name,primary_data_sources,business_domain,complexity_score,consolidation_score,total_metrics_identified,date_grain,data_grain,key_dimensions,date_range_detected,hardcoded_dates_found,hardcoded_values_found,governance_opportunities,response_id,data_sources_list,data_sources_count,hardcoded_dates_count,hardcoded_values_count,governance_opportunities_count
d7412673-0af1-4efe-8374-ca475b001fb6,Finance OS datasource template report,ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_os_publication_hierachy;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_calendar;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_period_control;ncau-data-newsquery-prd.asl_finance.v_asl_DIM_gl_department,finance,7,8,2,weekly,aggregate,"['fy_year', 'source_system_name', 'fiscal_week_id', 'gl_publication_code', 'day_of_week', 'state', 'os_level_1', 'os_level_2', 'os_level_3', 'os_level_4', 'os_level_5', 'os_level_6', 'os_level_7', 'os_level_8', 'os_level_9', 'os_level_10', 'os_level_11', 'os_level_12', 'department_code', 'period_name']",Relative to Current Period ('CP') and Prior Year ('PY') based on `v_asl_DIM_period_control`,[],"[""'CP'"", ""'PY'""]","[""Period types ('CP', 'PY') should be managed via a configuration table or user input rather than hardcoded in the query."", 'The `calender_table` CTE is defined but unused in the provided queries and should be removed if not needed.']",0,"['ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated', 'ncau-data-newsquery-prd.asl_finance.v_asl_DIM_os_publication_hierachy', 'ncau-data-newsquery-prd.asl_finance.v_asl_DIM_calendar', 'ncau-data-newsquery-prd.asl_finance.v_asl_DIM_period_control', 'ncau-data-newsquery-prd.asl_finance.v_asl_DIM_gl_department']",5,0,2,2
6f1c8731-02da-464f-b146-bf2947860735,Programmatic Sales_NQ Data,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,advertising,7,4,4,monthly,aggregate,"['Advertiser', 'PortfolioParentGroup', 'PortfolioChildGroup', 'TransactionType', 'FinancialYear', 'FinancialQuarter', 'FinancialMonthNumber']",Financial Year 2025 Q4 and prior (up to 26/06/2025),['26/06/2025'],"[""'INDEPENDENT AGENCIES NSW'"", ""'Guaranteed'"", ""'FY2025 - Q4'"", ""'CONSORTIUM VIC'"", ""'Deal'"", ""'VIC CON B3'"", ""'VIC CON B2'"", ""'VIC CON B1'"", 'CASE WHEN (FinancialMonthNumber = 1) THEN 7 ... ELSE NULL END']","['Dates should be parameterized or use relative date functions (e.g., CURRENT_DATE())', ""Financial periods (e.g., 'FY2025 - Q4') should be dynamic or parameterized"", ""Business unit/group names (e.g., 'INDEPENDENT AGENCIES NSW', 'CONSORTIUM VIC', 'VIC CON B3') should use a governed lookup table"", ""Transaction types (e.g., 'Guaranteed', 'Deal') should use a governed lookup table"", ""Month remapping logic should be externalized to a configuration table or UDF if it's a common business rule""]",1,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],1,1,9,5
52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily;ncau-data-newsquery-prd.asl_finance_derived.adsales_performance,sales,8,7,10,daily,transactional,"['adtype_l1', 'fin_adtype_name', 'revenue_type', 'revenue_group_subtype', 'unified_publication_name', 'advertiser_parent', 'booking_line_created_date', 'financial_year', 'financial_quarter', 'financial_month', 'financial_week', 'calendar_year', 'calendar_month_name', 'calendar_week', 'Sales_Group', 'sales_segment_l_1_name', 'sales_segment_l_2_name', 'advertiser_group', 'advertiser_name', 'portfolio_group_name_sync', 'portfolio_group_name_current', 'portfolio_parent_group_name_sync', 'GSD', 'anzsic_industry_level_1_name', 'product_group', 'publishing_division', 'agency_group', 'cost_model_type', 'revenue_transaction_status']","Current FY, Previous FY, Next FY (Fiscal) and Current CY, Previous CY (Calendar)",['08/05/2025'],"['Admin.ADV', 'Admin.DTM', 'Admin.HWT', 'Admin.International', 'Admin.Sales', 'Admin.Sport', 'Admin.TCM', 'Bestrecipes.Admin', 'Bodyandsoul.Admin', 'CODE', 'CodeBet', 'Delicious.admin', 'Escape.Admin', 'GQ.Admin', 'Kidspot.Admin', 'National Sundry', 'National Tabloid PrePrint', 'News.Admin', 'odds.com.au', 'Punters.com.au', 'Qantas Travel Insider', 'RACENET', 'Shortlyster Managed Service', 'Sky News', 'SKYNEWS.ADMIN', 'Stellar.Admin', 'Stockhead', 'SUDDENLY.CW', 'SUDDENLY.NORTH', 'SUDDENLY.TGG', 'Taste.Admin', 'TAUS.ADMIN', 'The Sunday Times', 'TOOWOOMBACUSTOM', 'Vogue.Admin', 'Vogueliving.Admin', 'MRCA', 'DOUBLECLICK', 'PLUTO', 'VACANT', 'PRINT', 'DIGITAL', 'PROGRAMMATIC', 'PROGRAMMATIC EXCHANGE', 'PROGRAMMATIC SOURCE', 'SUNDRY ADSALES OVERLAY', 'XTEND', 'ADPT DIGITAL', 'SUNDRY', 'PROGRAMMATIC - GUARANTEED', 'PROGRAMMATIC - OPEN EXCHANGE', 'PROGRAMMATIC - PMP', 'PROGRAMMATIC - DIGITAL OTHER', 'OUTSTREAM', 'EDMEDIA', 'ECOMMERCE', '17114', '29172', '52809', '-', 'BILLED', 'BOOKED', 'ROP COMPOSITE', 'MEDIUM RARE CONTENT AGENCY', '$']","['Dates should be parameterised or use relative functions consistently', 'Publication lists should be managed in a reference table', 'Advertiser IDs should be managed in a reference table', 'Sales segment names should be managed in a reference table', 'Revenue type classifications should be managed in a reference table', 'Currency display format should be a dashboard parameter', ""Default values like 'VACANT' should be handled via data governance rules or configuration.""]",2,"['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily', 'ncau-data-newsquery-prd.asl_finance_derived.adsales_performance']",2,1,65,7
a1b901e6-c4fb-44bc-955a-3a7070c15829,Revenue Movement,ncau-data-newsquery-prd.asl_finance_derived.revenue_movement,finance,7,6,6,daily,transactional,"['movement_date', 'financial_year', 'advertiser_parent', 'portfolio_parent_group_name_sync', 'revenue_type', 'revenue_category']",29/05/2025 to 23/06/2025,"['29/05/2025', '23/06/2025']","[""'2025'"", ""'Y'"", ""'Nah'"", ""'DIGITAL OTHER'"", ""'PRO'"", ""'DIGITAL'"", ""'SUNDRY'"", ""'PRINT'"", ""'CONSORTIUM SA'"", ""'DIRECT SA WA'"", ""'CONSORTIUM NSW'"", ""'QLD IA C2'""]","['dates should be parameterised', 'revenue categories should use a lookup table', 'portfolio names should use a hierarchy/lookup table']",3,['ncau-data-newsquery-prd.asl_finance_derived.revenue_movement'],1,2,12,3
e83da1de-4227-43e6-bcc6-73051c66914b,Ad Events Dashboard,ncau-data-newsquery-prd.asl_advertising.v_adsales_revenue_client,advertising,7,8,9,monthly,aggregate,"['financial_year', 'fy_year_month_number', 'financial_short_month', 'revenue_transaction_status', 'adsize_name', 'booking_name', 'ad_size_category']","Fiscal Year relative offset (-1, 0, 1) and hardcoded '2025'","['2025', '202501', '202502', '202503']","[""'Future Bradfield 2024'"", ""'Sydney & Brisbane Future Series'"", ""'Future Bradfield FY25 B1'"", ""'Future Sydney Bradfield 2024'"", ""'event sponsorship'"", ""'production'""]","['dates should be parameterised', 'booking names should use a lookup table', 'ad size categories should be defined in a configuration table']",4,['ncau-data-newsquery-prd.asl_advertising.v_adsales_revenue_client'],1,4,6,3
52dd1ac1-19b5-4695-a7e6-632ef7a9dba3,Consumer Finance Landing Page,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,finance,2,6,3,none,transactional,['scenario'],,[],"[""''""]","[""Investigate the purpose of the hardcoded empty string ('') in dimension selection; if it represents a category, it should be replaced with a meaningful value or a parameter.""]",5,['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],1,0,1,1
601ed0d2-e944-4189-8170-d593c8e72026,Adex,`ncau-data-newsquery-prd`.sbx_dcp.adex_datasource,advertising,8,4,10,daily,transactional,"['date', 'Advertiser', 'Major_Category', 'Media_Network', 'Category', 'Sub_Category', 'portfolio_parent_group_name', 'calendar_year', 'calendar_month_short_name', 'financial_year', 'time_period_type', 'quarter_period', 'year_month_key']","Dynamic (relative to latest_date in data, typically last 2 years for 'Rolling 12 months' and 'ly' comparison)",[],"[""'Rolling 12 months'"", ""'Calendar Year'"", ""'Financial Year'"", ""'Q1'"", ""'Q2'"", ""'Q3'"", ""'Q4'"", ""'ty'"", ""'ly'"", ""'NEWS CORP'"", ""'youtube'"", ""'facebook'"", ""'KEY ACCOUNTS TRAVEL'"", ""'NT Dept Of Trade Business & Innovation'"", ""'NT Dept Of Chief Minister'"", ""'NT Dept Of Infrastructure Planning & Logistics'"", ""'NT Dept Of Industry Tourism & Trade'"", ""'NT Dept Of Education Employment & Training'"", ""'NT Dept Of Tourism & Culture'"", ""'NT Dept Of Transport'"", ""'NT Dept Of Attorney-General & Justice'"", ""'NT Dept Of Environment & Natural Resources'"", ""'NT Dept Of Lands Planning & The Environment'"", ""'NT Dept Of Health'"", ""'NT Dept Of Police Fire & Emergency Services'"", ""'NT Dept Of Business'"", ""'NT Dept Of Territory Families, Housing & Communities'"", ""'NT Dept Of Primary Industry & Resources'"", ""'NT Dept Of Environment Parks & Water Security'"", ""'NT Dept Of Corporate & Information Services'"", ""'$'"", ""'$\\'000'""]","[""Time period selection (e.g., 'Rolling 12 months') should be a dashboard parameter to allow dynamic selection."", 'Quarter definitions should be derived from a robust date dimension table or a governed business rule configuration instead of hardcoded month ranges.', ""Media Network names ('NEWS CORP', 'youtube', 'facebook') should be managed via a lookup table for consistency and ease of maintenance."", ""Advertiser names (e.g., 'NT Dept Of...') should be dynamically filtered or managed via a lookup table/parameter for flexible reporting."", ""Display format ('$' vs '$\\'000') should be handled by the visualization layer (Looker Studio's formatting options), not hardcoded in SQL."", 'The `fixed_publisher_count` and similar `fixed_` metrics are pre-aggregated and cross-joined, which might indicate a need for a pre-aggregated summary table or a more efficient window function approach if not already optimized for performance.']",6,['`ncau-data-newsquery-prd`.sbx_dcp.adex_datasource'],1,0,32,6
783f341c-8660-4e90-bab8-9bc860119cf5,Deals Dashboard,ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master,advertising,7,6,7,monthly,aggregate,"['month_start_date', 'advertiser', 'buyer', 'source', 'source_transaction_type_upper', 'financial_period_label']",01/11/2024 to 01/06/2025 (derived date); 01/05/2025 to 01/12/2025 (original data),"['01/11/2024', '01/12/2024', '01/01/2025', '01/02/2025', '01/03/2025', '01/04/2025', '01/05/2025', '01/06/2025']","['AdX', 'AppNexus', 'DFP', 'Index Exchange', 'InSkin', 'Kargo', 'Playground XYZ', 'PubMatic', 'Rubicon', 'Tremor', 'DEAL', 'UFR', 'PG - CPD', 'PG - CPM', 'DIRECT', 'The Smith Family *', 'Kmart Corporation *', 'Target Corporation *', 'Myer *', 'FY25 Q2', 'FY25 Q3', 'FY25 Q4']","['dates should be parameterised', 'source codes should join to a reference table', 'transaction types should join to a reference table', 'advertiser names should join to a master advertiser dimension', 'financial periods should be derived dynamically or from a reference table']",7,['ncau-data-newsquery-prd.prstn_advertising.programmatic_weekly_master'],1,8,22,5
a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month;ncau-data-newsquery-prd.prstn_advertising.programmatic_cal_month,advertising,6,7,12,monthly,aggregate,"['FinancialYear', 'FinancialMonthNumber', 'Source', 'ProductType']",Current Month,[],"['1 (for CurrentMonthFlag)', ""'Kargo'"", ""'AdX'""]","['CurrentMonthFlag should be derived from date functions', 'Source values should be managed in a lookup table']",8,"['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month', 'ncau-data-newsquery-prd.prstn_advertising.programmatic_cal_month']",2,0,3,2
5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,Optimizing Digital Subscriptions Report,ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions,finance,8,4,9,weekly,transactional,"['fiscal_week_month_string', 'recognition_type', 'masthead_group_broad', 'masthead_group_detailed', 'masthead_group_broader', 'email_bundle_flag', 'report_type_fct', 'cancellation_type', 'acquisition_type']","Not explicitly filtered in SQL, relies on Looker Studio date picker. Base date for week calculation: 03/07/2024. Date for day of week calculation: 23/03/2025.","['23/03/2025', '03/07/2024', '2025']","[""gl_publication_code IDs (e.g., '100', '402')"", ""masthead_code values (e.g., 'AP', 'NT')"", ""classification_level_1_description ('Standard Paid')"", ""classification_level_2_description ('The Oz')"", ""delivery_medium_type ('Print', 'Bundle')"", ""subscriber_has_email_flag ('subsnapfact', 'N')"", ""Masthead categories ('Metros', 'Regionals', 'Discontinued')"", ""Recognition types ('Digital Recognition')"", ""Fiscal month names ('July', 'August')"", ""Report types ('FCT', 'BUD')"", ""Cancellation/Acquisition types ('Gross Cancellations', 'Gross Acquisitions')""]","['Dates should be parameterized or use relative date functions (e.g., CURRENT_DATE())', 'Masthead categorization logic should be moved to a governed lookup table', 'Fiscal calendar definitions (week to month mapping) should be in a governed table or UDF', 'Report type and metric type labels should be managed as parameters or metadata, not hardcoded in SQL']",9,['ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions'],1,3,11,4
