interaction_type,primary_metric,related_metrics,relationship_description,mathematical_formula,business_validation,validation_sql,relationship_strength,business_impact,response_id,dashboard_id,related_metrics_count,related_metrics_text
filter_impact,total_actual_amount,"['source_system_count', 'fiscal_year', 'source_system_name_dim']","All identified metrics and dimensions are filtered by the same period control logic, specifically including data for 'Current Period' (CP) and 'Prior Year' (PY) as defined in the `v_asl_DIM_period_control` table.",N/A,Ensures that all displayed financial data and its associated dimensions are consistently aligned to the defined 'Current Period' and 'Prior Year' for comparative analysis.,"SELECT COUNT(*) FROM `ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated` AS os JOIN `ncau-data-newsquery-prd.asl_finance.v_asl_DIM_calendar` AS c ON os.fiscal_week_id = c.fy_year_week_number JOIN `ncau-data-newsquery-prd`.asl_finance.v_asl_DIM_period_control AS control ON c.fy_year_week_number = control.source_week_number WHERE control.period_name IN ('CP', 'PY') LIMIT 1;",strong,high,0,d7412673-0af1-4efe-8374-ca475b001fb6,3,"source_system_count, fiscal_year, source_system_name_dim"
filter_impact,revenue_gross_sum,"['portfolio_parent_group', 'transaction_type']",Total Gross Revenue is filtered by specific Portfolio Parent Groups ('INDEPENDENT AGENCIES NSW') and excludes 'Guaranteed' Transaction Types.,SUM(RevenueGross) WHERE PortfolioParentGroup = 'INDEPENDENT AGENCIES NSW' AND TransactionType != 'Guaranteed',"Ensures that the revenue reported is specific to a particular agency type and excludes certain transaction models, reflecting a specific business segment's performance.",SELECT SUM(RevenueGross) FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month` WHERE PortfolioParentGroup = 'INDEPENDENT AGENCIES NSW' AND (TransactionType NOT IN ('Guaranteed') OR TransactionType IS NULL) LIMIT 1;,strong,high,1,6f1c8731-02da-464f-b146-bf2947860735,2,"portfolio_parent_group, transaction_type"
filter_impact,advertiser,['financial_period_derived'],The list of Advertisers is filtered to those active within a specific Financial Period ('FY2025 - Q4').,"DISTINCT Advertiser WHERE CONCAT('FY',FinancialYear,' - ',FinancialQuarter) = 'FY2025 - Q4'","Identifies advertisers relevant to a specific financial reporting quarter, useful for quarterly reviews or planning.","SELECT COUNT(DISTINCT Advertiser) FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month` WHERE CONCAT('FY',SAFE_CAST(FinancialYear AS STRING),' - ',SAFE_CAST(FinancialQuarter AS STRING)) = 'FY2025 - Q4' LIMIT 1;",strong,medium,1,6f1c8731-02da-464f-b146-bf2947860735,1,financial_period_derived
filter_impact,derived_date_complex,"['portfolio_parent_group', 'financial_period_derived', 'transaction_type', 'portfolio_child_group']","The derived date is filtered by multiple dimensions: specific Portfolio Parent Group ('CONSORTIUM VIC'), Financial Period ('FY2025 - Q4'), Transaction Type ('Deal'), and specific Portfolio Child Groups ('VIC CON B3', 'VIC CON B2', 'VIC CON B1'), in addition to a complex date comparison.","DerivedDate WHERE PortfolioParentGroup = 'CONSORTIUM VIC' AND FinancialPeriod = 'FY2025 - Q4' AND TransactionType = 'Deal' AND PortfolioChildGroup IN ('VIC CON B3', 'VIC CON B2', 'VIC CON B1') AND ConstructedDate <= '2025-06-26'","This combination of filters suggests a highly specific analysis of dates related to 'Deal' transactions within a particular consortium and financial quarter, likely for detailed operational or regional performance review.","SELECT COUNT(DISTINCT SAFE_CAST(DATETIME_TRUNC(SAFE_CAST(DATE(t0.FinancialYear, CASE WHEN (t0.FinancialMonthNumber = 1) THEN 7 WHEN (t0.FinancialMonthNumber = 2) THEN 8 WHEN (t0.FinancialMonthNumber = 3) THEN 9 WHEN (t0.FinancialMonthNumber = 4) THEN 10 WHEN (t0.FinancialMonthNumber = 5) THEN 11 WHEN (t0.FinancialMonthNumber = 6) THEN 12 WHEN (t0.FinancialMonthNumber = 7) THEN 1 WHEN (t0.FinancialMonthNumber = 8) THEN 2 WHEN (t0.FinancialMonthNumber = 9) THEN 3 WHEN (t0.FinancialMonthNumber = 10) THEN 4 WHEN (t0.FinancialMonthNumber = 11) THEN 5 WHEN (t0.FinancialMonthNumber = 12) THEN 6 ELSE NULL END, 1) AS DATETIME), MONTH) AS DATE)) FROM `ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month` AS t0 WHERE (DATE(t0.FinancialYear, CASE WHEN (t0.FinancialMonthNumber = 1) THEN 7 WHEN (t0.FinancialMonthNumber = 2) THEN 8 WHEN (t0.FinancialMonthNumber = 3) THEN 9 WHEN (t0.FinancialMonthNumber = 4) THEN 10 WHEN (t0.FinancialMonthNumber = 5) THEN 11 WHEN (t0.FinancialMonthNumber = 6) THEN 12 WHEN (t0.FinancialMonthNumber = 7) THEN 1 WHEN (t0.FinancialMonthNumber = 8) THEN 2 WHEN (t0.FinancialMonthNumber = 9) THEN 3 WHEN (t0.FinancialMonthNumber = 10) THEN 4 WHEN (t0.FinancialMonthNumber = 11) THEN 5 WHEN (t0.FinancialMonthNumber = 12) THEN 6 ELSE NULL END, 1) <= DATE('2025-06-26')) AND t0.PortfolioParentGroup IN ('CONSORTIUM VIC') AND CONCAT('FY',SAFE_CAST(t0.FinancialYear AS STRING),' - ',SAFE_CAST(t0.FinancialQuarter AS STRING)) IN ('FY2025 - Q4') AND t0.TransactionType IN ('Deal') AND t0.PortfolioChildGroup IN ('VIC CON B3', 'VIC CON B2', 'VIC CON B1') LIMIT 1;",strong,high,1,6f1c8731-02da-464f-b146-bf2947860735,4,"portfolio_parent_group, financial_period_derived, transaction_type, portfolio_child_group"
mathematical_relationship,gross_revenue_current_fy_k,['gross_revenue_current_fy'],"Gross Revenue (Current FY, '000) is derived by dividing Gross Revenue (Current FY) by 1000.",gross_revenue_current_fy_k = gross_revenue_current_fy / 1000,"This relationship ensures that the metric is presented in thousands for readability, assuming the base currency is in units.",SELECT SUM(gross_revenue_current_fy_k * 1000) = SUM(gross_revenue_current_fy) FROM primary_analysis_sql_output;,strong,medium,2,52c11c9c-052a-4e45-9cda-8fecd87d7964,1,gross_revenue_current_fy
mathematical_relationship,gross_revenue_next_fy_k,['gross_revenue_next_fy'],"Gross Revenue (Next FY, '000) is derived by dividing Gross Revenue (Next FY) by 1000.",gross_revenue_next_fy_k = gross_revenue_next_fy / 1000,"This relationship ensures that the metric is presented in thousands for readability, assuming the base currency is in units.",SELECT SUM(gross_revenue_next_fy_k * 1000) = SUM(gross_revenue_next_fy) FROM primary_analysis_sql_output;,strong,medium,2,52c11c9c-052a-4e45-9cda-8fecd87d7964,1,gross_revenue_next_fy
dependency,gross_revenue_conditional_k,"['total_gross_revenue', 'relative_fy_year_offset', 'unified_publication_name', 'revenue_type', 'revenue_group_subtype', 'sales_segment_l_2_name_sync', 'advertiser_parent', 'booking_line_created_date', 'fix_date_lod']","This metric's calculation is highly conditional, depending on multiple dimensions and a complex date logic involving `fix_date_lod` and `booking_line_created_date` relative to a hardcoded date and `advertiser_parent`.",Conditional sum of gross_revenue_amount / 1000 based on publication type OR a complex date comparison involving DoubleClick and booking dates.,"This indicates a specific business rule for a particular revenue stream (e.g., programmatic or digital revenue) that needs careful validation and understanding of its purpose.","SELECT SUM(gross_revenue_conditional_k) FROM primary_analysis_sql_output WHERE unified_publication_name IN ('OUTSTREAM', 'XTEND', 'EDMEDIA', 'ECOMMERCE') AND relative_fy_year_offset = 0;",strong,high,2,52c11c9c-052a-4e45-9cda-8fecd87d7964,9,"total_gross_revenue, relative_fy_year_offset, unified_publication_name, revenue_type, revenue_group_subtype, sales_segment_l_2_name_sync, advertiser_parent, booking_line_created_date, fix_date_lod"
filter_impact,total_gross_revenue,"['revenue_transaction_status', 'style_name', 'source_publishing_division_name', 'publication_name', 'advertiser_id_src', 'ad_type_name']","All gross revenue metrics are filtered by specific transaction statuses ('BILLED', 'BOOKED'), exclusion of 'ROP COMPOSITE' style, exclusion of 'MEDIUM RARE CONTENT AGENCY' division, and a complex rule for 'SUDDENLY' publications.",N/A,"These filters define the scope of 'reportable' revenue, ensuring only relevant transactions are included in performance metrics. Any changes to these filters will directly impact reported revenue figures.","SELECT COUNT(*) FROM `ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily` WHERE UPPER(IFNULL(revenue_transaction_status_code, 'XXX')) NOT IN ('BILLED', 'BOOKED'); -- Should return 0 or very few records if filter is effective",strong,high,2,52c11c9c-052a-4e45-9cda-8fecd87d7964,6,"revenue_transaction_status, style_name, source_publishing_division_name, publication_name, advertiser_id_src, ad_type_name"
mathematical_relationship,gross_amount_diff_total,"['digital_revenue', 'print_revenue']","Digital Revenue and Print Revenue are components of the Total Gross Amount Difference, specifically for records where revenue_type is 'DIGITAL' or 'PRINT' respectively.",gross_amount_diff_total = SUM(digital_revenue) + SUM(print_revenue) + SUM(other_revenue_types),"Ensures that the sum of specific revenue types (Digital, Print) contributes correctly to the overall gross amount difference, allowing for breakdown analysis.","SELECT
  SUM(gross_amount_diff_total) AS total_gross_amount,
  SUM(digital_revenue) AS total_digital_revenue,
  SUM(print_revenue) AS total_print_revenue,
  SUM(gross_amount_diff_total) - SUM(digital_revenue) - SUM(print_revenue) AS total_other_revenue
FROM (
  SELECT
    GROSS_AMOUNT_DIFF AS gross_amount_diff_total,
    CASE WHEN revenue_type = 'DIGITAL' THEN GROSS_AMOUNT_DIFF ELSE 0 END AS digital_revenue,
    CASE WHEN revenue_type = 'PRINT' THEN GROSS_AMOUNT_DIFF ELSE 0 END AS print_revenue
  FROM `ncau-data-newsquery-prd.asl_finance_derived.revenue_movement`
  WHERE movement_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)
) subquery;",strong,high,3,a1b901e6-c4fb-44bc-955a-3a7070c15829,2,"digital_revenue, print_revenue"
dependency,revenue_category,"['xtend_flag', 'revenue_sub_type', 'portfolio_parent_group_name_sync']","The 'Revenue Category' dimension is a derived field whose value depends on the values of 'xtend_flag', 'revenue_sub_type', and 'portfolio_parent_group_name_sync' through a complex CASE statement.",N/A (conditional logic),"This relationship defines how raw data attributes are transformed into a higher-level business classification, critical for aggregated reporting and strategic insights.","SELECT
  xtend_flag,
  revenue_sub_type,
  portfolio_parent_group_name_sync,
  CASE
    WHEN xtend_flag = 'Y' THEN 'XTEND'
    WHEN (SAFE.LEFT(revenue_sub_type, 3) = 'PRO' OR ((portfolio_parent_group_name_sync = 'DIGITAL OTHER') AND (revenue_sub_type = 'DIGITAL'))) THEN 'PROGRAMMATIC'
    WHEN revenue_sub_type = 'DIGITAL' THEN 'ADPT DIGITAL'
    WHEN SAFE.LEFT(revenue_sub_type, 6) = 'SUNDRY' THEN 'SUNDRY'
    ELSE revenue_sub_type
  END AS calculated_revenue_category,
  COUNT(*) as record_count
FROM `ncau-data-newsquery-prd.asl_finance_derived.revenue_movement`
WHERE movement_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)
GROUP BY 1, 2, 3, 4
LIMIT 100;",strong,high,3,a1b901e6-c4fb-44bc-955a-3a7070c15829,3,"xtend_flag, revenue_sub_type, portfolio_parent_group_name_sync"
