metric_id,metric_name,metric_type,calculation_type,data_type,aggregation_level,is_final_output,is_kpi,business_criticality,depends_on_metrics,business_description,sql_logic,data_sources,filters_applied,expected_data_type,business_context,metric_category,update_frequency,seasonality_impact,hardcoded_dates_in_metric,hardcoded_values_in_metric,governance_issues,data_quality_concerns,response_id,dashboard_id,dashboard_name,depends_on_metrics_count,depends_on_metrics_text,data_sources_count,data_sources_text,filters_applied_count,filters_applied_text,hardcoded_dates_in_metric_count,hardcoded_values_in_metric_count,governance_issues_count,governance_issues_text,data_quality_concerns_count,data_quality_concerns_text
total_actual_amount,Total Actual Amount,measure,sum,numeric,weekly,True,True,high,[],"The sum of actual financial amounts recorded, representing financial performance.",SUM(Actual_Amount),['ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated'],"[""control.period_name IN ('CP', 'PY')""]",decimal,A core financial metric used for tracking revenue or cost performance over time and across different dimensions.,revenue,daily,high,[],"[""'CP'"", ""'PY'""]",['Period types should be configurable.'],"['Potential for nulls in Actual_Amount if not handled upstream, which could skew sums.']",0,d7412673-0af1-4efe-8374-ca475b001fb6,Finance OS datasource template report,0,,1,ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated,1,"control.period_name IN ('CP', 'PY')",0,2,1,Period types should be configurable.,1,"Potential for nulls in Actual_Amount if not handled upstream, which could skew sums."
source_system_count,Source System Record Count,measure,count,numeric,source_system,True,False,medium,[],"The count of records associated with each source system, indicating data volume distribution.",COUNT(source_system_name) (or COUNT(1) grouped by source_system_name),['ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated'],"[""control.period_name IN ('CP', 'PY')""]",integer,"Used to understand the contribution or volume of data from different source systems, often for data quality or integration monitoring.",volume,daily,low,[],"[""'CP'"", ""'PY'""]",['Period types should be configurable.'],['Accuracy depends on the consistency and distinctness of source_system_name values.'],0,d7412673-0af1-4efe-8374-ca475b001fb6,Finance OS datasource template report,0,,1,ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated,1,"control.period_name IN ('CP', 'PY')",0,2,1,Period types should be configurable.,1,Accuracy depends on the consistency and distinctness of source_system_name values.
fiscal_year,Fiscal Year,dimension,none,numeric,yearly,True,False,high,[],"The fiscal year associated with the financial data, derived from the calendar dimension.",calendar.fy_year,"['ncau-data-newsquery-prd.asl_finance.v_asl_DIM_calendar', 'ncau-data-newsquery-prd.asl_finance.v_asl_DIM_period_control']","[""control.period_name IN ('CP', 'PY')""]",integer,"A primary time dimension for financial reporting and analysis, allowing data to be grouped and filtered by fiscal year.",other,daily,none,[],"[""'CP'"", ""'PY'""]",['Period types should be configurable.'],"['Ensuring correct fiscal year mapping from the calendar dimension, especially around fiscal year-end transitions.']",0,d7412673-0af1-4efe-8374-ca475b001fb6,Finance OS datasource template report,0,,2,"ncau-data-newsquery-prd.asl_finance.v_asl_DIM_calendar, ncau-data-newsquery-prd.asl_finance.v_asl_DIM_period_control",1,"control.period_name IN ('CP', 'PY')",0,2,1,Period types should be configurable.,1,"Ensuring correct fiscal year mapping from the calendar dimension, especially around fiscal year-end transitions."
source_system_name_dim,Source System Name,dimension,none,string,source_system,True,False,high,[],The name of the system from which the financial data originated.,os.source_system_name,['ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated'],"[""control.period_name IN ('CP', 'PY')""]",string,"A key dimension for segmenting financial data, allowing analysis by the origin of the data, useful for operational and data governance insights.",other,daily,none,[],"[""'CP'"", ""'PY'""]",['Period types should be configurable.'],['Consistency of naming conventions for source systems across different data loads.'],0,d7412673-0af1-4efe-8374-ca475b001fb6,Finance OS datasource template report,0,,1,ncau-data-newsquery-prd.asl_finance.v_asl_FCT_finance_os_aggregated,1,"control.period_name IN ('CP', 'PY')",0,2,1,Period types should be configurable.,1,Consistency of naming conventions for source systems across different data loads.
advertiser,Advertiser,dimension,string_function,string,customer,True,False,medium,[],The name of the advertiser associated with the programmatic sales data.,t0.Advertiser,['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],"[""Filtered by PortfolioParentGroup ('INDEPENDENT AGENCIES NSW' or 'CONSORTIUM VIC')"", ""Filtered by TransactionType (NOT 'Guaranteed' or 'Deal')"", ""Filtered by Financial Period ('FY2025 - Q4')"", ""Filtered by PortfolioChildGroup ('VIC CON B3', 'VIC CON B2', 'VIC CON B1')""]",string,Used for segmenting and analyzing sales performance by individual advertisers.,sales,monthly,medium,[],[],[],[],1,6f1c8731-02da-464f-b146-bf2947860735,Programmatic Sales_NQ Data,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,4,"Filtered by PortfolioParentGroup ('INDEPENDENT AGENCIES NSW' or 'CONSORTIUM VIC'), Filtered by TransactionType (NOT 'Guaranteed' or 'Deal'), Filtered by Financial Period ('FY2025 - Q4'), Filtered by PortfolioChildGroup ('VIC CON B3', 'VIC CON B2', 'VIC CON B1')",0,0,0,,0,
revenue_gross_sum,Total Gross Revenue,measure,sum,numeric,custom,True,True,high,[],The sum of gross revenue generated from programmatic sales.,SUM(t0.RevenueGross),['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],"[""PortfolioParentGroup IN ('INDEPENDENT AGENCIES NSW')"", ""TransactionType NOT IN ('Guaranteed') OR TransactionType IS NULL""]",decimal,A primary KPI for overall sales performance and financial tracking.,revenue,monthly,high,[],"[""'INDEPENDENT AGENCIES NSW'"", ""'Guaranteed'""]",['lookup values should use reference table'],['potential nulls in RevenueGross if not handled at source'],1,6f1c8731-02da-464f-b146-bf2947860735,Programmatic Sales_NQ Data,0,,1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,2,"PortfolioParentGroup IN ('INDEPENDENT AGENCIES NSW'), TransactionType NOT IN ('Guaranteed') OR TransactionType IS NULL",0,2,1,lookup values should use reference table,1,potential nulls in RevenueGross if not handled at source
financial_period_derived,Financial Period (FY - Q),calculated_field,string_function,string,quarterly,True,False,medium,"['financial_year', 'financial_quarter']","A concatenated string representing the Financial Year and Quarter (e.g., 'FY2025 - Q4').","CONCAT('FY',SAFE_CAST(t0.FinancialYear AS STRING),' - ',SAFE_CAST(t0.FinancialQuarter AS STRING))",['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],"[""Filtered to 'FY2025 - Q4'""]",string,Used for filtering and grouping data by specific financial reporting periods.,other,monthly,none,[],"[""'FY2025 - Q4'""]",['should be dynamic or parameterized'],[],1,6f1c8731-02da-464f-b146-bf2947860735,Programmatic Sales_NQ Data,2,"financial_year, financial_quarter",1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,1,Filtered to 'FY2025 - Q4',0,1,1,should be dynamic or parameterized,0,
derived_date_complex,Derived Filter Date,calculated_field,date_function,date,monthly,True,False,medium,"['financial_year', 'financial_month_number']","A date derived from Financial Year and a remapped Financial Month Number, truncated to the beginning of the month. Used in a complex date comparison filter.","SAFE_CAST(DATETIME_TRUNC(SAFE_CAST(DATE(t0.FinancialYear, CASE WHEN (t0.FinancialMonthNumber = 1) THEN 7 ... ELSE NULL END, 1) AS DATETIME), MONTH) AS DATE)",['ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month'],"[""Date constructed from FinancialYear and remapped FinancialMonthNumber must be <= '2025-06-26'"", ""PortfolioParentGroup IN ('CONSORTIUM VIC')"", ""Financial Period IN ('FY2025 - Q4')"", ""TransactionType IN ('Deal')"", ""PortfolioChildGroup IN ('VIC CON B3', 'VIC CON B2', 'VIC CON B1')""]",date,Likely used for specific period-over-period comparisons or snapshot reporting based on a custom financial calendar and a fixed cutoff date.,other,monthly,none,['26/06/2025'],"['CASE WHEN (FinancialMonthNumber = 1) THEN 7 ... ELSE NULL END', ""'CONSORTIUM VIC'"", ""'FY2025 - Q4'"", ""'Deal'"", ""'VIC CON B3'"", ""'VIC CON B2'"", ""'VIC CON B1'""]","['date should be parameterised', 'lookup values should use reference table', 'month remapping logic should be externalized']",['potential nulls if month remapping results in NULL'],1,6f1c8731-02da-464f-b146-bf2947860735,Programmatic Sales_NQ Data,2,"financial_year, financial_month_number",1,ncau-data-newsquery-prd.prstn_advertising.programmatic_fin_month,5,"Date constructed from FinancialYear and remapped FinancialMonthNumber must be <= '2025-06-26', PortfolioParentGroup IN ('CONSORTIUM VIC'), Financial Period IN ('FY2025 - Q4'), TransactionType IN ('Deal'), PortfolioChildGroup IN ('VIC CON B3', 'VIC CON B2', 'VIC CON B1')",1,7,3,"date should be parameterised, lookup values should use reference table, month remapping logic should be externalized",1,potential nulls if month remapping results in NULL
adtype_l1,Ad Type Level 1,dimension,string_function,string,transaction,True,False,low,[],The highest level classification of advertisement type.,adtype_l1,['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],string,Used for high-level segmentation of sales performance.,other,daily,none,[],[],[],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),0,,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,0,0,,0,
fin_adtype_name,Financial Ad Type Name,dimension,string_function,string,transaction,True,False,low,[],"The financial classification of advertisement type, often used for reporting.",UPPER(ASL.fin_adtype_name),['ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily'],[],string,"Provides a financial perspective on ad types, potentially different from operational classifications.",other,daily,none,[],[],[],[],2,52c11c9c-052a-4e45-9cda-8fecd87d7964,Team Sales Performance - FY26 (Interim)(with Pluto Reporting Date),0,,1,ncau-data-newsquery-prd.asl_advertising.adsales_revenue_performance_daily,0,,0,0,0,,0,
