dashboard_id,dashboard_name,dashboard_description,total_source_metrics,total_consolidated_metrics,metric_complexity_score,governance_summary
56c2d7df-a806-42fd-a626-09f428503c5b,Woolworths Rebranding,"This dashboard appears to track key digital engagement metrics related to a Woolworths rebranding initiative. It focuses on user interaction with web content, including overall page views, time spent on pages, and specific actions like printing recipes. The primary purpose is likely to monitor the impact and success of the rebranding efforts on user behavior and content consumption.",5,3,5,"This dashboard exhibits several governance issues. There is clear redundancy and naming inconsistency with 'Total Page Views (Brand)' and 'Total Page Views (Monthly)' having identical underlying logic, suggesting context-specific filtering is being embedded in metric names rather than handled at the dashboard layer. Furthermore, the 'Time Spent per Page View' metrics (Count and Sum of a per-record ratio) are ambiguously defined and less common than a standard overall average, indicating a need for clearer business definitions and standardization of derived metrics. This highlights a lack of consistent metric definitions and naming conventions, leading to potential confusion and maintenance overhead."
6640a246-777a-4fcf-a692-85e02e7f7a8e,Supercoach Engagement Activity Summary,"This dashboard provides an overview of user engagement and audience segmentation within the Supercoach platform. It focuses on key metrics such as unique subscriber counts, potentially segmented by audience type (e.g., AFL, engagement level), and aggregates related to rule groups, likely indicating activity or scoring. It also includes basic record counts, possibly for data quality or segmentation analysis.",5,3,3,"This dashboard contains significant governance issues. There are multiple instances where the same `metric_id` and `metric_sql_core` are used for different `metric_name`s, indicating redundant metric definitions or a lack of clear parameterization. Metric names often embed specific business filters (e.g., 'AFL Only', 'Paying Subscription Status') that are not reflected in the generic SQL core, leading to ambiguity about where filtering logic resides. This suggests a need for standardization of base metric definitions and consistent application of filtering at the dashboard or reporting layer."
ed91d3f4-4175-4293-a648-e8dbca4cea93,Newscorp Australia Daily Update,"This dashboard provides a daily operational overview of audience engagement for Newscorp Australia, specifically tracking key page view metrics across different digital channels (social and web). It aims to give a quick, consolidated snapshot of daily traffic performance, enabling stakeholders to monitor overall digital reach.",2,1,1,"This dashboard features clearly defined metrics for different categories of page views. Through consolidation, these distinct but related measures have been unified into a single 'Total Page Views' metric, providing a comprehensive and standardized view of overall traffic. The underlying SQL logic is simple and consistent, indicating a well-structured approach. This consolidation improves data governance by providing a single source of truth for total page views, reducing potential for misinterpretation or redundant calculations for overall traffic."
f04cf01a-a59d-4d08-a6a5-1f4a8a3540a9,Verity 2.0 Local,"This dashboard, 'Verity 2.0 Local', appears to be focused on tracking and visualizing daily performance targets. Specifically, it monitors the 'Total Daily Target by Section Team', suggesting its purpose is to provide an overview of operational or sales targets, broken down by specific teams or sections within an organization. It likely serves as a key performance indicator (KPI) dashboard for managing and assessing daily goal attainment at a localized or specific version (2.0) level.",1,1,1,"This dashboard currently contains only one metric. As such, there are no immediate governance issues related to metric duplication, inconsistent naming, or overly complex logic within the dashboard itself. However, a significant governance observation is the lack of explicit source table information (GCP project, dataset, table name) within the provided metric metadata. The 'metric_sql_core' uses an alias 't0' without defining its underlying table, which is a critical gap for data lineage, understanding, and maintainability. For future scalability and robust data governance, it is crucial to include comprehensive metadata for all source tables."
6dfeb6d8-8d5e-4118-ae57-9597289a7e53,Verity 2.0 Usage,"This dashboard is designed to monitor the usage and activity within the 'Verity 2.0' application. It tracks key operational metrics such as Google Analytics event counts, which likely represent user interactions and page views, and specific counts related to Verity user test records. The dashboard aims to provide insights into user engagement and the volume of test-related activities within the Verity 2.0 ecosystem.",3,2,1,"This dashboard exhibits a low level of metric complexity, with all metrics relying on a simple 'COUNT(1)' core SQL logic. A significant governance concern is the highly generic nature of the 'metric_sql_core', which implies that critical filtering and contextual logic (e.g., 'User & Page Filtered' vs. 'Page Filtered') is applied externally to the metric definition. This externalization can lead to inconsistencies, difficulty in auditing, and a lack of transparency regarding the exact data being counted. Additionally, the presence of very similar metric names ('GA Event Count (User & Page Filtered)' and 'GA Event Count (Page Filtered)') highlights a need for clearer naming conventions and consolidation to reduce redundancy and improve metric discoverability. The absence of explicit source table metadata within the provided metric definitions is also a governance gap, hindering data lineage and impact analysis."
eb8b311c-ae29-4773-b749-b429715b073d,Verity 2.0 Sport Newsroom : Sunrise Report (Click here to access the full report) ,"This dashboard, titled 'Verity 2.0 Sport Newsroom : Sunrise Report', appears to be an operational report designed for a sports newsroom. Its primary purpose is likely to provide a daily overview of key targets and associated dates, enabling tracking of daily performance against set goals for different publication groups. It serves as a 'sunrise' report, suggesting it's used at the start of the day to set or review daily objectives and monitor progress.",2,2,1,"This dashboard currently contains a very limited set of metrics, which are clearly named and have straightforward SQL logic. The `metric_sql_core` for each metric is simple and directly reflects its name. There are no obvious consolidation opportunities or redundant metrics based on the provided input. However, a significant governance gap is the complete absence of source table metadata (GCP project, dataset, table name) within the provided metric definitions. While the SQL uses a `t0` alias, the actual table it refers to is unknown, which hinders data lineage tracking and understanding of the underlying data sources. For future scalability and maintainability, it is crucial to embed source table information directly within metric definitions."
5fa24f44-3883-4580-8930-bc4ca0bb7430,Verity 2.0 Business Network : Sunrise Report (Click here to access the full report) ,"This dashboard, titled 'Verity 2.0 Business Network : Sunrise Report', likely provides an early-day overview of key performance indicators related to daily targets within a business network, specifically focusing on publication group targets. It aims to track progress against established daily goals, potentially for content publication or similar operational metrics.",2,1,1,"This dashboard exhibits a clear governance issue related to metric definition and naming. Two distinct metrics are defined with identical underlying SQL logic (`SUM(t0.day_target_by_publication_group)`), differing only in their names, with one explicitly indicating a 'RegEx Filtered' application. This suggests that filtering logic, which should ideally be applied at the reporting layer, has led to the creation of redundant core metrics. This practice increases maintenance overhead, introduces potential for inconsistency, and obscures the true 'golden' definition of the metric. Furthermore, critical metadata such as the source GCP project, dataset, and table for 't0' are missing from the provided metric definitions, hindering proper data lineage and governance."
d8104888-c324-42d8-a9b1-c065ba1c8622,NQ Cost Operation Dashboard Non-Prod,"This dashboard is designed to monitor and manage operational costs specifically related to BigQuery development activities within a non-production environment. It provides insights into the financial expenditure associated with development resources, enabling teams to track and optimize spending.",1,1,1,"Based on the single metric provided, the dashboard's purpose is clear and the metric's calculation is straightforward. However, with only one metric, it is not possible to identify patterns of naming inconsistencies, redundant calculations, or other common governance issues that typically arise in larger dashboards. A key piece of metadata, the `source_tables` information, was not provided for the metric, which is crucial for complete data lineage and governance."
f502f44a-e283-405f-ab8f-6a641edb4194,FY25 Campaigns Report,"This dashboard provides a comprehensive overview of campaign performance for Fiscal Year 2025. It focuses on key financial metrics such as gross revenue and operational dimensions like publication names and financial periods, likely serving to track campaign effectiveness and financial contributions.",6,4,3,"This dashboard exhibits significant metric redundancy, with identical SQL logic used for metrics differentiated only by contextual suffixes (e.g., 'Filtered Context', 'Current Data', 'Archived Data'). This indicates a lack of standardized metric definitions and naming conventions, leading to potential confusion and maintenance overhead. Consolidating these metrics will improve data consistency and simplify the dashboard's underlying logic. Furthermore, the absence of explicit source table details (project, dataset, table name) for the 't0' alias represents a data lineage governance gap, as these details were inferred for consolidation."
9e810f08-0171-451e-a406-6bf7076c4d2f,Verity 2.0 - TAUS Wealth Daily Update,"This dashboard appears to be an operational daily update focused on key performance indicators related to user registrations and subscription targets within the 'Wealth' domain, likely for 'The Australian' publication. It provides counts of various registration types and sums of daily subscription targets, suggesting its purpose is to monitor daily progress against business goals in these areas.",5,2,3,"This dashboard exhibits significant metric redundancy, with multiple metrics sharing identical core SQL logic (`COUNT(1)` and `SUM(t0.day_target_by_section_team)`). This indicates a lack of standardized metric definitions, leading to proliferation of similar metrics that likely differ only by dashboard-level filtering or grouping. This approach increases maintenance overhead and the risk of inconsistent reporting. There's also an inconsistency in metric naming specificity, which could lead to confusion regarding their exact scope without deeper investigation into dashboard filters."
