consolidated_metric_id,metric_name,business_description,consolidated_sql_core,source_tables,original_metric_ids,dashboard_id
cons_avg_time_per_page_view,Average Time Spent per Page View,"The average duration a user spends per page view across all recorded interactions. This is calculated as the total sum of time spent divided by the total sum of page views, providing a holistic measure of content engagement efficiency.","SAFE_DIVIDE(SUM(t0.total_time_spent), SUM(t0.page_views))","[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table'}]",t0___LEGO_COUNT_qt_ljluquil1b;t0___LEGO_SUM_qt_ljluquil1b,56c2d7df-a806-42fd-a626-09f428503c5b
cons_total_page_views,Total Page Views,"The cumulative count of all page views recorded across the digital platform. This metric represents the overall volume of content consumption, irrespective of specific brand or time-based filtering, which should be applied at the dashboard level.",SUM(t0.page_views),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table'}]",t0_qt_jfea5s7tsd;t0_qt_1gr18u7tsd,56c2d7df-a806-42fd-a626-09f428503c5b
cons_total_print_recipes,Total Print Recipes,The total count of instances where users initiated the action to print a recipe. This metric indicates user engagement with recipe content and a specific call-to-action.,SUM(t0.print_recipes),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table'}]",t0_qt_c7ea5s7tsd,56c2d7df-a806-42fd-a626-09f428503c5b
cons_unique_subscribers,Unique Subscribers,"The total count of distinct subscribers identified by their source ID. This metric represents the unique individuals within the Supercoach audience, serving as a foundational measure for audience size and reach. Specific audience segments (e.g., AFL Only, Moderately Engaged) should be derived by applying filters to this base metric at the reporting layer.",COUNT(DISTINCT t0.subscriber_id_src),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 't0'}]",t0_qt_bgqqczb5sd;t0_qt_bgqqczb5sd;t0_qt_bgqqczb5sd,6640a246-777a-4fcf-a692-85e02e7f7a8e
cons_total_rule_group_sum,Total Rule Group Number Sum,"The sum of rule group numbers, likely used to aggregate or score engagement based on predefined rule sets within the Supercoach platform. This metric provides an aggregated view of activity or complexity associated with rule groups.",SUM(t0.rule_group_number),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 't0'}]",t0_qt_ofs8qfb5sd,6640a246-777a-4fcf-a692-85e02e7f7a8e
cons_record_count,Record Count,"The total count of records, representing the number of rows in the underlying dataset. This serves as a base count, which can be filtered by various dimensions such as 'Paying Subscription Status' to derive specific segment counts at the reporting layer.",COUNT(1),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 't0'}]",t0_qt_ls8568b5sd,6640a246-777a-4fcf-a692-85e02e7f7a8e
cons_total_page_views,Total Page Views,"The aggregate total number of page views across all Newscorp Australia digital properties, combining traffic originating from social media channels and direct web properties. This metric provides a holistic view of content consumption.",SUM(t0.social_page_views) + SUM(t0.web_page_views),"[{'gcp_project': 'your_gcp_project', 'dataset': 'newscorp_daily_data', 'table': 'page_views_summary'}]",t0_qt_rk9umdgnud;t0_qt_x1h05l6mud,ed91d3f4-4175-4293-a648-e8dbca4cea93
cons_total_daily_target_by_section_team,Total Daily Target by Section Team,Represents the aggregated sum of all daily targets assigned to various sections or teams within the organization. This metric is used to track the collective daily performance goals that need to be achieved by operational units.,SUM(t0.day_target_by_section_team),"[{'gcp_project': 'your_gcp_project_id', 'dataset': 'your_dataset_id', 'table': 'daily_targets_by_section_team'}]",t0_qt_nczzqawhwc,f04cf01a-a59d-4d08-a6a5-1f4a8a3540a9
cons_ga_event_count,GA Event Count,"The total number of Google Analytics events recorded for the Verity 2.0 application. This metric quantifies user interactions and can be further filtered by specific event types, user attributes, or page views depending on the dashboard's context.",COUNT(1),[],t0c0d1_qt_s926bf1bxc;t0_qt_s926bf1bxc,6dfeb6d8-8d5e-4118-ae57-9597289a7e53
cons_verity_user_test_record_count,Verity User Test Record Count,The total number of test records associated with users within the Verity 2.0 application. This metric quantifies the volume of testing activity performed by users.,COUNT(1),[],t0c0d1_qt_x7iu2snbxc,6dfeb6d8-8d5e-4118-ae57-9597289a7e53
cons_total_daily_target_by_pub_group,Total Daily Target by Publication Group,Represents the aggregated daily target value assigned to specific publication groups within the newsroom. This metric is used to track and measure daily performance against predefined goals.,SUM(t0.day_target_by_publication_group),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_aliased_as_t0'}]",t0_qt_inllvy3fxc,eb8b311c-ae29-4773-b749-b429715b073d
cons_parsed_target_date,Parsed Target Date,"Converts the raw target date string (expected in YYYYMMDD format) into a standard date format, enabling date-based filtering and analysis for targets.","PARSE_DATE('%Y%m%d', SAFE_CAST(t0.targetdate AS STRING))","[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_aliased_as_t0'}]",t0_qt_ocr7rm5fxc,eb8b311c-ae29-4773-b749-b429715b073d
cons_daily_publication_group_target,Daily Publication Group Target,"Represents the sum of the daily target values for publication groups. This metric provides the baseline target for performance measurement, with specific filtering (e.g., RegEx) expected to be applied at the reporting layer as needed, rather than being embedded in the core metric definition.",SUM(t0.day_target_by_publication_group),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_xidh2icxwc;t0_qt_9tgejy1wwc,5fa24f44-3883-4580-8930-bc4ca0bb7430
cons_bigquery_dev_cost,BigQuery Development Cost,The total cost incurred for BigQuery development activities within the specified non-production environment. This metric aggregates all financial expenditures directly attributable to BigQuery usage for development purposes.,SUM(cost),[],t0_qt_h643zaum7c,d8104888-c324-42d8-a9b1-c065ba1c8622
cons_total_gross_revenue,Total Gross Revenue,The total sum of gross revenue generated across all campaigns for the specified period.,SUM(t0.gross_revenue_amount),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'campaigns_data_table'}]",t0_D2172003841457318143;t0_qt_efs0nrtjod,f502f44a-e283-405f-ab8f-6a641edb4194
cons_unified_publication_name,Unified Publication Name,"The standardized name of the publication associated with the campaign data, regardless of its current or archived status. Contextual filtering should be applied at the dashboard level, not via separate metrics.",t0.unified_publication_name,"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'campaigns_data_table'}]",clmn0_;clmn1_,f502f44a-e283-405f-ab8f-6a641edb4194
cons_data_load_timestamp,Data Load Timestamp,"The timestamp indicating when the underlying data for the dashboard was last loaded or refreshed, truncated to the second for precision.","DATETIME_TRUNC(t0.data_load_datetime, SECOND)","[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'campaigns_data_table'}]",t0_qt_mwa7rinxnd,f502f44a-e283-405f-ab8f-6a641edb4194
cons_financial_month_numeric,Financial Month (Numeric),"The numeric representation of the financial month for reporting purposes, safely cast to a floating-point number to handle potential non-numeric values gracefully.",SAFE_CAST(t0.financial_month AS FLOAT64),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'campaigns_data_table'}]",t0_qt_fjaazrtjod,f502f44a-e283-405f-ab8f-6a641edb4194
cons_total_registrations,Total Registrations,"Represents the total count of user registrations across all sources, articles, and publication groups. This metric serves as a foundational count for various registration-related analyses and can be filtered or segmented by relevant dimensions (e.g., wealth/health, specific publication, source, article) at the reporting layer.",COUNT(1),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'registrations'}]",t0_qt_csxy5qbzmd;t0_qt_gl6jwd65md;t0_qt_2uiercfxmd,9e810f08-0171-451e-a406-6bf7076c4d2f
cons_daily_subscription_target_sum,Daily Subscription Target Sum,"Represents the aggregated daily subscription target value for a given period, typically broken down by specific publications (e.g., The Australian), dates, or section teams. This metric is crucial for tracking progress against daily subscription goals and can be segmented by relevant dimensions at the reporting layer.",SUM(t0.day_target_by_section_team),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'daily_targets'}]",t0_qt_z2ovpuu7td;t0_qt_hfx8n3tvud,9e810f08-0171-451e-a406-6bf7076c4d2f
cons_unique_contacts_count,Unique Contacts Count,"The total number of distinct individuals or entities identified as contacts, typically representing unique participants, attendees, or respondents related to Data Townhall feedback or engagement.",COUNT(DISTINCT t0.contact_id),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table'}]",t0_qt_cxviq9ijhd;t0_qt_u50cxdhmgd,52b2e0a6-fd53-4788-94da-101037302104
