domain_metric_id,metric_name,metric_type,business_description,governed_sql_core,business_domain
dm_distinct_subscriber_count,Distinct Subscriber Count,domain_core_metric,"The total number of unique subscribers, identified by their source ID. This foundational metric represents the authoritative count of individual users within the digital media domain and serves as the basis for further segmentation and audience analysis.",COUNT(DISTINCT subscriber_id_src),digital_media
dm_sum_rule_group_numbers,Sum of Rule Group Numbers,domain_core_metric,"The aggregate sum of 'rule_group_number' values. This metric quantifies the total value of rule groups, which are typically used for scoring, categorization, or weighted analysis within specific digital media systems like SuperCoach. It represents a core numerical aggregation for this specific business concept.",SUM(rule_group_number),digital_media
dm_total_record_count,Total Record Count,domain_core_metric,"The total number of records or rows within a given dataset or context. This fundamental metric provides a raw volume count, essential for understanding data completeness, calculating proportions, or as a base for other metrics across the digital media domain.",COUNT(1),digital_media
it_ops_unique_l03_department_count,Unique L03 Department Count,domain_core_metric,Measures the total number of distinct Level 03 departments identified within the IT Operations domain. This metric helps in understanding the breadth of departmental involvement or scope across IT initiatives.,COUNT(DISTINCT L03_department),IT_Operations
it_ops_unique_project_count,Unique Project Count,domain_core_metric,"Measures the total number of distinct projects recorded within the IT Operations domain. This metric provides insight into the volume of active or tracked projects, indicating the scope of work managed by IT.",COUNT(DISTINCT PROJECT),IT_Operations
it_ops_unique_jira_key_count,Unique Jira Key Count,domain_core_metric,"Measures the total number of distinct Jira issue keys present within the IT Operations domain. This metric is crucial for understanding the unique volume of work items, incidents, or requests being tracked and managed by IT.",COUNT(DISTINCT jira_key),IT_Operations
core_total_records,Total Records,domain_core_metric,"The total number of records or entities within the current data context. This serves as a fundamental count for any dataset, indicating the volume of underlying data points (e.g., video posts, viewing events, social content items).",COUNT(1),Media Analytics
core_total_actual_interactions,Total Actual Interactions,domain_core_metric,"The sum of all actual interactions recorded for social content. This metric captures the overall engagement based on a specific 'actual interactions' field, ensuring robust handling of data types.",SUM(SAFE_CAST(t0.statistics_actual_total_interactions AS FLOAT64)),Media Analytics
core_total_post_interactions,Total Post Interactions,domain_core_metric,The sum of all interactions specifically attributed to posts. This metric provides insight into engagement directly related to individual post content.,SUM(t0.post_interactions_count),Media Analytics
core_total_video_views,Total Video Views,domain_core_metric,The cumulative count of all video views across all tracked instances. This metric indicates the total engagement volume with video content.,SUM(insights_video_views_count),Media Analytics
core_total_video_watch_time_aggregated,Total Video Watch Time (Aggregated),domain_core_metric,"The cumulative sum of pre-calculated average video view durations. This metric represents the total time users spent watching videos, assuming 'insights_video_view_average_seconds_duration' captures the average duration per view or per video instance. It's important to note that this is a sum of averages, not a true overall average watch time derived from raw total duration and total views.",SUM(insights_video_view_average_seconds_duration),Media Analytics
core_total_video_content_length,Total Video Content Length,domain_core_metric,The cumulative sum of the total length of all video content in seconds. This metric represents the maximum potential watch time if all videos were viewed entirely from start to finish.,SUM(post_video_length_seconds_duration),Media Analytics
