dashboard_id,dashboard_name,business_domain
e0552be8-36bd-484d-aa60-b531621651c0,GIC Dashboard,finance
3cf1c516-8797-455b-913a-8722b604bbfe,Audience Insights - The Australian engagement,Media/Publishing
ff4058c3-43f5-4324-a3ce-0c1aa455d67b,SANDBOX VERSION - Paid Consumer Subscriptions Acquisition Dashboard,finance
57a6a6b6-710d-4258-968d-35ab9a7704e5,Verity 2.0 Gold Coast Bulletin : Sunrise Report (Click here to access the full report),media/publishing
a318d7d9-e528-475f-8c17-9aefdfac4190,Copy of Test of Consumer - Core Subscription Health Check ,finance
a7a1d3ee-3b79-471c-a04a-22383717538e,Editorial AI - Source Data,Media
fb7ea77f-c0b0-490a-9cb2-eb49816cf8fa,ARM,finance
af564bd3-ec49-4836-9e6f-2040699aa76b,DP Dashboard - Draft v1,finance
48a09c73-18f8-4e25-a22f-61398f34ab2a,Verity 2.0: NSN Weekly Subs - NRL,finance
07de4dcd-194f-42aa-87bf-ee79996fb768,Verity 2.0 Local Last week's performance,unknown
d3b51d1f-8b66-440f-9bc3-cc96429075bd,Verity 2.0 - S&C Federal Election Daily,news/media
ae8a7e4a-6850-4617-aca7-de689047229d,News monthly snapshot - IPSOS,Media Analytics
c4796c36-94d3-4cbf-9762-4f2a492454bb,SVOC Customer Interaction draft analysis,finance
3e28affe-dc1b-43b8-b7aa-bd7cb3572084,Digital Subscriptions - Extracts,finance
57957536-505f-4507-8062-c7cbe7c46ecf,Verity 2.0 Pulse Check - Monthly v2,finance
36c94aef-cf82-466b-9b8f-6a3a6580e059,Hackathon- AI-2025,finance
bedebbe4-3e46-47d5-bc36-6d867544ba66,News Incident Report,IT Operations
c00fff03-f644-4725-90db-35b254793268,Verity 2.0 - Daily Digital Retro - HS,finance
ec783355-ff58-423e-a8df-83c75e9f77b3,Verity 2.0 Townsville Bulletin : Sunrise Report (Click here to access the full report),business_performance
7ada02b8-e93e-41d8-9a7e-05013ff81247,Unmapped Revenue NPV,finance
47325be1-3ddd-4d01-8fc0-3ec1e532b196,Verity 2.0 user table lookup,Internal Operations / User Management
a7a0f9fb-9e07-4931-8127-a7944660b5c9,Verity 2.0 - PRD - Video Summary,Media Analytics
73e125c7-5447-4e59-9560-ed12d7c7f153,Adomik Snowflake v NQ CDM,finance
5fa24f44-3883-4580-8930-bc4ca0bb7430,Verity 2.0 Business Network : Sunrise Report (Click here to access the full report) ,finance
8f848270-688f-4455-82a6-3bc9a7d39cce,Newsquery Health App,finance
81522b56-4697-49ac-93da-6faed306d799,GOOD Churn Score - Counts by healthcare Updated DG 140224 ,finance
2a7796ef-1ee1-46d5-ab21-dee8ec3ac155,AI at Scale App,finance
19891283-911c-4528-b830-c99e4cb76155,Verity 2.0 Daily C-Score report: DT,finance
6f1c8731-02da-464f-b146-bf2947860735,Programmatic Sales_NQ Data,finance
6a9da673-c8cd-4bd5-8743-77da4afcfa78,TDD DATA - AUDIO DASHBOARD,finance
2a7c146f-7170-4d91-8508-f0a5d2e55e7c,On platform Winback reporting,finance
362cc5e9-d421-48f2-bdf3-042b976176aa,DPE Monthly Product Data Report,Media Analytics
a07c3b8c-9aac-4462-8d22-f3c662016f59,Verity 2.0 The Weekend Australian Performance,finance
a5d7d240-afbf-4f2d-b228-565c10dceb18,Updated Postcode Report ,finance
87f8ac55-5642-48ed-a7e7-f56dffb4ff94,Core Web Vitals : Monthly Chrome UX Market Data,Web Performance Analytics
858161fd-9f14-4882-b218-2190b7325229,REA/RCA Referral Report,Digital Analytics
c902dea7-7c03-4995-a4f5-56ff4f6f5635,SMS send monthly count by brand,Marketing
37641205-ec3e-4184-a5dd-f5ca79248335,Digital Subscriptions Report,finance
db85d1ac-5987-469f-978a-5334af29f7aa,CodeLite Dashboard,media/publishing
f9ccd2b5-7e80-4e3f-a00a-770cd45b1441,Editorial AI | User Overview,media_publishing
db5d30dd-1fbd-4ddf-9ce5-21d28b662ce6,Verity 2.0 The National News Network Daily,finance
43bb6e05-d417-49e0-870f-e51fa1b31b59,Verity 2.0 - Prod - PRSTN - Content Registration Summary,finance
9ecab5db-180b-480c-a819-d10e5b8d263e,Requests from Gad,finance
5c2ab8ff-72ab-4387-bbb9-f29746fc7985,Subscription Movement Tracking ,finance
435b3177-8c9b-458c-9225-9c49bdbb9c98,Exit link from Datalocal auction-sales stories,media
9d62354b-6993-4829-9de4-f12bf37befab,Newsquery BAU,finance
bac3734e-7fa0-4c2e-aee2-5547277d21f3,EIC Weekly Newsletter Dashboard,finance
c3fc480a-3d9d-4ea9-96f3-4eab5ec79637,Copy of Consumer-UD - Core Subscription Health Check ,finance
acf4223b-efb2-4a6e-961d-a2f5fe0e004e,Verity 2.0 - Daily Digital Retro - DT,finance
a42a8045-0c60-4346-bfd2-6d2b5839ebec,Verity 2.0 NNN Weekly Performance Report,finance
a00f4341-2de3-4d89-8f85-cca805fb10d7,NewsQuery Cost Operation Dashboard-20241105,finance
a1c16d3b-d19a-4abd-b96c-7a87580815db,Verity data for finance scorecard - DRAFT,finance
eef984c7-b528-4716-a506-e8e8bcb7861f,Verity 2.0 SA Weekend Content Review: Tuesday report,Media Analytics
5f6befe5-af10-4fe9-80aa-9d3827c6732a,EDV - Status Monitoring,finance
8087886f-b3c5-4337-a45e-f51b8819a362,Funnel Report Official,Digital Analytics
906ca8a7-1733-4a1a-b2f5-2660551f3d3a,Month End Reporting Reconcilation - ME team copy,finance
e6db873d-657f-40e8-87a0-007d41f68a55,Verity 2.0 The Australian,media/publishing
c32d96e5-38f4-48a8-9b70-3d89a83f03aa,Circulation Insights,finance
7888a780-7777-411b-b07b-398b87d2cfd0,Newpass reporting,Customer Acquisition
127587ca-3bf2-4367-809c-ce91aca8fb52,Verity - Prod - Newsroom display - TABN,finance
73153654-dd99-4f67-839d-a986a52ca1e2,Monthly Executive Summary 2.0,media_analytics
52dd1ac1-19b5-4695-a7e6-632ef7a9dba3,Consumer Finance Landing Page,finance
eb8b311c-ae29-4773-b749-b429715b073d,Verity 2.0 Sport Newsroom : Sunrise Report (Click here to access the full report) ,media
d3bcf796-2396-4a6f-b0a3-da0b7f299a58,Publisher and Product Performance Dashboard - FY25 v2,finance
ae3044ce-064d-4d74-90fc-2cf45afa04ee,Verity 2.0 - Collection History - Network Audience,Media & Content
2cdcf36b-a99b-4beb-88a6-a28d238f6c1f,DOM - cancels by refferer by month,finance
35ec2da8-3e63-4f97-90fa-bf9686769718,MRCA Advertising Performance Dashboard - FY26,finance
7b2ac26e-4ef1-4402-8aa5-975ecaab08b1,Bigquery Load Cost Analysis,finance
0c50ad01-a1a6-49a6-895f-4c2002a12173,Retentions Dashboard version 1.0,finance
9c8f39dc-bf5f-4292-bfe3-c6e1ec71c588,Streaming Performance FY26,finance
b3eace25-3ec3-427a-839f-0639faf377ea,Regression Source Data Analysis,finance
e642b3f9-9711-44c8-b2d8-959ded9f5b0d,OFFICIAL EDIT - Audience Insights - Adds & Cancels Performance ,Customer Analytics
39e47abe-f145-4ba6-9562-03fc4d6512d4,Verity 2.0 Daily Telegraph: Sunrise Report (Click here to access the full report) ,media/publishing
5da65dbf-b1cc-467b-85fc-3c82ea5c9f13,DT Verity At-A-Glance,finance
c4355ac4-14e3-42a0-ae17-f706fa774b3b,Election Reporting,news
3f582360-cbc4-4ee3-80a7-14fa61b2f1fd,NIS KPI REPORT,finance
f04cf01a-a59d-4d08-a6a5-1f4a8a3540a9,Verity 2.0 Local,Sales
c03dec50-b74e-40c6-a5c8-50fad5ea3f0f,Gen Ai: article summaries,Media/Publishing
b084f975-486d-4a17-af39-3c20dd915f63,Audience Insights - The Courier-Mail engagement,media
25db1e50-2b08-468d-8b46-c06dc1308920,Consumer - Core Subscription Health Check ,Data Operations
23c8b213-a9f0-4158-b8fa-bff14425abb5,TM1 NewsQuery Tables,finance
4d5e906e-84b0-4825-ad1f-ebaf86acd462,Audience Insights - Cancels Performance - DRAFT,finance
647e7eab-0b9d-4a55-8429-becd2ee551d1,Food monthly snapshot - IPSOS,Market Research / Audience Analytics
ef665693-433c-4236-8c1f-77174b969b2c,Audience Insights - Closing Base,media_and_publishing
70dc50c7-72fe-4268-8e22-6de00e463d20,Verity 2.0 NewsLocal and NSW NRM performance,finance
7d875070-2381-4306-abf2-c96c75d57d3c,Consumer - Core Subscription Health check,Data Operations
d5fd8b83-22d8-478f-8e22-b9e83bda01f2,Percentage of article read,finance
eb904391-4d82-4b02-9f99-5eef7336117f,Martini Dashboard,media analytics
f2c8cb48-bbf1-4dd5-a321-add152010e22,Op's Critical Monitoring,data_operations
258a722d-9b6e-45df-ba00-1b9954ec36b2,Debtor to Account Mapping,finance
a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f,Pacing Dashboard,finance
1147dd47-ccea-49cb-bff0-6019f3249bc9,Verity 2.0 Daily C-Score report: HS,customer_analytics
3f48ba44-14ba-4a43-b02c-7700d0f49c0b,Kidspot Weekly Update,Digital Analytics
4473a333-74f4-463b-81e7-151f93013906,Verity 2.0 Weekly performance report: HS & SHS,finance
3516a531-3188-4e5d-b49c-3150298ebdc7,Verity 2.0 Advertiser: Sunrise Report (Click here to access the full report),marketing
a96a5942-b538-4aba-83cb-d4f16db9a59d,Code App quick look,finance
87651b69-c43e-471f-9c4b-98df1208a844,Programmatic Sales Patches ,finance
e6d054c7-c65a-442d-b2a7-4afd6e4884da,Content owned vs sourced report,finance
003ea399-8d01-4613-91ef-e27f1254bda8,Verity 2.0 Masthead Performance vs Targets,finance
41f3dfc4-db10-4e4a-9627-1261e9286fd0,Verity 2.0 Daily C-Score report: TABN,media
3a820eee-f69e-403d-a972-29c4529ec582,Verity 2.0 Weekly performance report: DT & ST,finance
05d7819d-3d0d-44b4-9701-0ac35c5643fa,Audio Dashboard,media_analytics
c17f4598-1eb7-4947-8cbe-c7e09f9a143,S&C Health - total results,Content Analytics
0a4ccf98-dfe7-4bab-b2ed-e2a27ebd9588,Kidspot Daily Update,finance
1f134ccb-ed11-45d8-ac05-916f31640357,News.com.au Daily Update 5.0 Dev2.0,news_media
33b41b56-aab7-4a76-bb96-0c891b4b0a1f,Verity 2.0 Education: Sunrise Report,Media/Publishing
4e1ed0ba-1904-40e6-9841-57377cd9cb53,DCR Volumetrics Gaps - Company-level,finance
47854b57-024a-4188-adec-cb2f68607208,NewsQuery Overview ,Data Governance
0cc68971-6bc6-41be-89c9-89776561c2f4,Genome Dashboards,finance
d8104888-c324-42d8-a9b1-c065ba1c8622,NQ Cost Operation Dashboard Non-Prod,finance
8ea43b00-837f-4d0f-9c52-5c5f451785ea,Switch and Reactivation - From -> To Details Extract,finance
18ab97b7-4915-4422-bcb4-ceda8d436b25,NewsQuery Overview,finance
6012ead7-57df-4fee-8cc4-5ea3125ef993,Tier 1 Distribution - DASHBOARD,finance
56c2d7df-a806-42fd-a626-09f428503c5b,Woolworths Rebranding,
ee06d96e-a079-4304-ad4a-2c9a13d20ddf,Verity 2.0 Newsroom 2025: Accelerated Newsroom Performance,media_analytics
3c8903a2-8dab-445a-9965-8cc2dbeceb0b,AVP - Video Data Dashboard,media
0546f07c-bb7b-4ec0-aba8-06c738dd12ec,Verity 2.0 Messenger Weekly Subs and C-Score dashboard,finance
6c8affc5-3d5f-4481-a0ff-d3f6b4cec4a8,Verity 2.0 The Australian Daily,finance
6575ef79-5264-4580-998a-8150e679f565,Verity 2.0 Sports Live Streams: Weekly Wrap (Click here to access the full report),finance
783f341c-8660-4e90-bab8-9bc860119cf5,Deals Dashboard,finance
cbed6cf2-50c3-494c-a4be-4d21d6ad9dac,National Sports Newsroom: Daily Report ,finance
1b9efa96-31e0-4a43-9f74-c5d0da8c5e42,Audience Insights - The Advertiser engagement,Marketing
02e77971-7980-47de-853b-5bc0943a65b1,VERITY AT A GLANCE - REGIONALS,finance
9060d6e1-ee05-438a-9bae-b80814a5e065,Verity 2.0 - Network Syndication Performance yesterday,finance
e0746d13-dad7-4ba1-aabc-d3b8e83cef54,FY25 Copy of AdSales Data for Pacing Report ,finance
c9529742-6e47-4644-ae3e-87ace36730cc,Verity 2.0 CODE weekly report,finance
9c92f02-f13b-4c32-a400-90135fdff180,Verity 2.0 - TAUS Wealth Last Week,finance
05edacf6-0910-4e94-bbe4-00ebc469fc80,Metadata explorer,media
f60ad8ef-829d-4363-b705-c60a305ec777,Verity 2.0 Herald Sun : PM Conference (Click here to access the full report) ,finance
a5ab7569-238a-4229-a402-868a12d75088,Client Heath - Check ,finance
811bb139-3da6-4fa5-8ddc-4b9f263cb1d5,Beyond Words | Production Dashboard - Beta,media_analytics
