variable_type,hardcoded_values,context,suggested_governance,impact,maintenance_risk,response_id,dashboard_id,issue_type,hardcoded_values_count,hardcoded_values_text,date_value,original_format,suggested_fix,urgency
business_rules,"[""'Rolling 12 months'"", ""'Calendar Year'"", ""'Financial Year'""]",Time period selection logic for 'ty'/'ly' calculation.,Parameterize time period selection in Looker Studio or use a configuration table.,high,high,0,601ed0d2-e944-4189-8170-d593c8e72026,hardcoded_variable,3.0,"'Rolling 12 months', 'Calendar Year', 'Financial Year'",,,,
lookup_codes,"[""'ty'"", ""'ly'""]",Flags for 'this year' and 'last year' periods.,"These are internal flags, but their derivation logic should be robust and potentially configurable.",medium,medium,0,601ed0d2-e944-4189-8170-d593c8e72026,hardcoded_variable,2.0,"'ty', 'ly'",,,,
lookup_codes,"[""'Q1'"", ""'Q2'"", ""'Q3'"", ""'Q4'""]",Quarter definitions based on month numbers.,Use a date dimension table with pre-calculated quarters or a UDF for quarter logic.,medium,medium,0,601ed0d2-e944-4189-8170-d593c8e72026,hardcoded_variable,4.0,"'Q1', 'Q2', 'Q3', 'Q4'",,,,
display_format,"[""'$'"", ""'$\\'000'""]",Currency display format for spend metrics.,Parameterize currency display or use a standard formatting function.,low,low,0,601ed0d2-e944-4189-8170-d593c8e72026,hardcoded_variable,2.0,"'$', '$\'000'",,,,
filter_values,"[""'KEY ACCOUNTS TRAVEL'""]",Filtering on `portfolio_parent_group_name`.,Use a Looker Studio filter control or parameter for dynamic selection.,medium,medium,0,601ed0d2-e944-4189-8170-d593c8e72026,hardcoded_variable,1.0,'KEY ACCOUNTS TRAVEL',,,,
filter_values,"[""'NEWS CORP'"", ""'youtube'"", ""'facebook'""]",Conditional sums based on `Media_Network`.,"If these are dynamic, use a configuration table for media networks and loop through them or use a parameter.",medium,medium,0,601ed0d2-e944-4189-8170-d593c8e72026,hardcoded_variable,3.0,"'NEWS CORP', 'youtube', 'facebook'",,,,
filter_values,"[""'NT Dept Of Trade Business & Innovation'"", ""'NT Dept Of Chief Minister'"", ""'NT Dept Of Infrastructure Planning & Logistics'"", ""'NT Dept Of Industry Tourism & Trade'"", ""'NT Dept Of Education Employment & Training'"", ""'NT Dept Of Tourism & Culture'"", ""'NT Dept Of Transport'"", ""'NT Dept Of Attorney-General & Justice'"", ""'NT Dept Of Environment & Natural Resources'"", ""'NT Dept Of Lands Planning & The Environment'"", ""'NT Dept Of Health'"", ""'NT Dept Of Police Fire & Emergency Services'"", ""'NT Dept Of Business'"", ""'NT Dept Of Territory Families, Housing & Communities'"", ""'NT Dept Of Primary Industry & Resources'"", ""'NT Dept Of Environment Parks & Water Security'"", ""'NT Dept Of Corporate & Information Services'""]",Filtering on `Advertiser` names.,"Use a Looker Studio filter control or parameter for dynamic selection, or group these into a 'NT Government' category in a dimension table.",high,high,0,601ed0d2-e944-4189-8170-d593c8e72026,hardcoded_variable,17.0,"'NT Dept Of Trade Business & Innovation', 'NT Dept Of Chief Minister', 'NT Dept Of Infrastructure Planning & Logistics', 'NT Dept Of Industry Tourism & Trade', 'NT Dept Of Education Employment & Training', 'NT Dept Of Tourism & Culture', 'NT Dept Of Transport', 'NT Dept Of Attorney-General & Justice', 'NT Dept Of Environment & Natural Resources', 'NT Dept Of Lands Planning & The Environment', 'NT Dept Of Health', 'NT Dept Of Police Fire & Emergency Services', 'NT Dept Of Business', 'NT Dept Of Territory Families, Housing & Communities', 'NT Dept Of Primary Industry & Resources', 'NT Dept Of Environment Parks & Water Security', 'NT Dept Of Corporate & Information Services'",,,,
lookup_codes,"[""'CP'"", ""'PY'""]",period_name filter in the calendar join,Use a parameter or a control table to define the current and prior periods dynamically.,high,medium,1,d7412673-0af1-4efe-8374-ca475b001fb6,hardcoded_variable,2.0,"'CP', 'PY'",,,,
,,Fiscal Year filter (fy_year = 2025),,high,,2,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,hardcoded_date,,,2025,INT64,"Replace with a parameter or a dynamic fiscal year calculation (e.g., based on CURRENT_DATE()).",high
lookup_codes,"[""'Digital Y'"", ""'Digital N'"", ""'Bundle Y'"", ""'Not Available Y'""]",Defines 'Digital Subscriptions' vs 'Print Subscriptions' based on delivery_medium_type and subscriber_has_email_flag.,Create a `subscription_type_mapping` reference table.,medium,medium,2,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,hardcoded_variable,4.0,"'Digital Y', 'Digital N', 'Bundle Y', 'Not Available Y'",,,,
