interaction_type,primary_metric,related_metrics,relationship_description,mathematical_formula,business_validation,validation_sql,relationship_strength,business_impact,response_id,dashboard_id,related_metrics_count,related_metrics_text
mathematical_relationship,total_current_fy_gross_revenue_k,['total_current_fy_gross_revenue'],Total Current FY Gross Revenue (000s) is derived by dividing Total Current FY Gross Revenue by 1000.,total_current_fy_gross_revenue_k = total_current_fy_gross_revenue / 1000,Ensures revenue figures are presented in a consistent and easily digestible format (thousands).,SELECT SUM(total_current_fy_gross_revenue_k * 1000) = SUM(total_current_fy_gross_revenue) FROM FinalMetrics,strong,medium,0,9269e9c6-1ad0-4415-96c3-aca8a710ba01,1,total_current_fy_gross_revenue
mathematical_relationship,total_prior_fy_gross_revenue_k,['total_prior_fy_gross_revenue'],Total Prior FY Gross Revenue (000s) is derived by dividing Total Prior FY Gross Revenue by 1000.,total_prior_fy_gross_revenue_k = total_prior_fy_gross_revenue / 1000,Ensures prior year revenue figures are presented in a consistent and easily digestible format (thousands).,SELECT SUM(total_prior_fy_gross_revenue_k * 1000) = SUM(total_prior_fy_gross_revenue) FROM FinalMetrics,strong,medium,0,9269e9c6-1ad0-4415-96c3-aca8a710ba01,1,total_prior_fy_gross_revenue
mathematical_relationship,total_conditional_gross_revenue_k,['total_conditional_gross_revenue'],Total Conditional Gross Revenue (000s) is derived by dividing Total Conditional Gross Revenue by 1000.,total_conditional_gross_revenue_k = total_conditional_gross_revenue / 1000,Ensures conditional revenue figures are presented in a consistent and easily digestible format (thousands).,SELECT SUM(total_conditional_gross_revenue_k * 1000) = SUM(total_conditional_gross_revenue) FROM FinalMetrics,strong,medium,0,9269e9c6-1ad0-4415-96c3-aca8a710ba01,1,total_conditional_gross_revenue
filter_impact,total_current_fy_gross_revenue_k,"['financial_period_combined', 'sales_segment_l_2_name']",All aggregated revenue metrics are filtered by specific values of 'financial_period_combined' ('Jul Q1 H1') and 'sales_segment_l_2_name' ('Consortium QLD').,N/A,"These filters define the scope of the sales performance being analyzed, focusing on a specific period and sales team.",SELECT COUNT(*) FROM FinalMetrics WHERE financial_period_combined NOT IN ('Jul Q1 H1') OR sales_segment_l_2_name NOT IN ('Consortium QLD'),strong,high,0,9269e9c6-1ad0-4415-96c3-aca8a710ba01,2,"financial_period_combined, sales_segment_l_2_name"
dependency,total_conditional_gross_revenue,"['is_current_fy', 'is_unified_publication_ecommerce_outstream_etc', 'effective_date_for_revenue', 'prior_year_reference_date', 'gross_revenue_amount']","The 'Conditional Gross Revenue' metric has complex dependencies on multiple flags and date comparisons, indicating a specific business rule for this revenue type.",SUM(CASE WHEN (is_current_fy AND is_unified_publication_ecommerce_outstream_etc) THEN gross_revenue_amount WHEN (is_current_fy AND effective_date_for_revenue <= prior_year_reference_date) THEN gross_revenue_amount ELSE 0 END),"This metric likely represents a specific 'Digital YTD' or 'Product-Specific YTD' revenue, requiring careful validation of its underlying business logic and date alignment.",SELECT COUNT(*) FROM FinalMetrics WHERE conditional_gross_revenue_base > 0 AND NOT ((is_current_fy AND is_unified_publication_ecommerce_outstream_etc) OR (is_current_fy AND SAFE_CAST(effective_date_for_revenue AS DATETIME) <= prior_year_reference_date)),strong,high,0,9269e9c6-1ad0-4415-96c3-aca8a710ba01,5,"is_current_fy, is_unified_publication_ecommerce_outstream_etc, effective_date_for_revenue, prior_year_reference_date, gross_revenue_amount"
mathematical_relationship,current_fy_revenue_k_minus_lgb_k,"['current_fy_gross_revenue_k', 'current_fy_lgb_k']",This metric is a direct subtraction of 'Current FY LGB (Thousands)' from 'Current FY Gross Revenue (Thousands)'.,current_fy_revenue_k_minus_lgb_k = current_fy_gross_revenue_k - current_fy_lgb_k,Validates the net revenue or variance after accounting for 'Last Good Booking' within the current financial year.,"SELECT 
  SUM(CASE WHEN relative_fy_year_offset = 0 THEN SAFE_DIVIDE(gross_revenue_amount, 1000) ELSE 0 END) - 
  SUM(CASE WHEN relative_fy_year_offset = 0 THEN SAFE_DIVIDE(ss_lgb, 1000) ELSE 0 END) AS calculated_difference,
  SUM((CASE WHEN relative_fy_year_offset = 0 THEN SAFE_DIVIDE(gross_revenue_amount, 1000) ELSE 0 END) - (CASE WHEN relative_fy_year_offset = 0 THEN SAFE_DIVIDE(ss_lgb, 1000) ELSE 0 END)) AS direct_calculation
FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance`
WHERE SAFE_CAST(booking_line_created_date AS DATE) >= DATE_SUB(CURRENT_DATE(), INTERVAL 90 DAY);",strong,high,1,4d8074b2-17a8-48ba-babe-c536359b1f64,2,"current_fy_gross_revenue_k, current_fy_lgb_k"
hierarchical,total_gross_revenue_amount,"['current_fy_gross_revenue', 'previous_fy_gross_revenue', 'next_fy_revenue_k']","The total gross revenue is the sum of revenue across all financial years. The FY-specific metrics are subsets of this total, filtered by `relative_fy_year_offset`.",total_gross_revenue_amount = SUM(current_fy_gross_revenue) + SUM(previous_fy_gross_revenue) + SUM(next_fy_revenue_k * 1000) + other_years_revenue,"Ensures that the sum of segmented revenue aligns with the overall total revenue, providing a consistent view of financial performance across different time horizons.","SELECT 
  SUM(gross_revenue_amount) AS total_revenue,
  SUM(CASE WHEN relative_fy_year_offset = 0 THEN gross_revenue_amount ELSE 0 END) AS current_fy_revenue,
  SUM(CASE WHEN relative_fy_year_offset = -1 THEN gross_revenue_amount ELSE 0 END) AS previous_fy_revenue,
  SUM(CASE WHEN relative_fy_year_offset = 1 THEN gross_revenue_amount ELSE 0 END) AS next_fy_revenue,
  SUM(CASE WHEN relative_fy_year_offset NOT IN (0, -1, 1) THEN gross_revenue_amount ELSE 0 END) AS other_fy_revenue
FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance`
WHERE SAFE_CAST(booking_line_created_date AS DATE) >= DATE_SUB(CURRENT_DATE(), INTERVAL 90 DAY);",strong,high,1,4d8074b2-17a8-48ba-babe-c536359b1f64,3,"current_fy_gross_revenue, previous_fy_gross_revenue, next_fy_revenue_k"
dependency,previous_fy_gross_revenue_date_cond,['previous_fy_gross_revenue'],"This metric is a more specific version of 'Previous FY Gross Revenue', adding a complex date condition. It is a subset of the general previous FY revenue.",previous_fy_gross_revenue_date_cond <= previous_fy_gross_revenue,"Used to compare a specific historical period's performance against the broader previous financial year, often for targeted analysis or campaign effectiveness.","SELECT 
  SUM(CASE WHEN relative_fy_year_offset = -1 THEN gross_revenue_amount ELSE 0 END) AS previous_fy_total,
  SUM(CASE WHEN (relative_fy_year_offset = -1 AND (SAFE_CAST(CASE WHEN (revenue_type = 'DIGITAL' AND revenue_group_subtype = 'DIGITAL' AND sales_segment_l_2_name_sync = 'Digital Other' AND advertiser_parent != 'DOUBLECLICK') THEN fix_date_lod ELSE PARSE_DATE('%Y-%m-%d', booking_line_created_date) END AS DATETIME) <= DATETIME_ADD(DATE(TIMESTAMP '2025-01-06 23:58:33.668651+00', 'Australia/Sydney'), INTERVAL -365 DAY))) THEN gross_revenue_amount ELSE 0 END) AS previous_fy_date_cond_total
FROM `ncau-data-newsquery-prd.asl_finance_derived.adsales_performance`
WHERE SAFE_CAST(booking_line_created_date AS DATE) >= DATE_SUB(CURRENT_DATE(), INTERVAL 90 DAY);",strong,medium,1,4d8074b2-17a8-48ba-babe-c536359b1f64,1,previous_fy_gross_revenue
mathematical_relationship,total_volume_draw_adj_returns,"['total_draw_volume', 'total_returns_volume']","Total Volume (Draw + Adjustment + Returns) is a direct sum of Draw Volume, Returns Volume, and Adjustment Volume. It represents the aggregate movement of units.",total_volume_draw_adj_returns = SUM(Draw Volume) + SUM(Adjustment Volume) + SUM(Returns Volume),"This relationship ensures that the overall volume metric accurately reflects the sum of its component parts, providing a comprehensive view of unit circulation.","SELECT SUM(total_volume_draw_adj_returns) AS total_combined_volume, SUM(total_draw_volume + total_returns_volume + (SELECT SUM(CASE WHEN charge_type = 'ADJUSTMENT' THEN route_volume ELSE 0 END) FROM `ncau-data-newsquery-prd.asl_finance.v_asl_circualtion_insights` WHERE SAFE_CAST(LEFT(SAFE_CAST(fiscal_week_id AS STRING), 4) AS INT64) = 2025)) AS sum_of_components FROM primary_analysis_sql_output_table WHERE fiscal_week_id IN (202541, 202542, 202543, 202544, 202545) AND day_of_week = 'Sun';",strong,high,2,c441950c-1e3f-432c-9838-847d1d315b9e,2,"total_draw_volume, total_returns_volume"
filter_impact,total_charge_amount,"['publication_group', 'sales_channel_l4']",The 'Total Charge Amount' metric is specifically filtered by 'sales_channel_l4' = 'Subscriptions' and 'publication_group' = 'DT'. This indicates a focused analysis on a particular segment of revenue.,,"This relationship highlights that the dashboard is interested in subscription revenue specifically for the 'DT' publication group, implying these are key segments for financial tracking.","SELECT SUM(total_charge_amount) FROM primary_analysis_sql_output_table WHERE sales_channel_l4 = 'Subscriptions' AND publication_group = 'DT' AND fiscal_week_id IN (202533, 202534, 202535, 202536, 202537, 202538, 202539, 202540);",strong,high,2,c441950c-1e3f-432c-9838-847d1d315b9e,2,"publication_group, sales_channel_l4"
