metric_id,metric_name,business_description,gcp_project,dataset,table,metric_sql_core,governance_issue,dashboard_id
metric_001,"Description Text (National, Basic Demographics)","The `descriptiontext` column, specifically filtered for `State` being 'National' and `category` being 'Basic Demographics'. This metric represents a filtered list of audience perspective descriptions.",ncau-data-newsquery-prd,asl_gic_nq,RPT_ProjectRazor_AudiencePerspectiveState,descriptiontext,hardcoded_logic,e0552be8-36bd-484d-aa60-b531621651c0
metric_002,"Brand Group (Other Publisher, Specific Brands, National, Basic Demographics)","The `BrandGroup` column, filtered for `Publisher` not being 'News Corp Australia', `Brands` being in a specific, extensive list, `State` being 'National', and `category` being 'Basic Demographics'. This metric categorizes brands based on complex, hardcoded criteria.",ncau-data-newsquery-prd,asl_gic_nq,RPT_ProjectRazor_AudiencePerspectiveState,BrandGroup,hardcoded_logic,e0552be8-36bd-484d-aa60-b531621651c0
metric_003,"Audience Perspective Category (National, Specific Question Codes)","A derived metric that concatenates `subcategory` and `descriptiontext`, conditionally selected based on `questioncode` matching 'MEN-AGE', 'WOMEN-AGE', 'MARRIAGE', 'SEX', 'AGE', or 'AUDIEN'. This is further filtered by `State` being 'National'. This metric provides a categorized view of audience demographics.",ncau-data-newsquery-prd,asl_gic_nq,RPT_ProjectRazor_AudiencePerspectiveState,"CASE WHEN (questioncode = 'MEN-AGE') THEN CONCAT(SAFE_CAST(subcategory AS STRING),' - ',SAFE_CAST(descriptiontext AS STRING)) WHEN (questioncode = 'WOMEN-AGE') THEN CONCAT(SAFE_CAST(subcategory AS STRING),' - ',SAFE_CAST(descriptiontext AS STRING)) WHEN (questioncode = 'MARRIAGE') THEN CONCAT(SAFE_CAST(subcategory AS STRING),' - ',SAFE_CAST(descriptiontext AS STRING)) WHEN (questioncode = 'SEX') THEN CONCAT(SAFE_CAST(subcategory AS STRING),' - ',SAFE_CAST(descriptiontext AS STRING)) WHEN (questioncode = 'AGE') THEN CONCAT(SAFE_CAST(subcategory AS STRING),' - ',SAFE_CAST(descriptiontext AS STRING)) WHEN (questioncode = 'AUDIEN') THEN CONCAT(SAFE_CAST(subcategory AS STRING),' - ',SAFE_CAST(descriptiontext AS STRING)) ELSE NULL END",hardcoded_logic,e0552be8-36bd-484d-aa60-b531621651c0
metric_001,Count of Subscribers with Any Activity in Last 28 Days,"Counts the number of subscribers who had at least one active day within the last 28 days. This is derived by summing a binary indicator (1 if subscriber_last_28_days_active_days_count > 0, else 0).",ncau-data-newsquery-prd,asl_audience_insights,subscriber_base_agg,SUM(CASE WHEN (t0.subscriber_last_28_days_active_days_count > 0) THEN 1 ELSE 0 END),hardcoded_logic,3cf1c516-8797-455b-913a-8722b604bbfe
metric_002,Total Subscriber Count (from subscriber_base_agg),Represents the sum of the 'subscriber_count' field from the 'subscriber_base_agg' table.,ncau-data-newsquery-prd,asl_audience_insights,subscriber_base_agg,SUM(t0.subscriber_count),none,3cf1c516-8797-455b-913a-8722b604bbfe
metric_003,Total Active Subscriber Count (from subscriber_base_agg),Represents the sum of the 'active_subscriber_count' field from the 'subscriber_base_agg' table.,ncau-data-newsquery-prd,asl_audience_insights,subscriber_base_agg,SUM(t0.active_subscriber_count),none,3cf1c516-8797-455b-913a-8722b604bbfe
metric_004,Total Subscription Held Count (from subscriber_base_agg),Represents the sum of the 'subscription_held_count' field from the 'subscriber_base_agg' table.,ncau-data-newsquery-prd,asl_audience_insights,subscriber_base_agg,SUM(t0.subscription_held_count),none,3cf1c516-8797-455b-913a-8722b604bbfe
metric_005,Subscriber Count for 4-Weeks Active in Last 28 Days,"Sums the 'subscriber_count' for subscribers who were active for exactly 4 weeks within the last 28 days, based on the 'subscriber_last_28_days_active_weeks_count' field.",ncau-data-newsquery-prd,asl_audience_insights,subscriber_daily_base_movement,SUM(CASE WHEN (t0c1d0.subscriber_last_28_days_active_weeks_count = 4) THEN t0c1d0.subscriber_count ELSE 0 END),hardcoded_logic,3cf1c516-8797-455b-913a-8722b604bbfe
metric_006,Total Subscriber Count (from subscriber_daily_base_movement),Represents the sum of the 'subscriber_count' field from the 'subscriber_daily_base_movement' table.,ncau-data-newsquery-prd,asl_audience_insights,subscriber_daily_base_movement,SUM(t0c1d0.subscriber_count),none,3cf1c516-8797-455b-913a-8722b604bbfe
total_acquisitions_sum,Total Acquisitions,"The total count of new subscriptions acquired, derived from the 'acquisition_count' field in the source table.",ncau-data-newsquery-prd,asl_finance_derived,acquisitions_cancellations_movements,SUM(t0.acquisition_count),hardcoded_logic,ff4058c3-43f5-4324-a3ce-0c1aa455d67b
sum_c_score_target,Sum of C-Score Target,Represents the sum of the c_score_target from the cscore_targets reference data table. This metric is likely used to track performance or targets related to content or customer engagement for specific publication groups.,ncau-data-newsquery-prd,cdm_reference_data,cscore_targets,SUM(t0.c_score_target),hardcoded_logic,57a6a6b6-710d-4258-968d-35ab9a7704e5
