metric_id,issue_type,description,code_snippet,recommendation,response_id,dashboard_id
total_revenue_net_by_month_source_filtered_advertiser_fy_q,Hardcoded Logic,"The SQL for this metric contains a redundant `source` filter. It first filters for a broad list of 10 sources and then immediately applies a narrower filter for only 3 of those sources. The broader filter is effectively overridden and serves no functional purpose, adding unnecessary complexity and potential confusion.","t0.source IN ('AdX', 'AppNexus', 'DFP', 'Index Exchange', 'InSkin', 'Kargo', 'Playground XYZ', 'PubMatic', 'Rubicon', 'Tremor')
  AND t0.source IN ('DFP', 'Index Exchange', 'Rubicon')","Remove the redundant broader `t0.source IN (...)` clause. Only include the specific, intended `source` filter: `t0.source IN ('DFP', 'Index Exchange', 'Rubicon')`.",0,783f341c-8660-4e90-bab8-9bc860119cf5
total_revenue_net_by_month_source_filtered_transaction_type_wide_date,Anti-Pattern,"This metric uses an extensive, hardcoded `IN` clause for date filtering, listing 25 specific `DATE` values. This approach is highly inflexible, requires manual updates for each reporting period, and is prone to errors. It makes the metric difficult to maintain and scale for dynamic date ranges.","SAFE_CAST(DATETIME_TRUNC(DATETIME_SUB(SAFE_CAST(DATE(t0.financialyear, t0.financialmonthnumber, 1) AS DATETIME), INTERVAL 6 MONTH), MONTH) AS DATE) IN (DATE '2023-04-01', DATE '2023-05-01', DATE '2023-06-01', DATE '2023-07-01', DATE '2023-08-01', DATE '2023-09-01', DATE '2023-10-01', DATE '2023-11-01', DATE '2023-12-01', DATE '2024-01-01', DATE '2024-02-01', DATE '2024-03-01', DATE '2024-04-01', DATE '2024-05-01', DATE '2024-06-01', DATE '2024-07-01', DATE '2024-08-01', DATE '2024-09-01', DATE '2024-10-01', DATE '2024-11-01', DATE '2024-12-01', DATE '2025-01-01', DATE '2025-02-01', DATE '2025-03-01', DATE '2025-04-01')","Replace the hardcoded date list with dynamic date range filtering. For example, use `BETWEEN` with calculated start/end dates based on `CURRENT_DATE()` or leverage Looker Studio's native date range controls. Consider creating a dedicated date dimension table that includes financial year/quarter/month mappings to simplify date filtering logic.",0,783f341c-8660-4e90-bab8-9bc860119cf5
buyer_list_filtered_advertiser_fy_q_month,Anti-Pattern,"This metric and 'Buyer List (Filtered by Advertiser including Myer, FY/Q, Month)' are almost identical, differing only by the inclusion of one additional advertiser ('Myer *'). This duplication of logic for minor variations is an anti-pattern that leads to metric sprawl, increased maintenance, and potential inconsistencies if logic changes are not applied uniformly.","t0.advertiser IN ('Kmart Corporation *', 'Target Corporation *')","Consolidate these two 'Buyer List' metrics into a single, more flexible metric. Utilize Looker Studio's dashboard-level filters or parameters to allow users to dynamically select the desired advertisers, including predefined groups or individual advertisers, rather than hardcoding them into separate metric definitions.",0,783f341c-8660-4e90-bab8-9bc860119cf5
buyer_list_filtered_advertiser_myer_fy_q_month,Anti-Pattern,"This metric is a near-duplicate of 'Buyer List (Filtered by Advertiser, FY/Q, Month)', with the only difference being the inclusion of 'Myer *' in the advertiser filter. This pattern of creating new metrics for slight filter variations is unsustainable and indicates a lack of parameterization or flexible dashboard design.","t0.advertiser IN ('Kmart Corporation *', 'Myer *', 'Target Corporation *')","Consolidate these two 'Buyer List' metrics into a single, more flexible metric. Utilize Looker Studio's dashboard-level filters or parameters to allow users to dynamically select the desired advertisers, including predefined groups or individual advertisers, rather than hardcoding them into separate metric definitions.",0,783f341c-8660-4e90-bab8-9bc860119cf5
all_metrics,Hardcoded Logic,"All metrics extensively hardcode lists of dimension values (e.g., `source`, `source_transactiontype`, `advertiser`) directly within their SQL `WHERE` clauses. The `structure_sql` indicates a much larger set of unique values for these dimensions (e.g., 4266 unique advertisers, 27 unique sources, 17 unique transaction types) than are used in the filters. This rigidity makes the dashboard inflexible, difficult to update, and prone to missing data if new values emerge or business definitions change.","t0.source IN ('AdX', 'AppNexus', 'DFP', ...)
UPPER(SAFE_CAST(t0.source_transactiontype AS STRING)) IN ('DEAL', 'UFR', ...)
t0.advertiser IN ('The Smith Family *')","For `source` and `source_transactiontype`, consider creating governed lookup tables or views in BigQuery. This centralizes definitions, improves consistency across dashboards, and simplifies updates. For `advertiser` and other high-cardinality dimensions, leverage Looker Studio's interactive filter controls to allow users to select values dynamically, reducing the need for hardcoding within metric SQL.",0,783f341c-8660-4e90-bab8-9bc860119cf5
multiple_metrics,Hardcoded Logic,"Almost all metrics (Budget, Actuals, Current Period, 6-Week Rolling) explicitly filter by `fy_year = 2025` and specific `fy_week_of_year` values (e.g., 31, 38, or a range like 26-31). This hardcoding prevents the dashboard from dynamically updating to the current fiscal week/year without manual modification of each metric's SQL. The `sql_execution_summary` confirms data exists for `fiscal_week_of_year: 52` in `fy_year: 2025`, indicating the dashboard is not displaying the latest available data for 'current period' or 'actuals' as implied by their names.","WHERE t0.fy_year = 2025 AND t0.fy_week_of_year = 31 (or 38, or BETWEEN 26 AND 31)","Implement dynamic date parameters (e.g., Looker Studio parameters, BigQuery scripting, or a dedicated date dimension table with `is_current_week` flags) to allow the dashboard to automatically display data for the current fiscal period. This would significantly reduce manual updates and improve data freshness.",1,57d87efe-c112-4d42-be1b-045f0c8ca73e
failed_payment_volume_6w_rolling,Data Mismatch,"There's an inconsistency in how '6-Week Rolling' metrics are implemented, specifically highlighted by the 'Failed Payment Volume' metrics. The `failed_payment_volume_6w_rolling` metric's description explicitly notes 'The underlying column is not suffixed with '_6W'', yet its SQL uses `SUM(t0.Failed_Payment_Volume)` with a date range. In contrast, `failed_payment_volume_6w_rolling_suffixed` uses `SUM(t0.Failed_Payment_Volume_6W)`. This indicates either a data model inconsistency (some rolling metrics are pre-calculated, others are not, or are inconsistently named) or a lack of clarity in metric definition, leading to potential confusion and incorrect data usage.",SELECT SUM(t0.Failed_Payment_Volume) FROM `ncau-data-newsquery-prd.asl_finance_derived.consumer_masthead_scorecard` AS t0 WHERE t0.fy_year = 2025 AND t0.fy_week_of_year BETWEEN 26 AND 31,"Standardize the data model and metric definitions for rolling periods. Either consistently pre-calculate rolling metrics into appropriately suffixed columns (e.g., `_6W`) or consistently calculate them dynamically within Looker Studio using date functions. Remove redundant or inconsistently defined metrics to ensure a single source of truth.",1,57d87efe-c112-4d42-be1b-045f0c8ca73e
all_metrics,Anti-Pattern,"The dashboard contains 130 metrics, many of which are repetitive variations of the same base metric (e.g., 'Always-on Digital Sales', 'Breach Sales', 'Revenue Consumer') for different time periods (Budget, Actuals, Current Period, 6-Week Rolling, Aggregated) and value types (e.g., `_B`, `_V`, no suffix, `_6W`). This highly granular and repetitive metric definition approach leads to a massive number of individual SQL queries, making the dashboard extremely difficult to maintain, scale, and ensure consistency across similar metrics. This is a direct contributor to the high complexity and consolidation scores.",Example: SELECT SUM(t0.Always_on_Digital_Sales_B) FROM ... WHERE t0.fy_year = 2025 AND t0.fy_week_of_year = 31; SELECT SUM(t0.Always_on_Digital_Sales_V) FROM ... WHERE t0.fy_year = 2025 AND t0.fy_week_of_year = 38;,"Refactor the underlying data model to include columns for 'metric_name' (e.g., 'Always-on Digital Sales'), 'metric_type' (e.g., 'Budget', 'Actuals', 'Current Period', '6-Week Rolling'), and 'fiscal_period_type'. This would allow a single, more flexible SQL query to power multiple visualizations, significantly reducing the number of distinct metrics and improving maintainability. Leverage Looker Studio's data blending, parameters, and calculated fields to create dynamic views from fewer, more generic base metrics.",1,57d87efe-c112-4d42-be1b-045f0c8ca73e
total_subscriptions_digital_all_mastheads,Anti-Pattern,"The metric's SQL logic includes complex, multi-conditional `CASE` statements to categorize mastheads and recognition types. This exact logic is extensively duplicated across many other metrics within the dashboard, indicating a lack of a centralized, governed definition for these fundamental dimensions. This leads to maintenance overhead and potential inconsistencies.",WHERE (CASE WHEN (t0.gl_publication_code = '101' OR t0.masthead_code = 'TA' OR t0.gl_publication_code = '100') THEN 'The Australian' WHEN (t0.gl_publication_code = '400' OR t0.gl_publication_code = '402' OR t0.gl_publication_code = '111' OR t0.masthead_code = 'CM') THEN 'Metros' WHEN (t0.gl_publication_code = '450' OR t0.gl_publication_code = '351' OR t0.gl_publication_code = '670' OR t0.gl_publication_code = '961' OR t0.masthead_code = 'CP') THEN 'Regionals' WHEN (t0.gl_publication_code = '305' OR t0.gl_publication_code = '307' OR t0.gl_publication_code = '303' OR t0.gl_publication_code = '302' OR t0.masthead_code = 'WT') THEN 'Others' ELSE 'Discontinued' END) != 'Discontinued' AND (CASE WHEN (t0.delivery_medium_type = 'Print') THEN 'Print Recognition' WHEN (t0.subscriber_has_email_flag = 'N') THEN 'Print Recognition' ELSE 'Digital Recognition' END) = 'Digital Recognition',"Refactor the underlying data model (`asl_finance_derived.digital_subscriptions` or `sbx_fda_corefin.dt_digital_subscriptions`) to include pre-calculated `masthead_group` and `recognition_type` columns, possibly via a view or a dedicated dimension table. This would centralize the business logic, simplify metric SQL, and improve query performance and maintainability.",2,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26
fiscal_week_month_label_2025,Hardcoded Logic,"The metric's SQL logic calculates the fiscal week and month based on a fixed date (`2025-03-23`). This hardcoded date means the metric will always return the same string, making it static and unable to adapt to current periods or user-selected date ranges. The use of `MIN` on a single, fixed string is also redundant.","SELECT MIN(CONCAT('FY ','2025',' Week ',SAFE_CAST(DATETIME_DIFF(SAFE_CAST(DATE(TIMESTAMP '2025-03-23 04:54:02.058726+00', 'Australia/Sydney') AS DATETIME), SAFE_CAST(DATETIME '2024-07-03T00:00:00' AS DATETIME), WEEK) AS STRING),' (',CASE WHEN (DATETIME_DIFF(SAFE_CAST(DATE(TIMESTAMP '2025-03-23 04:54:02.058726+00', 'Australia/Sydney') AS DATETIME), SAFE_CAST(DATETIME '2024-07-03T00:00:00' AS DATETIME), WEEK) <= 4) THEN 'July' ... END,')')","Replace the fixed date with a dynamic date parameter or a function that returns the current fiscal period. Ideally, a dedicated fiscal calendar dimension table should be created in the data warehouse to manage fiscal years, weeks, and months, allowing for flexible and accurate date-based analysis.",2,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26
