dashboard_id,dashboard_name,consolidation_priority,key_synthesis,response_id
fbf4d483-b17a-4040-b18c-091481d62200,NewsQuery - Cost Tracking,medium,"The 'NewsQuery - Cost Tracking' dashboard exhibits strong data source consolidation, with all six metrics consistently querying the same BigQuery billing export table and applying uniform date and 'Invoice' service exclusions. This indicates a well-structured foundation for cost tracking. However, the absence of SQL execution data prevents a comprehensive validation of these metrics against live query performance or actual results. Two key anti-patterns were identified: a hardcoded list of 'Selected Services' in one metric, which lacks flexibility, and duplicated project name cleaning logic across multiple metrics, suggesting an opportunity for centralized transformation. The high consolidation score (9) from the initial analysis is supported by the consistent data source usage, but the identified coding practices and lack of execution data warrant further investigation.",0
4e1253ba-efdf-459d-83de-d00b3d77cc29,Brands Review Dashboard - FY25,medium,"The dashboard's metrics primarily source from a single table, `adsales_performance_archive_FY25`, indicating a good level of data source consolidation. However, the absence of live SQL execution data prevents validation of query performance or actual data consistency. Analysis of the metric definitions reveals significant opportunities for refactoring complex, hardcoded logic and consolidating redundant calculated fields to improve maintainability, readability, and potentially performance. The dashboard's complexity score of 8 aligns with the observed intricate SQL for certain metrics.",1
490533a1-5f98-468e-aa8a-2f245e8a2b90,Team Sales Performance CONS WA,high,"The dashboard 'Team Sales Performance CONS WA' exhibits a high degree of complexity and consolidation potential, as indicated by its scores of 8. While all metrics consistently draw from the same `adsales_performance` table, there are significant anti-patterns related to repeated hardcoded filters, a static 'as-of' date in a key revenue metric, and critically, the use of `LIMIT 100` on dimension queries, which can lead to incomplete data representation. The absence of SQL execution summary data prevents validation of query performance or actual result sets, necessitating further investigation into live data behavior.",2
af5b3038-ea93-4cf0-9bf5-44a9b09b3766,Conde Nast Analysis,high,"The initial AI analysis assigned a high consolidation score (9), but a deeper review of the detailed metric SQL reveals significant anti-patterns related to hardcoded filtering logic. Multiple 'Gross Revenue' and 'Pages Count' metrics are essentially duplicates, differing only by a single month or the absence of a month filter, and all share extensive hardcoded `WHERE` clauses for publication, revenue type, source system, and transaction status. This indicates a lack of parameterization and reusability, leading to metric proliferation and high maintenance overhead. Additionally, all dimension metrics are limited to 10 distinct values, which could lead to incomplete data representation. The absence of SQL execution summary data prevents validation of live performance or actual data output, making these observations areas for further investigation.",3
71dfdbc0-a8d2-4131-bf4e-7e54ac7e6b5e,Lapsed/Cancelled EDM stats,high,"The dashboard 'Lapsed/Cancelled EDM stats' exhibits a high degree of physical data source consolidation, with all 17 metrics drawing from the `prstn_consumer.newsletter_activity` table. However, a critical anti-pattern in logical consolidation has been identified: campaign-specific metrics (Lapse, Newspass, Winback, Cancel EDM) rely on repeated, hardcoded `REGEXP_CONTAINS` patterns for `newsletter_send_email_name`. This approach is brittle, prone to errors (a 'Winbacl' typo was found in Winback EDM metrics), and lacks scalability for future campaign types or naming convention changes. The absence of live SQL execution data prevents validation of these metrics against actual query performance or results, highlighting a significant gap in monitoring.",4
1e9c7a29-2613-47b8-85d1-127e5b8c66ac,Cancellations Extract,high,"The 'Cancellations Extract' dashboard exhibits a high consolidation score (9) due to all 6 metrics sourcing data from a single table (`acquisitions_cancellations_movements`) and applying consistent core filtering logic. This promotes data consistency across the dashboard. However, this consolidation is significantly undermined by pervasive anti-patterns in the SQL logic: critical business dimensions like 'masthead_group' and 'subscription_type' are defined using complex, hardcoded CASE statements that are repeated verbatim across all metrics. This introduces substantial technical debt, making the dashboard brittle, difficult to maintain, and prone to inconsistencies if business rules change. The absence of SQL Query Execution Summary data prevents validation of live performance and data behavior, highlighting a critical gap in observability.",5
cb5ce22d-b196-49dc-9d7b-8db7ca1f1f4d,Performance Solutions - Fin Year,high,"The dashboard 'Performance Solutions - Fin Year' exhibits a high degree of consolidation at the data source level, with all 9 metrics drawing from the single `v_adpoint_detail` table in BigQuery. This is a strong foundation. However, despite the AI's reported 'consolidation_score' of 8, a detailed review of the SQL logic reveals significant duplication of common filtering conditions and hardcoded business rules across metrics. This indicates a high opportunity for *further* consolidation at the SQL logic layer, which would drastically improve maintainability, reduce potential for inconsistencies, and enhance reusability. The absence of live SQL execution data prevents validation of metric accuracy or performance, highlighting a critical area for investigation.",6
a07c3b8c-9aac-4462-8d22-f3c662016f59,Verity 2.0 The Weekend Australian Performance,high,"The analysis of 'Verity 2.0 The Weekend Australian Performance' dashboard reveals significant concerns regarding data completeness and dynamic filtering capabilities. Crucially, the `sql_execution_summary` was empty, preventing validation of the provided SQL logic against live query results. All three metrics exhibit hardcoded date ranges, severely limiting the dashboard's utility for historical or dynamic analysis. Furthermore, two metrics (`page_view_events_by_user_detail`, `verity_user_reference_count`) include `LIMIT 10` clauses, and `total_publication_group_target` includes `LIMIT 1`, which are highly unusual for dashboard metrics and suggest incomplete data presentation. The `total_publication_group_target` also hardcodes a specific publication group ('Business'), reducing its flexibility. These issues contradict the initial AI analysis's '0 governance issues' and indicate a need for immediate review to ensure data accuracy and dashboard functionality.",7
88d635d0-512a-4ad8-b430-afcffbdb72bb,FY24 Freemiums Report,high,"The 'FY24 Freemiums Report' dashboard, while sourcing all metrics from a single BigQuery table (`campaign_performance_consol`), exhibits significant anti-patterns that severely undermine its consolidation and maintainability. A critical observation is the pervasive repetition of an identical, complex `WHERE` clause across all 41 metrics, indicating a lack of centralized filtering. Furthermore, all dimension queries are arbitrarily limited to 100 distinct values, which will lead to incomplete and potentially misleading data representation. Hardcoded `CASE` statements for `campaign_classification` and source-specific subscription metrics (`Meta Subscriptions`, etc.) introduce brittleness and hinder scalability. The absence of `sql_execution_summary` data prevents direct validation of live query performance or actual data results, making these observations critical areas for immediate investigation and remediation.",8
57d87efe-c112-4d42-be1b-045f0c8ca73e,Commercial Finance Scorecards,high,"The 'Commercial Finance Scorecards' dashboard, despite its high initial complexity and consolidation scores, exhibits significant anti-patterns that severely impact its maintainability, accuracy, and future scalability. The most critical finding is the pervasive hardcoding of a specific fiscal week (FY2025, Week 37) across nearly all metrics and filtering logic. This renders the dashboard static and requires manual updates for each reporting period. Furthermore, the presence of numerous '_V' suffixed metrics suggests potential redundancy or unclear metric definitions, hindering true data consolidation. The initial AI analysis's '0 total governance issues' is a critical misrepresentation, as the detailed SQL logic reveals multiple severe governance and coding practice violations.",9
