consolidation_id,group_business_explanation,group_variance_summary,metric_id,metric_name,dashboard_name,metric_similarity_percentage,metric_specific_difference
group_fixed_calendar_period_label,"These metrics provide a static label 'Calendar Period' for display purposes across various invoicing dashboards, regardless of specific filters applied.","All metrics in this group are identical in their SQL implementation, differing only in their `metric_id` and `metric_name` which imply different filtering contexts at the dashboard level. This indicates a direct duplication of the metric definition.",fixed_calendar_period_label_filtered_advertiser_booking,Fixed Calendar Period Label (Filtered by Advertiser & Booking),Monthly Invoicing Breakdown,100,"This metric's SQL is identical to others in this group, providing a static 'Calendar Period' label. Its name suggests filtering by advertiser and booking, but this is an external dashboard filter, not part of the metric's SQL core."
group_fixed_calendar_period_label,"These metrics provide a static label 'Calendar Period' for display purposes across various invoicing dashboards, regardless of specific filters applied.","All metrics in this group are identical in their SQL implementation, differing only in their `metric_id` and `metric_name` which imply different filtering contexts at the dashboard level. This indicates a direct duplication of the metric definition.",fixed_calendar_period_label_filtered_booking,Fixed Calendar Period Label (Filtered by Booking),Monthly Invoicing Breakdown,100,"This metric's SQL is identical to others in this group, providing a static 'Calendar Period' label. Its name suggests filtering by booking, but this is an external dashboard filter, not part of the metric's SQL core."
group_fixed_calendar_period_label,"These metrics provide a static label 'Calendar Period' for display purposes across various invoicing dashboards, regardless of specific filters applied.","All metrics in this group are identical in their SQL implementation, differing only in their `metric_id` and `metric_name` which imply different filtering contexts at the dashboard level. This indicates a direct duplication of the metric definition.",fixed_calendar_period_label_all,Fixed Calendar Period Label (All),Monthly Invoicing Breakdown,100,"This metric's SQL is identical to others in this group, providing a static 'Calendar Period' label. Its name suggests no specific filtering, but this is an external dashboard context, not part of the metric's SQL core."
group_health_check_counts,"These metrics are used for monitoring the health and data quality of financial tables, specifically counting total tables and identifying healthy/acceptable ones based on alert statuses.","Metrics are identical in their SQL implementation, differing only in their `metric_id`, `metric_name`, and the dashboard they appear on. This indicates direct duplication of metric definitions.",total_tables_monitored_finance_health,Total Tables Monitored,Finance Health - Check,100,"This metric's SQL (`COUNT(table_id)`) is identical to `total_monitored_tables`, counting all table IDs in the `__TABLES__` metadata table."
group_health_check_counts,"These metrics are used for monitoring the health and data quality of financial tables, specifically counting total tables and identifying healthy/acceptable ones based on alert statuses.","Metrics are identical in their SQL implementation, differing only in their `metric_id`, `metric_name`, and the dashboard they appear on. This indicates direct duplication of metric definitions.",healthy_tables_count_finance_health,Healthy Tables Count,Finance Health - Check,100,"This metric's SQL (`COUNT(CASE WHEN (alert_status_final IN (0, -1)) THEN table_id ELSE NULL END)`) is identical to `healthy_acceptable_tables`, counting table IDs where `alert_status_final` is 0 or -1."
group_health_check_counts,"These metrics are used for monitoring the health and data quality of financial tables, specifically counting total tables and identifying healthy/acceptable ones based on alert statuses.","Metrics are identical in their SQL implementation, differing only in their `metric_id`, `metric_name`, and the dashboard they appear on. This indicates direct duplication of metric definitions.",total_monitored_tables,Total Monitored Tables,Newsquery Health App,100,"This metric's SQL (`COUNT(t0.table_id)`) is identical to `total_tables_monitored_finance_health`, counting all table IDs in the `__TABLES__` metadata table."
group_health_check_counts,"These metrics are used for monitoring the health and data quality of financial tables, specifically counting total tables and identifying healthy/acceptable ones based on alert statuses.","Metrics are identical in their SQL implementation, differing only in their `metric_id`, `metric_name`, and the dashboard they appear on. This indicates direct duplication of metric definitions.",healthy_acceptable_tables,Healthy/Acceptable Tables,Newsquery Health App,100,"This metric's SQL (`COUNT(CASE WHEN (t0.alert_status_final IN (0, -1)) THEN t0.table_id ELSE NULL END)`) is identical to `healthy_tables_count_finance_health`, counting table IDs where `alert_status_final` is 0 or -1."
group_scorecard_actuals_sum,"These metrics represent various financial performance indicators (e.g., revenue, sales, base numbers) for the current week, derived from consumer masthead scorecard data. They are direct sums of specific columns.","All metrics sum a single column from the same source table (`consumer_masthead_scorecard`). Differences are in the specific column being summed (e.g., `Revenue_Consumer_V` vs `Revenue_Consumer`). The `_V` suffix denotes a specific version of the column. The `_current_week` suffix in the name implies a time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",closing_base_3rd_party_v_current_week,Closing Base 3rd Party (V) - Current Week,Commercial Finance Scorecards,95,"This metric sums the `Closing_Base_3rd_Party_V` column. It differs from other metrics in this group by the specific column being summed, particularly the `_V` suffix indicating a specific version of the 'Closing Base 3rd Party' metric."
group_scorecard_actuals_sum,"These metrics represent various financial performance indicators (e.g., revenue, sales, base numbers) for the current week, derived from consumer masthead scorecard data. They are direct sums of specific columns.","All metrics sum a single column from the same source table (`consumer_masthead_scorecard`). Differences are in the specific column being summed (e.g., `Revenue_Consumer_V` vs `Revenue_Consumer`). The `_V` suffix denotes a specific version of the column. The `_current_week` suffix in the name implies a time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",closing_base_3rd_party_current_week,Closing Base 3rd Party - Current Week,Commercial Finance Scorecards,95,"This metric sums the `Closing_Base_3rd_Party` column. It differs from `closing_base_3rd_party_v_current_week` by summing the non-versioned column, implying a different base calculation for 'Closing Base 3rd Party'."
group_scorecard_actuals_sum,"These metrics represent various financial performance indicators (e.g., revenue, sales, base numbers) for the current week, derived from consumer masthead scorecard data. They are direct sums of specific columns.","All metrics sum a single column from the same source table (`consumer_masthead_scorecard`). Differences are in the specific column being summed (e.g., `Revenue_Consumer_V` vs `Revenue_Consumer`). The `_V` suffix denotes a specific version of the column. The `_current_week` suffix in the name implies a time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",revenue_consumer_v_current_week,Revenue Consumer (V) - Current Week,Commercial Finance Scorecards,95,This metric sums the `Revenue_Consumer_V` column. It differs from other revenue metrics in this group by focusing on 'Consumer Revenue' and using the `_V` version of the column.
group_scorecard_actuals_sum,"These metrics represent various financial performance indicators (e.g., revenue, sales, base numbers) for the current week, derived from consumer masthead scorecard data. They are direct sums of specific columns.","All metrics sum a single column from the same source table (`consumer_masthead_scorecard`). Differences are in the specific column being summed (e.g., `Revenue_Consumer_V` vs `Revenue_Consumer`). The `_V` suffix denotes a specific version of the column. The `_current_week` suffix in the name implies a time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",revenue_consumer_current_week,Revenue Consumer - Current Week,Commercial Finance Scorecards,95,This metric sums the `Revenue_Consumer` column. It differs from `revenue_consumer_v_current_week` by summing the non-versioned column for 'Consumer Revenue'.
group_scorecard_actuals_sum,"These metrics represent various financial performance indicators (e.g., revenue, sales, base numbers) for the current week, derived from consumer masthead scorecard data. They are direct sums of specific columns.","All metrics sum a single column from the same source table (`consumer_masthead_scorecard`). Differences are in the specific column being summed (e.g., `Revenue_Consumer_V` vs `Revenue_Consumer`). The `_V` suffix denotes a specific version of the column. The `_current_week` suffix in the name implies a time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",total_revenue_v_current_week,Total Revenue (V) - Current Week,Commercial Finance Scorecards,95,"This metric sums the `Total_Revenue_V` column, representing the versioned total revenue."
group_scorecard_actuals_sum,"These metrics represent various financial performance indicators (e.g., revenue, sales, base numbers) for the current week, derived from consumer masthead scorecard data. They are direct sums of specific columns.","All metrics sum a single column from the same source table (`consumer_masthead_scorecard`). Differences are in the specific column being summed (e.g., `Revenue_Consumer_V` vs `Revenue_Consumer`). The `_V` suffix denotes a specific version of the column. The `_current_week` suffix in the name implies a time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",total_revenue_current_week,Total Revenue - Current Week,Commercial Finance Scorecards,95,"This metric sums the `Total_Revenue` column, representing the non-versioned total revenue."
group_scorecard_budget_forecast_sum,"These metrics represent various financial budget/forecast indicators (e.g., revenue, sales, base numbers) for weekly periods, derived from masthead scorecard forecast data.","All metrics sum a single column from the same source table (`masthead_scorecard_forecast_version`), with the column name typically ending in `_B` (for Budget). The `_weekly_courier_mail` suffix in the name implies a masthead/time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",total_closing_base_budget_weekly_courier_mail,"Total Closing Base (Budget/Forecast) - Weekly, Courier Mail",Commercial Finance Scorecards (Forecast Version),95,"This metric sums the `Total_Closing_Base_B` column, representing the budget/forecast for total closing base. It differs from other metrics in this group by the specific budget column summed."
group_scorecard_budget_forecast_sum,"These metrics represent various financial budget/forecast indicators (e.g., revenue, sales, base numbers) for weekly periods, derived from masthead scorecard forecast data.","All metrics sum a single column from the same source table (`masthead_scorecard_forecast_version`), with the column name typically ending in `_B` (for Budget). The `_weekly_courier_mail` suffix in the name implies a masthead/time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",revenue_consumer_budget_weekly_courier_mail,"Revenue Consumer (Budget/Forecast) - Weekly, Courier Mail",Commercial Finance Scorecards (Forecast Version),95,"This metric sums the `Revenue_Consumer_B` column, representing the budget/forecast for consumer revenue. It differs from other metrics in this group by the specific budget column summed."
group_scorecard_budget_forecast_sum,"These metrics represent various financial budget/forecast indicators (e.g., revenue, sales, base numbers) for weekly periods, derived from masthead scorecard forecast data.","All metrics sum a single column from the same source table (`masthead_scorecard_forecast_version`), with the column name typically ending in `_B` (for Budget). The `_weekly_courier_mail` suffix in the name implies a masthead/time filter, but this is not present in the `metric_sql_core`, suggesting external filtering.",total_revenue_budget_weekly_courier_mail,"Total Revenue (Budget/Forecast) - Weekly, Courier Mail",Commercial Finance Scorecards (Forecast Version),95,"This metric sums the `Total_Revenue_B` column, representing the budget/forecast for total revenue. It differs from other metrics in this group by the specific budget column summed."
group_scorecard_actuals_contextual,"These metrics represent various financial actuals (e.g., revenue, closing base) from the masthead scorecard, presented in different contextual views (weekly vs. date range).","The `metric_sql_core` is *identical* for pairs of metrics, but their `metric_name` and `metric_id` suggest different time or aggregation contexts (e.g., 'weekly' vs 'date range'). This indicates that the differentiation is purely at the dashboard filtering or presentation layer, not in the underlying metric definition.",total_revenue_actual_weekly_all_mastheads,"Total Revenue (Actual) - Weekly, All Mastheads",Commercial Finance Scorecards (Forecast Version),100,"This metric's SQL (`SUM(t0.Total_Revenue)`) is identical to `total_revenue_actual_date_range_all_mastheads`. The 'weekly' context is implied by its name and dashboard usage, not by its SQL definition."
group_scorecard_actuals_contextual,"These metrics represent various financial actuals (e.g., revenue, closing base) from the masthead scorecard, presented in different contextual views (weekly vs. date range).","The `metric_sql_core` is *identical* for pairs of metrics, but their `metric_name` and `metric_id` suggest different time or aggregation contexts (e.g., 'weekly' vs 'date range'). This indicates that the differentiation is purely at the dashboard filtering or presentation layer, not in the underlying metric definition.",total_revenue_actual_date_range_all_mastheads,"Total Revenue (Actual) - Date Range, All Mastheads",Commercial Finance Scorecards (Forecast Version),100,"This metric's SQL (`SUM(t0.Total_Revenue)`) is identical to `total_revenue_actual_weekly_all_mastheads`. The 'date range' context is implied by its name and dashboard usage, not by its SQL definition."
