current_source,current_usage,data_sample_insights,consolidation_target,mapping_complexity,transformation_type,key_fields_mapping,data_quality_concerns,migration_prerequisites,testing_approach,response_id,dashboard_id,data_quality_concerns_count,data_quality_concerns_text,migration_prerequisites_count,migration_prerequisites_text,key_fields_mapping_text
"Implied from `structure_sql` and `business_rules_sql`: A combination of sales transaction tables (e.g., `source_table` from structure analysis) and potentially other tables for business rule application.","Provides granular sales transaction data including booking dates, client reporting dates, advertiser and publication details, and various revenue amounts. It's used for team sales performance tracking, historical analysis, and future forecasting (FY26 interim).","The `structure_sql` indicates a primary dataset of 8,708,615 records with 8,760 unique advertisers and 234 unique publications. Dates span from 2017-07-17 (booking) to 2027-06-27 (client reporting), highlighting a mix of historical and future data. The `business_rules_sql` shows a `total_records_in_scope` of 46,691,868, which is significantly larger, suggesting either a broader underlying dataset for rule application or multiple source tables. This discrepancy needs resolution.",finance.consolidated_sales_transactions_fact,8,major_restructure,"{'earliest_booking_date': 'transaction_date_key', 'latest_booking_date': 'transaction_date_key', 'earliest_client_reporting_date': 'reporting_date_key', 'latest_client_reporting_date': 'reporting_date_key', 'unique_advertisers': 'advertiser_dim.advertiser_id', 'unique_publications': 'publication_dim.publication_id', 'gross_revenue_amount': 'gross_revenue_amount', 'unique_fiscal_years': 'date_dim.fiscal_year', 'unique_fiscal_weeks': 'date_dim.fiscal_week', 'unique_revenue_transaction_statuses': 'transaction_status_dim.status_id', 'unique_sales_segments': 'sales_segment_dim.segment_id', 'unique_product_groups': 'product_dim.product_group_id'}","[""The primary dashboard query returning 'no_data' is a critical concern, indicating a potential issue with the underlying data source's accessibility or the dashboard's filtering."", 'Discrepancy in total record counts between `structure_sql` (8.7M) and `business_rules_sql` (46.7M) requires investigation to understand the full data landscape and ensure all relevant sources are identified and mapped.', ""Presence of future dates (up to 2027) necessitates clear definition and handling of 'actuals' vs. 'bookings' vs. 'forecasts' to prevent misinterpretation."", 'The 14 governance issues suggest broader data quality problems that need to be addressed at the source or during ETL.', ""Complex exclusion rules (e.g., 'records_excluded_by_status_rule', 'records_excluded_by_division_rule') must be precisely replicated in the consolidated model to maintain business logic.""]","[""Root cause analysis and resolution of the 'no_data' issue for the primary dashboard query."", 'Comprehensive documentation of all underlying tables/views feeding this dashboard and the business rules SQL.', 'Formalization of business definitions for all date types (booking, reporting, fiscal, calendar) and their relationships.', 'Agreement on the precise application of all exclusion and inclusion business rules.', 'Development of a robust, standardized date dimension table.']","Perform row count validation for specific date ranges and filters. Summation validation of key metrics (e.g., gross revenue) comparing consolidated model against source. Validate min/max dates and unique counts for key dimensions. Random sample validation of individual transaction details to ensure data integrity. Test all exclusion rules by verifying excluded records are not present in the consolidated view.",1,52c11c9c-052a-4e45-9cda-8fecd87d7964,5,"The primary dashboard query returning 'no_data' is a critical concern, indicating a potential issue with the underlying data source's accessibility or the dashboard's filtering., Discrepancy in total record counts between `structure_sql` (8.7M) and `business_rules_sql` (46.7M) requires investigation to understand the full data landscape and ensure all relevant sources are identified and mapped., Presence of future dates (up to 2027) necessitates clear definition and handling of 'actuals' vs. 'bookings' vs. 'forecasts' to prevent misinterpretation., The 14 governance issues suggest broader data quality problems that need to be addressed at the source or during ETL., Complex exclusion rules (e.g., 'records_excluded_by_status_rule', 'records_excluded_by_division_rule') must be precisely replicated in the consolidated model to maintain business logic.",5,"Root cause analysis and resolution of the 'no_data' issue for the primary dashboard query., Comprehensive documentation of all underlying tables/views feeding this dashboard and the business rules SQL., Formalization of business definitions for all date types (booking, reporting, fiscal, calendar) and their relationships., Agreement on the precise application of all exclusion and inclusion business rules., Development of a robust, standardized date dimension table.","earliest_booking_date->transaction_date_key, latest_booking_date->transaction_date_key, earliest_client_reporting_date->reporting_date_key, latest_client_reporting_date->reporting_date_key, unique_advertisers->advertiser_dim.advertiser_id, unique_publications->publication_dim.publication_id, gross_revenue_amount->gross_revenue_amount, unique_fiscal_years->date_dim.fiscal_year, unique_fiscal_weeks->date_dim.fiscal_week, unique_revenue_transaction_statuses->transaction_status_dim.status_id, unique_sales_segments->sales_segment_dim.segment_id, unique_product_groups->product_dim.product_group_id"
N/A - Specific data sources unknown due to 'no_data' from queries. Assumed to be BigQuery tables/views related to finance circulation data.,"N/A - How this source is used within the dashboard (e.g., direct display, aggregated, joined) cannot be determined without data or structural analysis.","No data samples were available for analysis due to 'no_data' status from BigQuery queries. This prevents understanding of data structure, field types, content, and potential inconsistencies at the source level.","Assumed: `finance_consolidated.circulation_performance_unified_view` or similar, aligning with a broader finance data model.",7,major_restructure,"{'N/A': 'Cannot determine specific field mappings without knowing current source fields. Assumed fields would include `transaction_id`, `customer_id`, `product_id`, `revenue_amount`, `date`, `channel`.'}","[""Cannot assess specific data quality concerns at the source level due to 'no_data' from BigQuery queries. However, the 'governance_issues_count: 11' suggests potential issues with source data completeness, accuracy, or consistency that would need to be addressed during consolidation.""]","['Identify all current data sources and their schemas.', 'Profile existing data for quality, completeness, and consistency.', 'Define the target consolidated finance data model schema.', 'Establish clear data ownership and governance policies for the new model.']","Will require extensive data validation against source systems and business requirements. Due to 'no_data', specific testing approaches (e.g., row counts, sum checks, distinct value counts) cannot be designed at this stage. A comprehensive data profiling and reconciliation process will be critical.",3,2104a3f5-9424-4087-a928-e67fecae789a,1,"Cannot assess specific data quality concerns at the source level due to 'no_data' from BigQuery queries. However, the 'governance_issues_count: 11' suggests potential issues with source data completeness, accuracy, or consistency that would need to be addressed during consolidation.",4,"Identify all current data sources and their schemas., Profile existing data for quality, completeness, and consistency., Define the target consolidated finance data model schema., Establish clear data ownership and governance policies for the new model.","N/A->Cannot determine specific field mappings without knowing current source fields. Assumed fields would include `transaction_id`, `customer_id`, `product_id`, `revenue_amount`, `date`, `channel`."
"Implied from columns: a blend of transactional subscription data and financial planning data, potentially from multiple source systems (e.g., 'source_system_name', 'source_masthead_prefix').","Used to track SuperCoach subscription movements (acquisitions, cancellations, base) and associated earned revenue, comparing actuals against budget and forecast.","The 'movement_date' ranges from '2025-04-03' to '2029-08-28' (Structure Analysis), indicating a mix of actual and future-dated (forecast/budget) records. The presence of 'subscriber_id_src', 'sold_in_rate_plan_code', and 'source_masthead_prefix' suggests a granular, transactional level. The low pass rate for acquisition business rules points to issues with the source data's adherence to business logic or the logic itself.","Unified_Subscription_Fact (Fact_Subscription_Movement, Fact_Subscription_Budget, Fact_Subscription_Forecast) and associated dimensions (Dim_Date, Dim_Subscriber, Dim_RatePlan, Dim_Masthead, Dim_SourceSystem).",9,major_restructure,"{'movement_date': 'event_date', 'subscriber_id_src': 'subscriber_id', 'sold_in_rate_plan_code': 'rate_plan_code', 'source_masthead_prefix': 'masthead_prefix', 'daily_unique_acquisitions': 'acquisition_count_raw', 'total_cancellation': 'cancellation_count_raw', 'total_earned_amount': 'earned_revenue_raw', 'total_closing_base': 'closing_base_raw', 'total_budget_adds_qty': 'budget_adds_qty', 'total_forecast_adds_qty': 'forecast_adds_qty', 'source_system_name': 'source_system_name'}","[""Future dates in 'movement_date' without clear scenario differentiation."", ""Critical business rule failure for 'SuperCoach Acquisition Data' (3.39% pass rate)."", 'Potential for inconsistent data granularity or definitions across different source systems if multiple are involved.']","['Formalize business definitions for all subscription movement types (acquisition, cancellation, base).', ""Establish a clear strategy for handling future-dated records (e.g., separate fact tables for actuals vs. planning, or a 'scenario_type' dimension)."", 'Identify and document all underlying source systems and their data refresh schedules.']",Develop and execute data integrity tests comparing record counts and key metric sums between the current source and the new unified target. Implement specific tests for future-dated records to ensure correct categorization. Conduct detailed validation of the new acquisition calculation against a business-approved sample set.,4,6e8b534b-485a-48dd-842d-13dc6bebb01a,3,"Future dates in 'movement_date' without clear scenario differentiation., Critical business rule failure for 'SuperCoach Acquisition Data' (3.39% pass rate)., Potential for inconsistent data granularity or definitions across different source systems if multiple are involved.",3,"Formalize business definitions for all subscription movement types (acquisition, cancellation, base)., Establish a clear strategy for handling future-dated records (e.g., separate fact tables for actuals vs. planning, or a 'scenario_type' dimension)., Identify and document all underlying source systems and their data refresh schedules.","movement_date->event_date, subscriber_id_src->subscriber_id, sold_in_rate_plan_code->rate_plan_code, source_masthead_prefix->masthead_prefix, daily_unique_acquisitions->acquisition_count_raw, total_cancellation->cancellation_count_raw, total_earned_amount->earned_revenue_raw, total_closing_base->closing_base_raw, total_budget_adds_qty->budget_adds_qty, total_forecast_adds_qty->forecast_adds_qty, source_system_name->source_system_name"
"Implied from BigQuery queries (likely a wide, denormalized fact table or view)","The dashboard uses a single, very wide table/view (180+ columns) that combines financial, acquisition, and dimensional attributes. It serves as the primary data source for all metrics and dimensions displayed.","The `primary_analysis_sql` sample shows a flat structure with many columns directly available. The `structure_sql` indicates a `total_records` of 31,984,742, suggesting a large fact table. The presence of `source_system_name` and `source_system_code` implies data is drawn from multiple operational systems and then combined. The dashboard name 'Acquisitions - Extracts' suggests it's already a pre-processed extract.","unified_finance_acquisition_fact (Fact table), dim_date, dim_advertiser, dim_masthead, dim_subscription, dim_channel, dim_revenue_type, dim_product, dim_sales_segment (Conformed Dimensions)",9,major_restructure,"{'date_dim': 'dim_date.date_key', 'fy_year': 'dim_date.fiscal_year', 'fiscal_week_id': 'dim_date.fiscal_week_id', 'Advertiser': 'dim_advertiser.advertiser_name', 'advertiser_parent': 'dim_advertiser.advertiser_parent_name', 'masthead': 'dim_masthead.masthead_name', 'subscription_type': 'dim_subscription.subscription_type_name', 'source_channel': 'dim_channel.channel_name', 'revenue_type': 'dim_revenue_type.revenue_type_name', 'total_gross_revenue_amount': 'fact.gross_revenue_amount', 'acquisition_count': 'fact.acquisition_count', 'total_budget_amount': 'fact.budget_amount'}","['High percentage of NULLs in `source_channel` (70.65% missing) indicates incomplete data capture or mapping upstream. This needs to be addressed at the source or during ETL to ensure accurate channel analysis.', 'Potential for inconsistent naming conventions and definitions across the 180+ columns, leading to ambiguity and difficulty in mapping to conformed dimensions.', 'Mixed date grains (`date_dim`, `fiscal_week_id`, `financial_month`) require careful mapping to a single conformed date dimension.']","['Define and agree on conformed dimensions (e.g., Advertiser, Masthead, Channel, Revenue Type).', 'Implement data quality improvements for critical dimensions like `source_channel` at the source or during ingestion.', 'Establish clear business definitions for all consolidated metrics.', 'Develop a robust ETL/ELT pipeline capable of handling 30M+ records and complex transformations.']",Develop comprehensive unit tests for each field mapping. Implement integration tests to ensure joins between fact and dimension tables work correctly. Perform data reconciliation tests comparing aggregated metrics from the new model against the original dashboard's outputs for key periods and dimensions. Use specific sample data from the original queries to validate transformation logic.,5,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,3,"High percentage of NULLs in `source_channel` (70.65% missing) indicates incomplete data capture or mapping upstream. This needs to be addressed at the source or during ETL to ensure accurate channel analysis., Potential for inconsistent naming conventions and definitions across the 180+ columns, leading to ambiguity and difficulty in mapping to conformed dimensions., Mixed date grains (`date_dim`, `fiscal_week_id`, `financial_month`) require careful mapping to a single conformed date dimension.",4,"Define and agree on conformed dimensions (e.g., Advertiser, Masthead, Channel, Revenue Type)., Implement data quality improvements for critical dimensions like `source_channel` at the source or during ingestion., Establish clear business definitions for all consolidated metrics., Develop a robust ETL/ELT pipeline capable of handling 30M+ records and complex transformations.","date_dim->dim_date.date_key, fy_year->dim_date.fiscal_year, fiscal_week_id->dim_date.fiscal_week_id, Advertiser->dim_advertiser.advertiser_name, advertiser_parent->dim_advertiser.advertiser_parent_name, masthead->dim_masthead.masthead_name, subscription_type->dim_subscription.subscription_type_name, source_channel->dim_channel.channel_name, revenue_type->dim_revenue_type.revenue_type_name, total_gross_revenue_amount->fact.gross_revenue_amount, acquisition_count->fact.acquisition_count, total_budget_amount->fact.budget_amount"
project.dataset.publisher_product_sales_raw (Assumed),"Likely used for aggregating sales, revenue, and product performance metrics, potentially joining with publisher and product dimension tables.","Not available due to no data returned from BigQuery queries. Without actual data, we cannot assess table structure, data types, primary keys, foreign keys, or data quality within the source.",finance_consolidated.fct_finance_transactions,7,major_restructure,"{'publisher_id': 'dim_publisher.publisher_key', 'product_id': 'dim_product.product_key', 'sale_date': 'dim_date.date_key', 'sales_amount': 'amount', 'transaction_id': 'transaction_id', 'line_item_id': 'transaction_line_item_id', 'transaction_type': 'transaction_type'}","['Cannot identify specific data quality concerns without actual data. Potential concerns could include: missing or inconsistent IDs, incorrect date formats, null values in critical fields, or inconsistent data granularity.']","['Definition and creation of `finance_consolidated.fct_finance_transactions` and associated dimension tables (e.g., `dim_publisher`, `dim_product`, `dim_date`).', 'Establishment of data ingestion pipelines from source systems into the new consolidated model.', 'Data profiling of the current source to understand data types, distributions, and potential issues.']","Without actual data, a detailed testing approach cannot be designed. Conceptual approach: Extract a sample of data from the current source and manually map it to the proposed target structure. Develop SQL queries to compare aggregated results from the old and new models for key metrics. Validate row counts and distinct counts for critical dimensions.",8,d3bcf796-2396-4a6f-b0a3-da0b7f299a58,1,"Cannot identify specific data quality concerns without actual data. Potential concerns could include: missing or inconsistent IDs, incorrect date formats, null values in critical fields, or inconsistent data granularity.",3,"Definition and creation of `finance_consolidated.fct_finance_transactions` and associated dimension tables (e.g., `dim_publisher`, `dim_product`, `dim_date`)., Establishment of data ingestion pipelines from source systems into the new consolidated model., Data profiling of the current source to understand data types, distributions, and potential issues.","publisher_id->dim_publisher.publisher_key, product_id->dim_product.product_key, sale_date->dim_date.date_key, sales_amount->amount, transaction_id->transaction_id, line_item_id->transaction_line_item_id, transaction_type->transaction_type"
N/A - Data Source Information Unavailable,"All BigQuery queries returned 'no_data', meaning the dashboard is not currently consuming data effectively. The specific source tables/views cannot be identified or analyzed from the provided input.","No data samples available to infer source structure, content, or usage patterns.",Blocked by data availability and source identification,10,major_restructure,{},"['Critical: No data being returned from any source query, indicating a severe underlying data issue.', 'High: Inability to identify or analyze the underlying data sources, preventing any mapping.']","[""Identify the root cause of the 'no_data' issue (e.g., BigQuery table deleted, permissions revoked, query error, data pipeline failure)."", 'Restore data connectivity and ensure data is flowing correctly to the expected BigQuery tables/views.', 'Document the current data sources and their schemas once identified.']",Initial testing must focus on verifying data availability and correctness from the identified source tables before any consolidation mapping can be considered or validated.,9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26,2,"Critical: No data being returned from any source query, indicating a severe underlying data issue., High: Inability to identify or analyze the underlying data sources, preventing any mapping.",3,"Identify the root cause of the 'no_data' issue (e.g., BigQuery table deleted, permissions revoked, query error, data pipeline failure)., Restore data connectivity and ensure data is flowing correctly to the expected BigQuery tables/views., Document the current data sources and their schemas once identified.",
project.dataset.sales_performance_fy26_interim_view,"Provides detailed transactional sales performance data for FY26, supporting team sales tracking, revenue analysis by advertiser, publication, sales segment, and financial period comparisons.","The primary analysis sample shows a very wide table (over 200 columns) with a transactional data grain (4.5M+ records, 1M+ unique transactions). It includes numerous dimensions (e.g., Advertiser, Publication, Sales Segment, financial periods) and multiple revenue/spend metrics (e.g., total_current_fy_gross_revenue, total_pipeline, total_target). The presence of 'TY' and 'LY' metrics indicates time-series comparison capabilities.",finance_consolidation.fact_sales_revenue,8,major_restructure,"{'advertiser_parent': 'dim_advertiser.advertiser_parent_name', 'unified_publication_name': 'dim_publication.publication_name', 'sales_segment_l_2_name': 'dim_sales_segment.sales_segment_l2_name', 'financial_short_month': 'dim_date.financial_month_short', 'financial_quarter': 'dim_date.financial_quarter_num', 'fy_year': 'dim_date.financial_year', 'total_current_fy_gross_revenue': 'fact_sales_revenue.gross_revenue_amount', 'total_previous_fy_gross_revenue': 'fact_sales_revenue.gross_revenue_amount_ly', 'revenue_type': 'dim_revenue_type.revenue_category_name', 'total_pipeline': 'fact_sales_revenue.pipeline_amount', 'total_target': 'fact_sales_revenue.target_amount', 'source_system_name': 'dim_source_system.source_system_name'}","['8 identified governance issues (from original analysis) suggest underlying data quality problems.', ""Presence of 'null_gross_revenue_amount_count' and 'null_net_revenue_count' columns in structure analysis indicates potential nulls in critical financial metrics."", ""Inconsistent scaling of revenue metrics (e.g., '_display', '_k', '_000s' suffixes) leads to data redundancy and potential misinterpretation."", ""Redundancy between 'revenue_group_subtype' and 'revenue_type' for categorization.""]","['Define and build the target star schema (fact_sales_revenue and associated dimensions).', 'Standardize all financial metric definitions and units (e.g., base currency vs. thousands).', 'Resolve identified governance issues and implement data quality rules at the source or during ETL.', 'Establish clear data ownership and stewardship for the new consolidated model.']","Perform comprehensive volume testing (row counts), value reconciliation (sum key metrics by dimension), and dimension mapping validation (spot-check categorical fields). Conduct time-series consistency checks for 'TY' and 'LY' comparisons. Use automated tests for data integrity and manual UAT for business validation.",12,9269e9c6-1ad0-4415-96c3-aca8a710ba01,4,"8 identified governance issues (from original analysis) suggest underlying data quality problems., Presence of 'null_gross_revenue_amount_count' and 'null_net_revenue_count' columns in structure analysis indicates potential nulls in critical financial metrics., Inconsistent scaling of revenue metrics (e.g., '_display', '_k', '_000s' suffixes) leads to data redundancy and potential misinterpretation., Redundancy between 'revenue_group_subtype' and 'revenue_type' for categorization.",4,"Define and build the target star schema (fact_sales_revenue and associated dimensions)., Standardize all financial metric definitions and units (e.g., base currency vs. thousands)., Resolve identified governance issues and implement data quality rules at the source or during ETL., Establish clear data ownership and stewardship for the new consolidated model.","advertiser_parent->dim_advertiser.advertiser_parent_name, unified_publication_name->dim_publication.publication_name, sales_segment_l_2_name->dim_sales_segment.sales_segment_l2_name, financial_short_month->dim_date.financial_month_short, financial_quarter->dim_date.financial_quarter_num, fy_year->dim_date.financial_year, total_current_fy_gross_revenue->fact_sales_revenue.gross_revenue_amount, total_previous_fy_gross_revenue->fact_sales_revenue.gross_revenue_amount_ly, revenue_type->dim_revenue_type.revenue_category_name, total_pipeline->fact_sales_revenue.pipeline_amount, total_target->fact_sales_revenue.target_amount, source_system_name->dim_source_system.source_system_name"
project_sales_raw.dataset_sales.sales_transactions,"This table is likely used as the primary source for transactional sales data, including revenue, date, customer, and product information.","N/A - Actual data not available. Would typically analyze schema, data types, primary keys, foreign keys, data volume, and typical value ranges for critical fields like 'Sales_Revenue', 'Transaction_Date', 'Customer_ID', 'Product_ID'.",finance_consolidated.fct_sales_transactions,6,major_restructure,"{'Transaction_ID': 'transaction_id', 'Transaction_Date': 'transaction_date_key', 'Customer_ID': 'customer_id', 'Product_ID': 'product_id', 'Sales_Revenue': 'sales_amount_usd', 'Currency_Code': 'currency_code'}","['Cannot determine specific data quality concerns without actual data. Potential concerns could include inconsistent date formats, missing customer/product IDs, duplicate transactions, or incorrect currency values.', ""Need to verify if 'Sales_Revenue' is gross or net, and if discounts/returns are handled consistently.""]","['Define and implement unified dimension tables (Dim_Customer, Dim_Product, Dim_Date, Dim_Currency).', 'Establish clear currency conversion rules and historical rates.', 'Identify and cleanse any duplicate records or inconsistent data entries in the source.']","Develop SQL queries to compare row counts, sum of key metrics (e.g., sales amount), and distinct counts of dimensions between the original source and the consolidated target for specific periods. Validate data types and nullability. (Cannot execute without actual data)",15,80ca81f3-0671-40ef-a0a9-825a1580ca1b,2,"Cannot determine specific data quality concerns without actual data. Potential concerns could include inconsistent date formats, missing customer/product IDs, duplicate transactions, or incorrect currency values., Need to verify if 'Sales_Revenue' is gross or net, and if discounts/returns are handled consistently.",3,"Define and implement unified dimension tables (Dim_Customer, Dim_Product, Dim_Date, Dim_Currency)., Establish clear currency conversion rules and historical rates., Identify and cleanse any duplicate records or inconsistent data entries in the source.","Transaction_ID->transaction_id, Transaction_Date->transaction_date_key, Customer_ID->customer_id, Product_ID->product_id, Sales_Revenue->sales_amount_usd, Currency_Code->currency_code"
project_sales_raw.dataset_sales.sales_targets,"This table likely stores sales targets by team, individual, product, or time period, used for performance tracking.","N/A - Actual data not available. Would typically analyze granularity (e.g., monthly, quarterly), target types (e.g., revenue, units), and linkage to sales teams/individuals.",finance_consolidated.fct_sales_targets,5,calculation_required,"{'Target_ID': 'target_id', 'Target_Period': 'target_date_key', 'Team_ID': 'team_id', 'Target_Amount': 'target_amount_usd'}","['Cannot determine specific data quality concerns without actual data. Potential concerns could include missing targets for certain periods/teams, inconsistent target setting methodologies, or misalignment of target granularity with actual sales data.']","['Standardize target definition and granularity across all sales teams/regions.', 'Ensure consistent mapping of sales teams/individuals to a unified dimension.']",Validate that all historical targets are correctly migrated and aggregated to the appropriate consolidated dimensions. Compare sum of targets for specific periods. (Cannot execute without actual data),15,80ca81f3-0671-40ef-a0a9-825a1580ca1b,1,"Cannot determine specific data quality concerns without actual data. Potential concerns could include missing targets for certain periods/teams, inconsistent target setting methodologies, or misalignment of target granularity with actual sales data.",2,"Standardize target definition and granularity across all sales teams/regions., Ensure consistent mapping of sales teams/individuals to a unified dimension.","Target_ID->target_id, Target_Period->target_date_key, Team_ID->team_id, Target_Amount->target_amount_usd"
Unknown (implied from dashboard context),"Provides transactional data for revenue movement analysis, including advertiser groups, revenue types, and portfolio parent groups.","Contains 2.85 million records, spanning 3 unique financial years, 4587 unique advertiser groups, 2 unique revenue types, and 35 unique portfolio parent groups. The presence of 'approx_unique_booking_line_ids' (126,348) suggests a detailed transactional grain. The 'movement_date' field containing future dates (2025-05-02 to 2025-07-02) is a critical anomaly.",finance.consolidated_revenue_fact,8,major_restructure,"{'movement_date': 'transaction_date (or booking_date/forecast_date, pending clarification)', 'unique_advertiser_groups': 'dim_advertiser.advertiser_group_name', 'unique_revenue_types': 'dim_revenue_type.revenue_type_name', 'unique_portfolio_parent_groups': 'dim_portfolio.portfolio_parent_group_name', 'approx_unique_booking_line_ids': 'fact_revenue.booking_line_id', 'total_records': 'fact_revenue.record_count', 'xtend_category_count': 'fact_revenue.revenue_category_xtend_count', 'programmatic_category_count': 'fact_revenue.revenue_category_programmatic_count', 'adpt_digital_category_count': 'fact_revenue.revenue_category_adpt_digital_count', 'sundry_category_count': 'fact_revenue.revenue_category_sundry_count', 'other_category_count': 'fact_revenue.revenue_category_other_count'}","[""The primary analysis SQL returned 'no_data', indicating a potential issue with the main data retrieval or metric calculation for the dashboard."", ""The 'movement_date' field contains future dates (2025), which is highly unusual for a 'Revenue Movement' dashboard and contradicts the 'freshness_test: PASS' result. This requires immediate investigation and clarification."", ""The actual source table name is not explicitly provided in the structure analysis, only 'source_table' as a column name, implying it's part of the metadata, not the actual table name.""]","[""Clarify the intended meaning and purpose of the 'movement_date' field and resolve the future date anomaly."", 'Identify the exact source table(s) and their schemas used by the dashboard.', 'Ensure primary keys and unique identifiers are well-defined for the transactional grain.', ""Resolve the 'no_data' issue from the primary analysis SQL to understand the core metrics.""]","Validate record counts, unique counts for dimensions (advertisers, revenue types, portfolios), and date ranges against the original source. Perform sum checks on key revenue amounts (once identified and accessible). Verify categorization logic for revenue types.",16,a1b901e6-c4fb-44bc-955a-3d7070c15829,3,"The primary analysis SQL returned 'no_data', indicating a potential issue with the main data retrieval or metric calculation for the dashboard., The 'movement_date' field contains future dates (2025), which is highly unusual for a 'Revenue Movement' dashboard and contradicts the 'freshness_test: PASS' result. This requires immediate investigation and clarification., The actual source table name is not explicitly provided in the structure analysis, only 'source_table' as a column name, implying it's part of the metadata, not the actual table name.",4,"Clarify the intended meaning and purpose of the 'movement_date' field and resolve the future date anomaly., Identify the exact source table(s) and their schemas used by the dashboard., Ensure primary keys and unique identifiers are well-defined for the transactional grain., Resolve the 'no_data' issue from the primary analysis SQL to understand the core metrics.","movement_date->transaction_date (or booking_date/forecast_date, pending clarification), unique_advertiser_groups->dim_advertiser.advertiser_group_name, unique_revenue_types->dim_revenue_type.revenue_type_name, unique_portfolio_parent_groups->dim_portfolio.portfolio_parent_group_name, approx_unique_booking_line_ids->fact_revenue.booking_line_id, total_records->fact_revenue.record_count, xtend_category_count->fact_revenue.revenue_category_xtend_count, programmatic_category_count->fact_revenue.revenue_category_programmatic_count, adpt_digital_category_count->fact_revenue.revenue_category_adpt_digital_count, sundry_category_count->fact_revenue.revenue_category_sundry_count, other_category_count->fact_revenue.revenue_category_other_count"
