current_metric_name,current_calculation,data_sample_analysis,consolidation_target_metric,consolidation_rationale,transformation_rule,data_validation_rule,business_impact,migration_order,similar_metrics_across_dashboards,unified_definition,sample_values_analysis,data_quality_issues,proposed_new_calculation,response_id,dashboard_id,similar_metrics_count,similar_metrics_text,data_quality_issues_count,data_quality_issues_text
Gross Revenue / Sales Amount,"Likely SUM(gross_revenue_amount) or similar, as indicated by 'gross_revenue_test' passing in validation. However, the primary dashboard query returns 'no_data', suggesting an issue with its current calculation or filtering context.","The `gross_revenue_test` passed, indicating that the underlying data for gross revenue is positive and available. `structure_sql` shows `avg_gross_revenue_amount` as a potential metric. The presence of `earliest_booking_date` (2017-07-17) and `latest_booking_date` (2026-06-22), along with `earliest_client_reporting_date` (2025-04-03) and `latest_client_reporting_date` (2027-06-27), confirms that this metric includes future-dated bookings/forecasts. The `null_gross_revenue_amount_count` column (if populated) would indicate data completeness issues for this metric.",Unified Sales Revenue (Gross),"Sales revenue is a fundamental financial metric, highly likely to be duplicated across multiple sales and finance dashboards. Standardizing its definition, calculation, and handling of future-dated entries (bookings, forecasts) is critical for consistent reporting and financial consolidation. The current 'no_data' issue makes consolidation an opportunity to fix underlying problems.","Standardize the definition of 'Gross Revenue' to include actuals, booked future revenue, and forecasted revenue based on transaction status and dates. Apply consistent exclusion rules (e.g., 'records_excluded_by_status_rule', 'records_excluded_by_division_rule' from business rules) across all revenue calculations. Ensure proper date-based filtering for 'FY26 (Interim)' context.","Compare `SUM(Unified Sales Revenue (Gross))` in the consolidated model against source system totals for specific fiscal years (e.g., `current_fy_records`, `previous_fy_records`, `next_fy_records` from business rules). Validate that future-dated entries are correctly categorized and included/excluded as per business requirements. Test with `SELECT SUM(gross_revenue_amount) FROM source_table WHERE booking_date BETWEEN '2025-07-01' AND '2026-06-30'` (for FY26).",high,1,"['Total Sales', 'Revenue (Actuals)', 'Bookings Value', 'Forecasted Revenue', 'Pipeline Value']","The total value of sales transactions before any deductions, categorized by their current status (actual, booked, forecast) and aligned to a standardized fiscal calendar. This includes both historical actuals and future-dated commitments/projections.","The `gross_revenue_test` passing suggests that the raw values are valid. The presence of data for `current_fy_records` (3.39M), `previous_fy_records` (22.06M), and `next_fy_records` (130K) indicates a broad historical and forward-looking dataset. The challenge is ensuring these are correctly aggregated and presented, especially given the `no_data` issue in the primary analysis.","[""Primary dashboard query returns 'no_data', indicating a fundamental issue with data retrieval or filtering."", 'Potential for inconsistent handling of future-dated bookings/forecasts if not explicitly defined.', 'High number of `records_excluded_by_status_rule` (5.55M) and `records_excluded_by_division_rule` (264K) implies complex and critical exclusion logic that must be accurately replicated.', 'The 14 reported governance issues likely impact the accuracy and consistency of this metric.']","SUM(CASE WHEN transaction_status = 'Billed' THEN gross_amount ELSE 0 END) AS Actual_Revenue, SUM(CASE WHEN transaction_status = 'Booked' AND booking_date > CURRENT_DATE() THEN gross_amount ELSE 0 END) AS Booked_Future_Revenue, SUM(CASE WHEN transaction_status = 'Forecast' THEN forecast_amount ELSE 0 END) AS Forecast_Revenue, filtered by a standardized date dimension and business exclusion rules.",1,52c11c9c-052a-4e45-9cda-8fecd87d7964,5,"Total Sales, Revenue (Actuals), Bookings Value, Forecasted Revenue, Pipeline Value",4,"Primary dashboard query returns 'no_data', indicating a fundamental issue with data retrieval or filtering., Potential for inconsistent handling of future-dated bookings/forecasts if not explicitly defined., High number of `records_excluded_by_status_rule` (5.55M) and `records_excluded_by_division_rule` (264K) implies complex and critical exclusion logic that must be accurately replicated., The 14 reported governance issues likely impact the accuracy and consistency of this metric."
N/A - Specific metrics unknown due to 'no_data' from queries,N/A - Calculation details unknown due to 'no_data' from queries,"Crucial analysis of actual data samples could not be performed as all BigQuery analysis queries returned 'no_data'. This prevents identification of metric behavior, data distributions, and calculation inconsistencies.",N/A - Cannot propose specific target metrics without understanding current metrics from data.,N/A - Rationale for specific metric consolidation cannot be formed without actual metric definitions and data samples.,N/A - Specific transformation rules cannot be designed without understanding current metric calculations and desired unified logic from actual data.,N/A - Validation rules cannot be designed without understanding data ranges and expected outcomes from actual data.,medium,1,[],N/A - Standardized definitions cannot be proposed without understanding current metric definitions and their data behavior.,"No sample values were available for analysis due to 'no_data' status from BigQuery queries. This severely limits the ability to identify patterns, outliers, or data quality issues within metrics.","[""Cannot assess specific data quality issues within metrics due to 'no_data' from BigQuery queries. However, the 'governance_issues_count: 11' from the original analysis suggests potential underlying data quality or definition problems that would impact metrics.""]",N/A - Cannot propose new calculations without understanding current calculations and data characteristics.,3,2104a3f5-9424-4087-a928-e67fecae789a,0,,1,"Cannot assess specific data quality issues within metrics due to 'no_data' from BigQuery queries. However, the 'governance_issues_count: 11' from the original analysis suggests potential underlying data quality or definition problems that would impact metrics."
"Acquisition Metrics (daily_unique_acquisitions, acquisition_count, total_acquisition)","Multiple columns exist for acquisition counts, including 'daily_unique_acquisitions', 'daily_unique_acquisitions_specific_filters', 'acquisition_count', and 'total_acquisition'. The exact calculation logic is not provided but inferred from names.","Sample data shows 'daily_unique_acquisitions' as 1 and 'daily_unique_acquisitions_specific_filters' as 0 for the same record, indicating different filtering or definition. The 'business_rules_sql' indicates a critical issue: 'SuperCoach Acquisition Data' has a pass rate of only 3.39% (12550 out of 370019 records tested). This means the current acquisition logic is severely flawed or misaligned with business expectations.",Unified_Acquisition_Count,The extremely low pass rate for the 'SuperCoach Acquisition Data' business rule highlights a critical need to standardize and correct the definition and calculation of acquisitions. Multiple existing columns for acquisitions suggest ambiguity and potential for inconsistent reporting. A unified metric will ensure a single source of truth.,"Redefine 'Acquisition' based on agreed-upon business rules. This will likely involve a new calculation logic that correctly identifies unique acquisitions based on subscriber ID, rate plan, and movement date, ensuring it aligns with the expected business outcome (e.g., a new subscription, not a renewal or change).","After transformation, re-run the 'SuperCoach Acquisition Data' business rule validation. The 'pass_rate_percentage' for this rule must exceed 95% to confirm accuracy. Also, compare the new 'Unified_Acquisition_Count' with historical, validated acquisition reports (if available) to ensure consistency.",high,1,[],"The total count of unique new SuperCoach subscriptions acquired within a given period, as defined by the latest agreed-upon business rules (e.g., first-time subscriber, specific rate plan activation).","The sample values of 1 and 0 for 'daily_unique_acquisitions' and 'daily_unique_acquisitions_specific_filters' respectively, for the same record, suggest that 'specific_filters' applies a stricter or different set of criteria. This needs to be reconciled into a single, comprehensive definition.","[""Extremely low pass rate (3.39%) for 'SuperCoach Acquisition Data' business rule."", 'Ambiguity in definition due to multiple acquisition-related columns.']",SELECT COUNT(DISTINCT subscriber_id_src) FROM unified_subscription_data WHERE <new_acquisition_criteria_based_on_business_rules>,4,6e8b534b-485a-48dd-842d-13dc6bebb01a,0,,2,"Extremely low pass rate (3.39%) for 'SuperCoach Acquisition Data' business rule., Ambiguity in definition due to multiple acquisition-related columns."
"Base Metrics (total_closing_base, total_opening_base, budget_closing_base, forecast_closing_base, etc.)","Various columns represent opening and closing subscriber base, including actuals, budget, and forecast values. Examples: 'total_closing_base', 'total_opening_base', 'total_budget_closing_base', 'total_forecast_closing_base', 'total_ny_budget_closing_base', 'closing_base_specific_week_2025', 'ny_budget_closing_base_specific_week_2025', 'budget_opening_base_2025_bmasnap_open'.","No direct sample values for base metrics, but their presence indicates a need to track subscriber numbers over time and against plans. The variety of names suggests potential for inconsistent reporting if not standardized.","Unified_Subscriber_Base (Actual, Budget, Forecast)","Consolidating base metrics will provide a clear, consistent view of the subscriber count, distinguishing between actuals, budget, and forecast. This avoids confusion arising from multiple similarly named columns and ensures accurate trend analysis.","Map existing base metrics to a unified 'Unified_Subscriber_Base' with a 'scenario_type' dimension (Actual, Budget, Forecast) and a 'base_type' dimension (Opening, Closing). Ensure the calculation of opening and closing base is consistent across all scenarios.","Compare aggregated 'Unified_Subscriber_Base' values (actuals, budget, forecast) against source system reports or previous dashboard versions. Verify that 'Opening Base + Net Acquisitions = Closing Base' holds true for actuals and planning scenarios.",medium,2,[],"The total number of active SuperCoach subscribers at the beginning (opening) or end (closing) of a specified period, categorized by actual, budgeted, or forecasted scenarios.","The presence of 'closing_base_specific_week_2025' and 'ny_budget_closing_base_specific_week_2025' indicates that specific future periods are already being tracked, reinforcing the need for a robust scenario management.","['Potential for inconsistent calculation logic across different base metrics.', 'Mixing of actuals and forecast/budget data without clear differentiation in column names.']","SELECT movement_date, subscriber_id_src, 'Actual' as scenario_type, 'Closing' as base_type, total_closing_base as Unified_Subscriber_Base FROM original_table UNION ALL SELECT movement_date, NULL, 'Budget' as scenario_type, 'Closing' as base_type, total_budget_closing_base FROM original_table",4,6e8b534b-485a-48dd-842d-13dc6bebb01a,0,,2,"Potential for inconsistent calculation logic across different base metrics., Mixing of actuals and forecast/budget data without clear differentiation in column names."
"Earned Amount/Revenue Metrics (total_earned_amount, forecast_budget_earned_amount, etc.)","Multiple columns represent earned revenue or amount, including actuals, budget, and forecast. Examples: 'total_earned_amount', 'total_forecast_budget_earned_amount', 'total_nf_earned_amount', 'total_ny_budget_earned_amount', 'forecast_budget_earned_amount_k', 'budget_earned_amount_k'.","No direct sample values for earned amount metrics. The 'k' suffix on some metrics ('_k') suggests values are sometimes presented in thousands, which needs consistent handling.","Unified_Subscription_Revenue_Earned (Actual, Budget, Forecast)","Standardizing earned revenue metrics will provide a clear and consistent financial view of subscription performance, separating actuals from planning figures and ensuring consistent units (e.g., always in full currency, not 'k').","Map existing earned amount metrics to a unified 'Unified_Subscription_Revenue_Earned' with a 'scenario_type' dimension (Actual, Budget, Forecast). Ensure all values are converted to a consistent unit (e.g., full currency, not thousands) and clearly defined as gross or net if applicable.",Compare aggregated 'Unified_Subscription_Revenue_Earned' values against source system reports or previous dashboard versions. Verify that the conversion from 'k' values is accurate.,medium,3,[],"The total revenue recognized from SuperCoach subscriptions within a specified period, categorized by actual, budgeted, or forecasted scenarios, presented in full currency value.","The presence of both raw and 'k' suffixed metrics (e.g., 'total_earned_amount' vs 'budget_earned_amount_k') indicates a need for unit standardization during consolidation.","[""Inconsistent units (e.g., 'k' vs full value)."", 'Potential for inconsistent calculation logic across different earned amount metrics.']","SELECT movement_date, subscriber_id_src, 'Actual' as scenario_type, total_earned_amount as Unified_Subscription_Revenue_Earned FROM original_table UNION ALL SELECT movement_date, NULL, 'Budget' as scenario_type, budget_earned_amount_k * 1000 FROM original_table",4,6e8b534b-485a-48dd-842d-13dc6bebb01a,0,,2,"Inconsistent units (e.g., 'k' vs full value)., Potential for inconsistent calculation logic across different earned amount metrics."
Various Spend/Revenue Metrics,"Includes total_spend_ty, total_spend_ly, total_spend_ty_news_corp, total_spend_ty_youtube, total_spend_ty_facebook, total_actual_amount, total_gross_revenue_amount, ly_gross_revenue_amount, cy_gross_revenue_amount, total_current_fy_gross_revenue, total_previous_fy_gross_revenue, total_revenue_net, total_revenue_gross, current_fy_gross_revenue, previous_fy_gross_revenue, programmatic_gross_revenue_oct_foxtel_pluto, etc. Each likely has specific filters or time contexts.","The sample data shows 'acquisition_count' but not direct values for these revenue metrics. The presence of numerous 'gross_revenue' and 'spend' columns (e.g., `total_spend_ty`, `total_gross_revenue_amount`, `current_fy_gross_revenue`) suggests a high degree of metric duplication or very specific, non-standardized definitions. The `gross_revenue_positive_test` and `total_revenue_positive_test` passing in validation indicates values are generally positive, but doesn't confirm consistency across variants. The `null_gross_revenue_amount_count` in structure analysis is not provided, but `gross_revenue_test` passes.","Unified_Gross_Revenue_Amount, Unified_Net_Revenue_Amount, Unified_Spend_Amount","Multiple columns represent essentially the same financial concept (revenue/spend) but are differentiated by year (TY/LY), source (News Corp, YouTube, Facebook), or specific filters (conditional, programmatic). This leads to redundancy, potential inconsistencies, and increased maintenance. Consolidating these into a few core metrics with appropriate dimensional breakdowns (e.g., `fiscal_year_offset`, `source_system_name`) will simplify reporting and ensure consistency.","Map all 'gross revenue' variants to Unified_Gross_Revenue_Amount, 'net revenue' to Unified_Net_Revenue_Amount, and 'spend' to Unified_Spend_Amount. Apply appropriate `CASE WHEN` statements or joins to time dimensions (e.g., `relative_fy_year_offset`) and source dimensions to derive the specific context. Ensure currency conversion if applicable (not explicitly stated but common in finance).",Validate `SUM(Unified_Gross_Revenue_Amount)` for FY2025 matches `SUM(total_current_fy_gross_revenue)` from original. Verify `SUM(Unified_Spend_Amount)` for specific media networks matches original `total_spend_ty_youtube` etc. Check for nulls and unexpected zero values in the consolidated metrics.,high,1,[],"Standardized financial values representing total revenue (gross/net) or spend, contextualized by fiscal year, period, and source dimensions.","No direct sample values for revenue/spend provided, but the existence of many variants implies that each is calculated differently or filtered uniquely. The `_k` suffix on some metrics (`ly_gross_revenue_amount_k`, `cy_gross_revenue_amount_k`) suggests values are sometimes presented in thousands, requiring standardization.","['Potential for inconsistent definitions across similar-named metrics.', 'Lack of clear documentation on specific filters/contexts for each variant.']","Unified_Gross_Revenue_Amount = COALESCE(total_gross_revenue_amount, cy_gross_revenue_amount, total_current_fy_gross_revenue, current_fy_gross_revenue, programmatic_gross_revenue_oct_foxtel_pluto, ...) / (CASE WHEN _k_suffix THEN 1000 ELSE 1 END)",5,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,0,,2,"Potential for inconsistent definitions across similar-named metrics., Lack of clear documentation on specific filters/contexts for each variant."
Various Budget/Forecast/Pipeline Metrics,"Includes total_estimate, total_budget_amount, total_forecast_amount, total_pipeline, total_target, total_target_amount, total_budget_earned_amount, total_forecast_budget_earned_amount. These represent different stages of financial planning.","No direct sample values. Validation tests `budget_earned_amount_test` and `pipeline_test` pass, indicating data presence. The variety suggests different planning horizons or types of financial projections.","Unified_Budget_Amount, Unified_Forecast_Amount, Unified_Pipeline_Amount, Unified_Target_Amount","Similar to revenue, these metrics represent financial projections. Consolidating them into clearly defined categories (Budget, Forecast, Pipeline, Target) with appropriate time and scenario dimensions will improve clarity and enable consistent comparison.","Map specific columns to their respective unified metrics. Introduce a 'Scenario' dimension if different forecasts/budgets represent distinct scenarios. Ensure consistency in aggregation levels (e.g., daily, weekly, monthly).",Validate `SUM(Unified_Budget_Amount)` matches `SUM(total_budget_amount)` for a given period. Check that `Unified_Forecast_Amount` aligns with `total_forecast_amount` where applicable.,medium,2,[],"Standardized financial planning metrics (Budget, Forecast, Pipeline, Target) for consistent analysis across different planning cycles and scenarios.","The `total_estimate`, `total_budget_amount`, `total_forecast_amount` columns are present, suggesting these are distinct values. The `forecast_budget_earned_amount_k` and `budget_earned_amount_k` imply some are already scaled.","['Potential for misinterpretation if definitions are not strictly adhered to.', 'Consistency of planning periods across different metrics.']",Unified_Budget_Amount = total_budget_amount; Unified_Forecast_Amount = total_forecast_amount; Unified_Pipeline_Amount = total_pipeline; Unified_Target_Amount = total_target_amount,5,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,0,,2,"Potential for misinterpretation if definitions are not strictly adhered to., Consistency of planning periods across different metrics."
Various Acquisition/Subscription Metrics,"Includes acquisition_count, daily_unique_acquisitions, daily_unique_acquisitions_specific_filters, total_budget_adds_qty, total_budget_cancels_qty, total_budget_closing_base, total_net_acquisition, total_net_cancellation, total_opening_base, total_acquisition, total_cancellation, closing_base_specific_week_2025, etc. These track subscriber lifecycle events and base numbers.","Sample data explicitly shows `acquisition_count` (42, 14) for FY2025, week 52, masthead 'TA'. `acquisition_data_present_test` passes. `closing_base_test` passes. This indicates active tracking of acquisition and subscription base metrics. The sheer number of related metrics suggests a need for clear definitions and potentially a dedicated 'Subscription Fact' table.","Unified_Acquisition_Count, Unified_Cancellation_Count, Unified_Net_Adds_Count, Unified_Opening_Base, Unified_Closing_Base, Unified_Earned_Amount_Subscription","The dashboard is named 'Acquisitions - Extracts' and contains a very large number of acquisition/subscription related metrics. These are highly granular and often represent different stages or types of subscriber movements (adds, cancels, net, budget, forecast, actual). Consolidating these into a well-defined set of metrics with appropriate dimensions (e.g., `subscription_type`, `source_channel`, `offer_category_group_name`, `masthead`) will provide a clearer, more consistent view of subscriber performance.",Map `acquisition_count` and `daily_unique_acquisitions` to `Unified_Acquisition_Count`. Map `total_cancellation` to `Unified_Cancellation_Count`. Map `total_net_acquisition` to `Unified_Net_Adds_Count`. Map `total_opening_base` to `Unified_Opening_Base` and `total_closing_base` to `Unified_Closing_Base`. Budget/forecast variants should map to the unified metrics with a 'Scenario' dimension.,Verify `SUM(Unified_Acquisition_Count)` matches `SUM(acquisition_count)` for specific periods. Check `Unified_Closing_Base` calculations against original `total_closing_base` and `closing_base_specific_week_2025` for consistency.,high,1,[],"Standardized counts and amounts related to subscriber acquisition, retention, and base management, categorized by type (actual, budget, forecast) and relevant dimensions.","The sample shows `acquisition_count` for 'Digital Subscriptions' via 'Twitter' and 'Google'. The `business_rules_sql` shows 'Subscription Type - Digital Subscriptions' has a 92.48% pass rate, indicating good data quality for this dimension. However, 'Source Channel Not Null' has a very low 29.35% pass rate, meaning `source_channel` is often null, which will impact the accuracy of acquisition analysis by channel.","['High percentage of NULLs in `source_channel` (70.65% missing), severely impacting channel-level acquisition analysis.', 'Potential for double-counting or miscategorization if acquisition logic is not precisely defined across all variants.']","Unified_Acquisition_Count = COALESCE(daily_unique_acquisitions, acquisition_count); Unified_Closing_Base = total_closing_base;",5,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,0,,2,"High percentage of NULLs in `source_channel` (70.65% missing), severely impacting channel-level acquisition analysis., Potential for double-counting or miscategorization if acquisition logic is not precisely defined across all variants."
Various Record Counts,"Includes record_count_per_group, record_count_for_group, record_count_os_level_5, record_count, total_records_in_filtered_scope, total_records_count. These are typically used for data validation or internal dashboard logic.",No direct sample values. `record_count_test` passes in validation. These metrics are likely internal to the dashboard's data processing or for basic row counting.,Unified_Record_Count,"These metrics serve similar purposes of counting records. A single, well-defined `Unified_Record_Count` metric can replace these, with filters or grouping applied as dimensions rather than creating new metrics.","Map all record count variants to `Unified_Record_Count`. If specific counts are needed (e.g., per group), ensure the grouping dimensions are available in the unified model.","Verify `SUM(Unified_Record_Count)` matches `total_records` from the structure analysis (31,984,742) for the full dataset.",low,3,[],"A standardized count of records, primarily for data validation and understanding data volume, with contextual filtering applied via dimensions.",The presence of `record_count_per_group` and `record_count_for_group` suggests that the dashboard performs group-level aggregations and counts. `total_records_count` is likely a grand total.,[],Unified_Record_Count = 1 (to be summed up),5,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101,0,,0,
Revenue (Example),SUM(sales_amount) - SUM(returns_amount) (Assumed),"Actual data samples are not available as BigQuery queries returned no rows. Therefore, detailed analysis of metric behavior, distribution, and inconsistencies cannot be performed at this stage.",Unified_Net_Revenue,"Given the 'finance' domain and 'Publisher and Product Performance' name, 'Revenue' is a highly common metric across finance dashboards. Consolidating it ensures a single source of truth and consistent calculation.","Standardize calculation to 'SUM(fct_sales.gross_sales) - SUM(fct_returns.return_value)' from the consolidated finance model. Specific rules for discounts, taxes, and chargebacks need to be defined once actual data is available.",Cannot define specific data validation rules without actual data. General rule: Compare 'Unified_Net_Revenue' against source system reports for a sample period. Verify total revenue matches within a defined tolerance. Check for negative values where not expected.,high,1,[],"Total monetary value received from sales of products and services, net of returns, discounts, and allowances, for a given period.","Not available due to no data returned. This prevents analysis of value ranges, outliers, or typical patterns.","['Cannot identify specific data quality issues without actual data. Potential issues could include: inconsistent revenue recognition, missing sales data, incorrect return processing, or data type mismatches.']",SUM(fct_finance_transactions.amount) WHERE transaction_type = 'SALE' AND transaction_status = 'COMPLETED' - SUM(fct_finance_transactions.amount) WHERE transaction_type = 'RETURN',8,d3bcf796-2396-4a6f-b0a3-da0b7f299a58,0,,1,"Cannot identify specific data quality issues without actual data. Potential issues could include: inconsistent revenue recognition, missing sales data, incorrect return processing, or data type mismatches."
