transformation_name,source_logic,target_logic,transformation_type,sql_transformation,validation_sql,rollback_plan,testing_data_sample,expected_result_range,business_validation_criteria,response_id,dashboard_id
Future-Dated Revenue Categorization,Implicitly includes future booking dates (up to 2026-06-22) and client reporting dates (up to 2027-06-27) without explicit categorization in the dashboard's primary query (which returns no data).,"Categorize each revenue record into 'Actual', 'Booked (Future)', or 'Forecast' based on `booking_date`, `client_reporting_date`, and `revenue_transaction_status`.",business_rule_change|formula_change,"CASE 
    WHEN transaction_status = 'Billed' AND booking_date <= CURRENT_DATE() THEN 'Actual'
    WHEN transaction_status = 'Booked' AND booking_date > CURRENT_DATE() THEN 'Booked (Future)'
    WHEN transaction_status = 'Forecast' THEN 'Forecast'
    ELSE 'Other'
END AS revenue_category","SELECT revenue_category, COUNT(*) AS record_count, SUM(gross_revenue_amount) AS total_amount FROM consolidated_sales_transactions_fact GROUP BY 1; SELECT MIN(booking_date), MAX(booking_date) FROM consolidated_sales_transactions_fact WHERE revenue_category = 'Booked (Future)';",Revert to the previous view definition or ETL process that does not apply this categorization.,"Include records with `booking_date` in the past, current date, and future. Include records with `transaction_status` as 'Billed', 'Booked', 'Forecast', and other statuses. Verify that records with `client_reporting_date` in the future are correctly categorized.","Counts and sums for 'Actual', 'Booked (Future)', and 'Forecast' categories should align with business expectations for historical and pipeline data. The 'Booked (Future)' category should only contain records with future booking dates.","Business users confirm that current period actuals, future bookings, and forecasts are correctly segregated and summed in the new dashboard. They should be able to filter by these categories.",1,52c11c9c-052a-4e45-9cda-8fecd87d7964
Sales Data Exclusion Rules Application,"Business rules indicate significant exclusions: `records_excluded_by_suddenly_rule` (142), `records_excluded_by_division_rule` (264,741), `records_excluded_by_status_rule` (5,554,370). These are applied at some stage to the `total_records_in_scope` (46,691,868).",Apply all identified exclusion rules consistently as `WHERE` clauses or `CASE` statements during data ingestion or view creation for the consolidated fact table.,business_rule_change|source_change,"FROM source_table
WHERE 
    NOT (publication_code IN ('SUDDENLY_PUB_CODE_1', 'SUDDENLY_PUB_CODE_2')) -- Example for 'suddenly_rule'
    AND NOT (division_id IN ('EXCLUDED_DIV_ID_1', 'EXCLUDED_DIV_ID_2')) -- Example for 'division_rule'
    AND NOT (revenue_transaction_status IN ('EXCLUDED_STATUS_1', 'EXCLUDED_STATUS_2')) -- Example for 'status_rule'","SELECT COUNT(*) FROM consolidated_sales_transactions_fact; -- Should equal total_records_in_scope - sum of all excluded records.
SELECT COUNT(*) FROM source_table WHERE publication_code IN ('SUDDENLY_PUB_CODE_1'); -- Verify counts of excluded records in source.",Remove the exclusion filters from the ETL process or the consolidated view definition.,"Test with records that are known to match the exclusion criteria (e.g., specific publication codes, division IDs, transaction statuses) and verify they are not present in the consolidated output. Also test records that should *not* be excluded.",The total record count in the consolidated fact table should precisely reflect the `total_records_in_scope` minus the sum of all records excluded by these rules. Key metric totals should also reflect these exclusions.,"Business users confirm that specific excluded data points (e.g., certain publications, divisions, or transaction statuses) are no longer visible or included in the aggregated figures in the consolidated reports.",1,52c11c9c-052a-4e45-9cda-8fecd87d7964
N/A - Specific transformations unknown due to 'no_data' from queries.,N/A - Current calculation/logic unknown due to 'no_data' from queries.,N/A - Target unified logic cannot be specified without understanding source logic and data behavior.,N/A - Type of transformation cannot be determined without specific metric/data details.,"N/A - Specific SQL transformation cannot be provided without understanding source data, target schema, and transformation rules.",N/A - Validation SQL cannot be provided without understanding specific transformation logic and expected data outcomes.,"A detailed rollback plan would involve retaining original dashboard configurations and data sources, allowing for immediate reversion if issues arise post-migration. This would include snapshotting the target environment before deployment.",No actual data samples were available for testing due to 'no_data' status from BigQuery queries. This is a critical gap for robust transformation design and validation.,N/A - Expected result ranges cannot be determined without actual data samples and understanding of business rules.,"Business validation criteria would typically involve comparing key metrics (e.g., total circulation, revenue per channel) in the new dashboard against existing reports for a defined period, ensuring variances are within acceptable thresholds. Sign-off from finance stakeholders would be required.",3,2104a3f5-9424-4087-a928-e67fecae789a
Standardize_Acquisition_Calculation,"Current calculation of acquisitions is ambiguous across 'daily_unique_acquisitions', 'daily_unique_acquisitions_specific_filters', 'acquisition_count', 'total_acquisition'. The 'SuperCoach Acquisition Data' business rule has a 3.39% pass rate.","A single, unified 'Unified_Acquisition_Count' metric based on a newly defined and validated business rule for what constitutes a SuperCoach acquisition. This will involve identifying unique new subscribers based on their first 'movement_date' for a specific rate plan or masthead.",business_rule_change,"WITH RankedAcquisitions AS ( SELECT *, ROW_NUMBER() OVER (PARTITION BY subscriber_id_src, sold_in_rate_plan_code ORDER BY movement_date) as rn FROM raw_subscription_data ) SELECT movement_date, subscriber_id_src, sold_in_rate_plan_code, CASE WHEN rn = 1 AND <new_business_criteria> THEN 1 ELSE 0 END AS Unified_Acquisition_Count FROM RankedAcquisitions",SELECT (records_passing_rule / records_tested) * 100 FROM business_rules_validation_table WHERE rule_name = 'SuperCoach Acquisition Data' AND validation_type = 'Business Rule Validation' AND records_tested > 0; -- Expected result > 95%,Revert Looker Studio dashboard to use the original data source and definitions. Revert any ETL changes to the previous version.,"Focus on records where the current acquisition rule fails (e.g., records contributing to the 96.61% failure rate). Test edge cases like re-subscriptions, plan changes, and free trials converting to paid.","The 'Unified_Acquisition_Count' should accurately reflect new subscribers as per the new business definition. The validation SQL should show a pass rate significantly higher than 3.39%, ideally >95%.",Business users will review a sample of transformed acquisition data and confirm that the new 'Unified_Acquisition_Count' aligns with their understanding of a 'new acquisition'. They will also verify the overall trend and magnitude of acquisitions in the rebuilt dashboard.,4,6e8b534b-485a-48dd-842d-13dc6bebb01a
Separate_Actuals_Forecasts_by_Date,"'movement_date' column contains dates ranging from '2025-04-03' to '2029-08-28', implying a mix of actual and future-dated (forecast/budget) entries within the same field.","Introduce a 'scenario_type' dimension (e.g., 'Actual', 'Forecast', 'Budget') to clearly categorize records. Actuals will be defined as records with 'movement_date' <= CURRENT_DATE(). Forecast/Budget will be records with 'movement_date' > CURRENT_DATE() or derived from specific budget/forecast source systems.",data_structuring,"SELECT *, CASE WHEN movement_date <= CURRENT_DATE() THEN 'Actual' ELSE 'Forecast' END AS scenario_type FROM raw_subscription_data; -- Or, if separate source systems exist for budget/forecast: SELECT *, 'Actual' AS scenario_type FROM actual_source UNION ALL SELECT *, 'Forecast' AS scenario_type FROM forecast_source","SELECT COUNT(*) AS future_dated_actuals FROM unified_subscription_data WHERE scenario_type = 'Actual' AND event_date > CURRENT_DATE(); -- Expected result: 0. SELECT COUNT(DISTINCT scenario_type) FROM unified_subscription_data; -- Expected result: 2 or 3 (Actual, Forecast, Budget)",Revert Looker Studio dashboard to use the original data source. Revert ETL changes that introduced the 'scenario_type' or separated tables.,Use sample data including both past and future 'movement_date' values to ensure correct categorization. Verify that records with 'movement_date' in 2029 are correctly marked as 'Forecast'.,No 'Actual' records should have a future 'event_date'. All records should have a clearly assigned 'scenario_type'.,"Business users will confirm that historical data is presented as 'Actual' and future data is correctly categorized as 'Forecast' or 'Budget', aligning with their planning cycles and reporting needs.",4,6e8b534b-485a-48dd-842d-13dc6bebb01a
Unified Gross Revenue Calculation,"Multiple columns: total_gross_revenue_amount, cy_gross_revenue_amount, total_current_fy_gross_revenue, current_fy_gross_revenue, programmatic_gross_revenue_oct_foxtel_pluto, etc. Each potentially has implicit filters or time contexts.","A single `gross_revenue_amount` column in the `Fact_Finance_Acquisition` table, with associated `fiscal_year_offset` and `revenue_type` dimensions to provide context.",formula_change|aggregation_change|source_change,"COALESCE(
    CASE WHEN financial_year = (SELECT MAX(financial_year) FROM source_table) THEN total_current_fy_gross_revenue ELSE NULL END,
    CASE WHEN financial_year = (SELECT MAX(financial_year) FROM source_table) - 1 THEN total_previous_fy_gross_revenue ELSE NULL END,
    total_gross_revenue_amount,
    cy_gross_revenue_amount,
    ly_gross_revenue_amount,
    programmatic_gross_revenue_oct_foxtel_pluto
) AS gross_revenue_amount,
CASE
    WHEN financial_year = (SELECT MAX(financial_year) FROM source_table) THEN 0
    WHEN financial_year = (SELECT MAX(financial_year) FROM source_table) - 1 THEN -1
    ELSE NULL
END AS fiscal_year_offset","SELECT SUM(gross_revenue_amount) FROM unified_finance_acquisition_fact WHERE fiscal_year_offset = 0; -- Compare to original current_fy_gross_revenue
SELECT SUM(gross_revenue_amount) FROM unified_finance_acquisition_fact WHERE fiscal_year_offset = -1; -- Compare to original previous_fy_gross_revenue",Revert to the previous dashboard version and data source. Analyze transformation logs for errors. Isolate problematic data segments for re-processing.,"Use a subset of the 31M+ records, focusing on periods with known `total_gross_revenue_amount`, `total_current_fy_gross_revenue`, and `total_previous_fy_gross_revenue` values. Include edge cases like zero values or periods with missing data for certain revenue types.",Aggregated gross revenue amounts should match the original dashboard's reported figures for corresponding fiscal years and periods within a 0.1% tolerance.,"Finance team to review and sign off on key financial reports (e.g., P&L, revenue by masthead, revenue by advertiser) generated from the new model, ensuring consistency with existing validated reports.",5,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101
Source Channel Cleansing and Standardization,"`source_channel` column, which has a 29.35% pass rate for 'Not Null' rule, meaning ~70% are NULL.",A standardized `channel_name` in `Dim_Channel` table. NULL values will be mapped to 'Unknown' or 'Unspecified' to ensure completeness and prevent data loss during analysis.,business_rule_change|data_cleansing,"CASE
    WHEN source_channel IS NULL OR TRIM(source_channel) = '' THEN 'Unknown'
    ELSE TRIM(source_channel)
END AS channel_name","SELECT COUNT(*) FROM unified_finance_acquisition_fact WHERE channel_name = 'Unknown'; -- Should be approximately 70% of total records initially
SELECT DISTINCT channel_name FROM unified_finance_acquisition_fact ORDER BY channel_name; -- Verify no empty strings or unexpected values",Revert to the previous data load. Re-evaluate the source data quality for `source_channel` and adjust the cleansing logic or upstream data capture processes.,"Select records where `source_channel` is NULL, empty string, or contains unexpected values. Also, include records with valid `source_channel` values (e.g., 'Twitter', 'Google' from sample).",The count of 'Unknown' `channel_name` should match the original count of NULL/empty `source_channel` values. All other `source_channel` values should be correctly mapped and trimmed.,"Marketing and Acquisition teams to review channel performance reports, ensuring that the 'Unknown' category is clearly understood and that known channels are accurately represented. Agreement on the 'Unknown' label.",5,4d22b4c2-4bb3-49db-a0c1-4d46d4fba101
Standardize Net Revenue Calculation,Assumed: SUM(sales_amount) - SUM(returns_amount) from various source tables.,SUM(CASE WHEN transaction_type = 'SALE' THEN amount ELSE -amount END) WHERE transaction_status = 'COMPLETED' FROM fct_finance_transactions,formula_change,Cannot provide specific SQL without actual data. Conceptual SQL: SELECT SUM(CASE WHEN transaction_type = 'SALE' THEN amount ELSE -amount END) AS net_revenue FROM `finance_consolidated.fct_finance_transactions` WHERE dim_date.date_key BETWEEN 'start_date' AND 'end_date';,Cannot provide specific SQL without actual data. Conceptual SQL: SELECT (SELECT SUM(old_revenue_calc) FROM old_dashboard_source) - (SELECT SUM(new_revenue_calc) FROM new_consolidated_source) AS revenue_difference; -- Expected difference close to zero.,Revert Looker Studio dashboard to original data sources and calculations. Re-route data pipelines to original targets if necessary. Communicate rollback to users.,"Not available due to no data returned. Would require a representative sample of sales and return transactions, including edge cases like zero-value transactions, high-value transactions, and transactions with multiple line items.","Not available due to no data returned. Would expect positive values for revenue, with typical ranges based on historical performance. Validation would involve comparing against known source system totals.",Net Revenue figures for key publishers and products must match existing reports within a 0.5% tolerance. Trends over time must be consistent. Drill-down to individual transactions must be accurate.,8,d3bcf796-2396-4a6f-b0a3-da0b7f299a58
N/A - Blocked by Data Availability,Cannot determine current source logic as all BigQuery queries returned 'no_data'.,Cannot define specific target logic without understanding current state and data patterns. The first 'transformation' is to ensure data is available and flowing correctly.,source_change,No specific SQL transformation can be defined until the underlying data source issue is resolved and data is accessible. The immediate 'transformation' is to fix the data pipeline/source.,"No specific validation SQL can be defined. Initial validation will be to confirm data presence (e.g., `SELECT COUNT(*) FROM your_table WHERE date_column >= CURRENT_DATE - INTERVAL 7 DAY`).","The primary rollback plan for the 'no_data' issue is to revert any recent changes to data pipelines, BigQuery tables, or Looker Studio data source configurations that might have caused the data loss.",No testing data sample can be provided as all queries returned 'no_data'.,"The immediate expected result is to see *any* data returned, indicating the underlying issue is resolved and the dashboard is no longer blank.","Business users will validate by confirming that the dashboard displays data and that key metrics (e.g., total subscribers, new subscriptions) appear to be within expected ranges and reflect current business operations, once data is restored.",9,5dae02f0-dc48-418c-bdf9-5e5d2b1d6e26
Standardize Gross Revenue to Kilo-Units,"Multiple columns like 'total_current_fy_gross_revenue_display', 'ly_gross_revenue_amount_k', 'current_fy_gross_revenue_000s' exist, where the value is the base gross revenue divided by 1000. The raw 'total_current_fy_gross_revenue' is also present.",Store gross revenue in its base unit in the 'fact_sales_revenue' table. A single 'gross_revenue_k' metric will be calculated in the Looker Studio model or a final reporting view by dividing the base unit by 1000 for display.,formula_change,"-- ETL/ELT process to load fact_sales_revenue:
SELECT
    ...,
    CASE
        WHEN source_metric_name LIKE '%_display' THEN original_value * 1000
        WHEN source_metric_name LIKE '%_k' THEN original_value * 1000
        WHEN source_metric_name LIKE '%_000s' THEN original_value * 1000
        ELSE original_value -- Assume base unit if no suffix
    END AS gross_revenue_base_unit,
    ...
FROM
    source_data_extract;

-- Looker Studio calculated field or final reporting view:
SELECT
    ...,
    SUM(gross_revenue_base_unit) / 1000 AS gross_revenue_k,
    ...
FROM
    fact_sales_revenue;","SELECT
    SUM(CASE WHEN metric_name = 'total_current_fy_gross_revenue' THEN value ELSE 0 END) AS original_raw_sum,
    SUM(CASE WHEN metric_name = 'total_current_fy_gross_revenue_display' THEN value ELSE 0 END) AS original_display_sum,
    SUM(CASE WHEN metric_name = 'gross_revenue_k' THEN value ELSE 0 END) AS new_k_value_sum
FROM
    (
        SELECT 'total_current_fy_gross_revenue' as metric_name, total_current_fy_gross_revenue as value FROM `primary_analysis_data_sample`
        UNION ALL
        SELECT 'total_current_fy_gross_revenue_display' as metric_name, total_current_fy_gross_revenue_display as value FROM `primary_analysis_data_sample`
        UNION ALL
        SELECT 'gross_revenue_k' as metric_name, (total_current_fy_gross_revenue / 1000) as value FROM `primary_analysis_data_sample`
    ) AS combined_data;
-- Expected Result: original_raw_sum / 1000 = original_display_sum = new_k_value_sum (allowing for minor floating point differences)","Revert to using the original '_display', '_k', and '_000s' metrics directly from the source view/table, bypassing the new consolidated model for these specific metrics.","{
  ""financial_short_month"": ""Jul"",
  ""advertiser_parent"": ""ABC SEAMLESS"",
  ""total_current_fy_gross_revenue"": 865.4699999999999,
  ""total_current_fy_gross_revenue_display"": 0.86547
}","For the sample record, 'gross_revenue_k' should be 0.86547. Across the dataset, values should be consistent with the original '_display' metrics.","Business users will verify that the 'Total Gross Revenue (K)' metric in the new dashboard aligns precisely with the values they previously saw in the old dashboard's 'Total Gross Revenue Display' or 'Total Gross Revenue K' metrics, for various dimensions and time periods.",12,9269e9c6-1ad0-4415-96c3-aca8a710ba01
