record_id,dashboard_id,response_id,record_type,dashboard_name,business_domain,complexity_score,consolidation_score,date_grain,data_grain,primary_data_sources,date_range_detected,total_metrics_count,kpi_metrics_count,final_output_metrics_count,hardcoded_dates_count,hardcoded_values_count,governance_issues_count,metric_interactions_count,dashboard_description,metrics_summary,governance_summary,full_context,metric_id,metric_name,metric_type,calculation_type,is_kpi,is_final_output,business_criticality,metric_category,business_description,sql_logic,depends_on_metrics_count,data_sources_count
601ed0d2-e944-4189-8170-d593c8e72026_dashboard,601ed0d2-e944-4189-8170-d593c8e72026,0,dashboard_summary,Adex,advertising,8.0,6.0,daily,transactional,`ncau-data-newsquery-prd`.sbx_dcp.adex_datasource;`ncau-data-newsquery-prd`.sbx_dcp.adex_datasource_test,"Rolling 12 months from latest_date, Calendar Year, Financial Year",16.0,4.0,6.0,0.0,17.0,7,4.0,Adex is a advertising dashboard. containing 16 metrics. including 4 key performance indicators. with high analytical complexity. drawing from 2 data sources.,Contains 16 metrics. 4 are key performance indicators. primarily focused on revenue metrics.,Has 7 governance issues. 7 hardcoded variable issues.,dashboard_summary,,,,,,,,,,,,
601ed0d2-e944-4189-8170-d593c8e72026_raw_spend,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,0,,Raw Spend is a measure metric using direct_column calculation. measuring The raw spend value as recorded in the source system.. from the Adex dashboard.,The raw spend value as recorded in the source system.,,individual_metric,raw_spend,Raw Spend,measure,direct_column,False,False,low,revenue,The raw spend value as recorded in the source system.,t0.Spend,0.0,2.0
601ed0d2-e944-4189-8170-d593c8e72026_spend_cleaned,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,0,,"Spend (Nulls as Zero) is a calculated_field metric using conditional calculation. measuring Spend value where NULLs are replaced with 0, used as a base for further calculations.. from the Adex dashboard.","Spend value where NULLs are replaced with 0, used as a base for further calculations.",,individual_metric,spend_cleaned,Spend (Nulls as Zero),calculated_field,conditional,False,False,medium,revenue,"Spend value where NULLs are replaced with 0, used as a base for further calculations.",CASE WHEN (raw_spend IS NULL) THEN 0 ELSE raw_spend END,1.0,2.0
601ed0d2-e944-4189-8170-d593c8e72026_spend_in_thousands,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,0,,"Spend (in '000s) is a calculated_field metric using mathematical calculation. measuring Spend value divided by 1000, typically for display in thousands.. from the Adex dashboard.","Spend value divided by 1000, typically for display in thousands.",,individual_metric,spend_in_thousands,Spend (in '000s),calculated_field,mathematical,False,False,medium,revenue,"Spend value divided by 1000, typically for display in thousands.","SAFE_DIVIDE(spend_cleaned, 1000)",1.0,2.0
601ed0d2-e944-4189-8170-d593c8e72026_is_spend_in_thousands_flag,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,1,,Is Spend in Thousands Flag is a dimension metric using conditional calculation. measuring Boolean flag indicating if the dashboard is configured to display spend in thousands.. from the Adex dashboard.,Boolean flag indicating if the dashboard is configured to display spend in thousands.,hardcoded_value_should_be_parameter,individual_metric,is_spend_in_thousands_flag,Is Spend in Thousands Flag,dimension,conditional,False,False,low,other,Boolean flag indicating if the dashboard is configured to display spend in thousands.,('$\'000' = '$\'000'),0.0,0.0
601ed0d2-e944-4189-8170-d593c8e72026_is_spend_in_dollars_flag,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,1,,Is Spend in Dollars Flag is a dimension metric using conditional calculation. measuring Boolean flag indicating if the dashboard is configured to display spend in dollars.. from the Adex dashboard.,Boolean flag indicating if the dashboard is configured to display spend in dollars.,hardcoded_value_should_be_parameter,individual_metric,is_spend_in_dollars_flag,Is Spend in Dollars Flag,dimension,conditional,False,False,low,other,Boolean flag indicating if the dashboard is configured to display spend in dollars.,('$\'000' = '$'),0.0,0.0
601ed0d2-e944-4189-8170-d593c8e72026_time_period_type,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,1,,"Time Period Type is a dimension metric using conditional calculation. measuring The selected time period type for analysis (e.g., 'Rolling 12 months', 'Calendar Year', 'Financial Year').. from the Adex dashboard.","The selected time period type for analysis (e.g., 'Rolling 12 months', 'Calendar Year', 'Financial Year').",hardcoded_value_should_be_parameter,individual_metric,time_period_type,Time Period Type,dimension,conditional,False,True,medium,other,"The selected time period type for analysis (e.g., 'Rolling 12 months', 'Calendar Year', 'Financial Year').",CASE WHEN ('Rolling 12 months' = 'Rolling 12 months') THEN clmn50_ WHEN ('Rolling 12 months' = 'Calendar Year') THEN clmn60_ WHEN ('Rolling 12 months' = 'Financial Year') THEN clmn59_ ELSE NULL END,0.0,0.0
601ed0d2-e944-4189-8170-d593c8e72026_period_type_flag,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,2,,This Year/Last Year Flag is a dimension metric using conditional calculation. measuring Flag indicating if a record falls into the 'This Year' ('ty') or 'Last Year' ('ly') period based on the selected time period type.. from the Adex dashboard.,Flag indicating if a record falls into the 'This Year' ('ty') or 'Last Year' ('ly') period based on the selected time period type.,"hardcoded_value_should_be_parameter, date_logic_should_be_parameterized",individual_metric,period_type_flag,This Year/Last Year Flag,dimension,conditional,False,False,high,other,Flag indicating if a record falls into the 'This Year' ('ty') or 'Last Year' ('ly') period based on the selected time period type.,"CASE @time_period WHEN 'Rolling 12 months' THEN CASE WHEN DATE_DIFF(latest_date, date, MONTH) <= 11 THEN 'ty' WHEN DATE_DIFF(latest_date, date, MONTH) BETWEEN 12 AND 23 THEN 'ly' ELSE NULL END WHEN 'Calendar Year' THEN CASE WHEN date <= latest_date AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM latest_date) AS STRING),'-1-1')) THEN 'ty' WHEN date <= DATETIME_ADD(latest_date, INTERVAL -1 YEAR) AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(EXTRACT(YEAR FROM latest_date) - 1 AS STRING), '-1-1')) THEN 'ly' ELSE NULL END WHEN 'Financial Year' THEN CASE WHEN date <= latest_date AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(max_fin_year - 1 AS STRING),'-7-1')) THEN 'ty' WHEN date <= DATETIME_ADD(latest_date, INTERVAL -1 YEAR) AND date >= PARSE_DATE('%Y-%m-%d', CONCAT(CAST(max_fin_year - 2 AS STRING), '-7-1')) THEN 'ly' ELSE NULL END ELSE NULL END",4.0,2.0
601ed0d2-e944-4189-8170-d593c8e72026_spend_ty_adjusted,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,0,,"Spend (This Year) is a calculated_field metric using conditional calculation. measuring Spend value for the 'This Year' period, adjusted for display unit (thousands or dollars).. from the Adex dashboard.","Spend value for the 'This Year' period, adjusted for display unit (thousands or dollars).",,individual_metric,spend_ty_adjusted,Spend (This Year),calculated_field,conditional,False,False,high,revenue,"Spend value for the 'This Year' period, adjusted for display unit (thousands or dollars).",CASE WHEN (period_type_flag = 'ty' AND is_spend_in_thousands_flag) THEN spend_in_thousands WHEN (period_type_flag = 'ty' AND is_spend_in_dollars_flag) THEN spend_cleaned ELSE NULL END,5.0,2.0
601ed0d2-e944-4189-8170-d593c8e72026_spend_ly_adjusted,601ed0d2-e944-4189-8170-d593c8e72026,0,metric,Adex,advertising,,,,,,,,,,,,0,,"Spend (Last Year) is a calculated_field metric using conditional calculation. measuring Spend value for the 'Last Year' period, adjusted for display unit (thousands or dollars).. from the Adex dashboard.","Spend value for the 'Last Year' period, adjusted for display unit (thousands or dollars).",,individual_metric,spend_ly_adjusted,Spend (Last Year),calculated_field,conditional,False,False,high,revenue,"Spend value for the 'Last Year' period, adjusted for display unit (thousands or dollars).",CASE WHEN (period_type_flag = 'ly' AND is_spend_in_thousands_flag) THEN spend_in_thousands WHEN (period_type_flag = 'ly' AND is_spend_in_dollars_flag) THEN spend_cleaned ELSE NULL END,5.0,2.0
